,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,1509651,1404204,1397174,1342693,1328633,1196825,1260093,1216157,1300514,1263608,1439353,1643217,1630915,1423536,1458685,1418263,1293484,1412991,1282940,1107195,1291727,Upgrade
1,Market Cap Growth,17.33%,17.33%,10.88%,10.40%,2.16%,-5.29%,-12.45%,-25.99%,-20.26%,-11.23%,-1.33%,15.86%,26.09%,0.75%,13.70%,28.10%,0.14%,-10.67%,-10.98%,-28.33%,-22.55%,Upgrade
2,Enterprise Value,1518218,1709839,1720795,1599554,1195725,1347711,1422088,1355409,1193329,1346915,1489006,1691909,1597868,1668299,1810569,1656396,1284549,1540067,1439315,1235477,1298077,Upgrade
3,Last Close Price,85900.00,78017.79,77627.21,74600.24,71950.24,64812.32,66316.31,64004.03,66531.78,64643.72,70562.13,77061.43,76484.50,66759.10,66786.44,64935.73,57812.61,61309.54,54522.79,47053.91,54896.23,Upgrade
4,PE Ratio,7.48,6.47,6.05,6.04,5.98,6.01,9.08,8.78,7.80,6.60,6.57,7.30,7.35,7.07,8.06,7.96,7.45,8.16,7.34,6.85,8.57,Upgrade
5,PS Ratio,0.62,0.57,0.62,0.61,0.64,0.59,0.65,0.67,0.69,0.67,0.74,0.80,0.81,0.74,0.79,0.81,0.78,0.86,0.85,0.80,0.92,Upgrade
6,PB Ratio,1.06,0.92,0.97,0.95,0.90,0.83,0.94,0.92,0.95,0.94,1.12,1.30,1.22,1.09,1.20,1.19,1.06,1.18,1.15,0.99,1.14,Upgrade
7,P/TBV Ratio,1.17,1.17,1.24,1.24,1.17,1.08,1.25,1.23,1.26,1.26,1.54,1.81,1.68,1.53,1.73,1.76,1.55,1.76,1.79,1.57,1.76,Upgrade
8,P/FCF Ratio,-,-56.62,-10.97,-,-,6.14,9.64,-,-,7.32,5.39,-,-,13.30,-114.00,-,-,19.84,-411.03,-,-,Upgrade
9,P/OCF Ratio,351.89,351.89,-33.55,-,-,4.77,6.69,19.50,-,6.00,4.74,4.10,-,10.68,53.92,-,-,8.13,8.89,4.03,-,Upgrade
10,EV/Sales Ratio,0.62,0.70,0.76,0.73,0.58,0.66,0.73,0.74,0.64,0.71,0.76,0.83,0.79,0.87,0.98,0.95,0.77,0.94,0.95,0.89,0.93,Upgrade
11,EV/EBITDA Ratio,4.10,4.62,4.64,4.48,3.36,3.82,4.35,4.08,3.38,3.85,4.10,4.64,4.56,4.80,5.73,5.20,3.98,5.11,4.70,4.39,4.85,Upgrade
12,EV/EBIT Ratio,5.17,5.82,5.86,5.64,4.26,4.82,5.59,5.26,4.23,4.88,5.17,5.81,5.91,6.09,7.43,6.84,5.16,6.77,6.12,5.71,6.28,Upgrade
13,EV/FCF Ratio,-61.22,-68.94,-13.51,-,-,6.92,10.88,-,-,7.80,5.58,-,-,15.59,-141.50,-,-,21.62,-461.13,-,-,Upgrade
14,Debt / Equity Ratio,0.13,0.13,0.29,0.40,0.31,0.22,0.24,0.27,0.19,0.16,0.26,0.23,0.18,0.15,0.32,0.35,0.25,0.15,0.20,0.20,0.23,Upgrade
15,Debt / EBITDA Ratio,0.53,0.34,1.61,1.51,1.71,0.54,1.54,0.97,1.03,0.46,1.44,0.63,1.03,0.38,1.65,1.04,1.36,0.45,0.91,0.54,1.86,Upgrade
16,Debt / FCF Ratio,-,-7.88,-3.31,-,-,1.62,2.45,-,-,1.28,1.23,-,-,1.87,-30.02,-,-,2.54,-70.71,-,-,Upgrade
17,Asset Turnover,1.75,0.85,1.07,0.62,1.45,0.81,1.01,0.63,1.35,0.60,1.13,0.67,1.51,0.80,1.10,0.54,1.47,0.66,0.97,0.47,Upgrade,
18,Inventory Turnover,3.47,3.91,1.81,2.25,1.56,3.81,1.75,1.97,1.54,3.38,1.43,2.59,1.98,3.87,1.80,2.33,1.66,4.54,1.51,2.26,1.55,Upgrade
19,Quick Ratio,0.95,0.95,0.52,0.61,0.65,1.04,0.60,0.63,0.66,1.02,0.69,0.80,0.82,0.98,0.63,0.46,0.66,0.95,0.57,0.54,0.69,Upgrade
20,Current Ratio,2.15,2.15,1.80,1.62,1.84,1.84,1.76,1.69,1.99,1.83,1.64,1.57,1.86,1.75,1.49,1.42,1.65,1.62,1.43,1.45,1.46,Upgrade
21,Return on Equity (ROE),25.19%,10.44%,16.17%,9.98%,31.12%,8.49%,17.09%,10.39%,22.93%,8.79%,26.31%,11.34%,29.30%,11.36%,21.53%,11.20%,24.28%,11.16%,27.44%,5.68%,Upgrade,
22,Return on Assets (ROA),14.16%,4.83%,8.18%,5.11%,14.56%,4.19%,9.09%,5.58%,12.30%,4.68%,12.31%,4.95%,14.26%,5.14%,10.02%,5.73%,11.39%,5.57%,11.31%,2.77%,Upgrade,
23,Return on Capital (ROIC),17.48%,5.87%,9.87%,6.26%,18.27%,5.23%,11.19%,6.97%,15.71%,6.07%,15.73%,6.21%,18.09%,6.47%,12.38%,7.18%,15.14%,7.50%,15.38%,3.70%,Upgrade,
24,Return on Capital Employed (ROCE),18.92%,18.92%,19.85%,19.57%,18.71%,18.90%,18.44%,19.00%,20.05%,19.95%,21.82%,22.38%,19.74%,20.48%,19.22%,19.44%,19.37%,17.95%,19.52%,18.14%,16.65%,Upgrade
25,Earnings Yield,13.38%,15.51%,16.65%,16.69%,16.84%,18.68%,15.18%,15.71%,16.83%,17.46%,16.48%,14.80%,13.67%,15.41%,13.58%,13.76%,16.05%,13.46%,15.20%,16.41%,13.23%,Upgrade
26,FCF Yield,-1.64%,-1.77%,-9.12%,-1.03%,2.30%,16.27%,10.37%,0.13%,1.90%,13.67%,18.55%,22.70%,15.95%,7.52%,-0.88%,-8.31%,-2.38%,5.04%,-0.24%,4.50%,-0.91%,Upgrade
27,Dividend Yield,4.57%,-,-,-,-,6.17%,6.03%,-,-,6.19%,7.09%,-,-,10.49%,11.98%,-,-,6.52%,-,-,-,Upgrade
28,Payout Ratio,33.57%,0.82%,106.17%,-,100.85%,-,198.15%,1.64%,149.40%,-,260.36%,0.68%,95.09%,0.20%,106.35%,0.12%,132.01%,41.01%,0.78%,0.73%,167.03%,Upgrade
29,Buyback Yield / Dilution,-20.75%,-0.45%,0.46%,-0.00%,0.54%,-0.38%,-7.04%,6.48%,-0.01%,-0.04%,32.09%,-69.69%,0.00%,0.01%,-36.98%,36.97%,-0.00%,0.02%,-0.06%,0.07%,Upgrade,
30,Total Shareholder Return,4.57%,-20.75%,-0.45%,0.46%,-0.00%,6.71%,5.65%,-7.04%,6.48%,6.18%,7.05%,32.09%,-69.69%,10.49%,11.99%,-36.98%,36.97%,6.52%,0.02%,-0.06%,0.07%,Upgrade
