,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,128.11,119.81,81.59,128.43,168.42,118.09,102.26,117.6,169.35,108.56,108.56,119.93,119.93,113.96,113.96
1,Other Revenue,-5.44,5.44,-,13.03,-6.34,6.34,-,13.55,-6.7,3.35,3.35,3.43,3.43,2.79,2.79
2,Revenue,122.67,125.25,81.59,141.46,162.08,124.43,102.26,131.14,162.65,111.91,111.91,123.37,123.37,116.75,116.75
3,Revenue Growth (YoY),-24.31%,0.66%,-20.21%,7.87%,-0.35%,11.18%,-8.62%,6.30%,31.85%,-4.14%,-4.14%,-,-,-,-
4,Cost of Revenue,86.62,80.05,53,113.41,108.79,81.05,73.27,95.94,110.71,79.25,79.25,87.66,87.66,75.28,75.28
5,Gross Profit,36.05,45.2,28.59,28.05,53.29,43.38,28.99,35.2,51.95,32.66,32.66,35.7,35.7,41.47,41.47
6,"Selling, General & Admin",14.58,14.1,13.41,14.23,17.14,15.31,10.68,11.17,14.11,11.94,11.94,13.26,13.26,13.73,13.73
7,Research & Development,8,6.8,5.64,8.68,8.7,6.63,4.65,7.69,7.55,6.45,6.45,6.92,6.92,6.23,6.23
8,Other Operating Expenses,-1.13,2.06,-0.36,-0.94,0.92,0.82,0.82,1.11,2.49,0.35,0.35,1.01,1.01,1.35,1.35
9,Operating Expenses,21.41,25.57,17.12,23.08,29.18,23.42,14.56,22.6,25.35,20.28,20.28,17.55,17.55,20.18,20.18
10,Operating Income,14.64,19.64,11.47,4.97,24.11,19.96,14.43,12.61,26.6,12.39,12.39,18.15,18.15,21.29,21.29
11,Interest Expense,-0.05,-0.15,-0.12,-0.68,-0.05,-0.4,-0.02,-0.41,-0.52,-0.34,-0.34,-0.3,-0.3,-0.1,-0.1
12,Interest & Investment Income,0.66,0.28,1.67,1.29,0.59,0.85,0.03,0.03,0.04,0.11,0.11,0.06,0.06,0.1,0.1
13,Currency Exchange Gain (Loss),0.5,-0.5,-,3.54,-3.53,3.53,-,4.12,2.18,-1.09,-1.09,-1.35,-1.35,-0.5,-0.5
14,Other Non Operating Income (Expenses),0.2,0.62,-0.54,-2.61,2.39,-0.46,1.41,-3.84,-0.95,2.23,2.23,-0.05,-0.05,0.54,0.54
15,EBT Excluding Unusual Items,15.95,19.88,12.48,6.52,23.52,23.48,15.86,12.52,27.35,13.29,13.29,16.51,16.51,21.34,21.34
16,Gain (Loss) on Sale of Investments,2.16,3.23,2.65,3.31,4.45,-,-,-,-0.03,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-,-,-,-0.5,-,-0,-,-0.1,-,-,-,-0.07,-0.07,-,-
18,Asset Writedown,-0.65,0.51,-0.31,1.33,-0.43,0.41,-0.54,2.76,-4.21,-0.01,-0.01,-0.08,-0.08,-0.49,-0.49
19,Other Unusual Items,-1.67,1.11,0.56,1.62,0.39,-0.39,-,11.26,-0.35,0.18,0.18,0.69,0.69,0.18,0.18
20,Pretax Income,15.8,24.73,15.38,12.28,27.93,23.49,15.32,26.44,22.76,13.46,13.46,17.06,17.06,21.03,21.03
21,Income Tax Expense,1.94,3.05,1.64,0.17,3.09,2.73,2.7,2.44,2.86,1.24,1.24,2.16,2.16,2.62,2.62
22,Earnings From Continuing Operations,13.86,21.68,13.74,12.11,24.85,20.76,12.62,24,19.9,12.22,12.22,14.89,14.89,18.41,18.41
23,Minority Interest in Earnings,-0.36,-0.39,0.18,0.34,0.27,0.67,0.37,-0.19,-0.35,-0.56,-0.56,-0.1,-0.1,-0.15,-0.15
24,Net Income,13.5,21.29,13.92,12.45,25.12,21.44,12.99,23.81,19.54,11.66,11.66,14.8,14.8,18.25,18.25
25,Net Income to Common,13.5,21.29,13.92,12.45,25.12,21.44,12.99,23.81,19.54,11.66,11.66,14.8,14.8,18.25,18.25
26,Net Income Growth,-46.24%,-0.68%,7.17%,-47.70%,28.51%,83.88%,11.42%,60.86%,32.07%,-36.13%,-36.13%,-,-,-,-
27,Shares Outstanding (Basic),137,136,138,139,142,112,103,103,111,101,101,102,102,104,104
28,Shares Outstanding (Diluted),137,136,138,139,142,112,103,103,111,101,101,102,102,104,104
29,Shares Change (YoY),-3.93%,21.94%,33.29%,35.12%,28.16%,10.15%,2.10%,0.77%,8.40%,-2.80%,-2.80%,-,-,-,-
30,EPS (Basic),0.10,0.16,0.10,0.09,0.18,0.19,0.13,0.23,0.18,0.11,0.12,0.14,0.14,0.17,0.17
31,EPS (Diluted),0.10,0.16,0.10,0.09,0.18,0.19,0.13,0.23,0.18,0.11,0.12,0.14,0.14,0.17,0.17
32,EPS Growth,-44.04%,-18.55%,-19.60%,-61.30%,0.27%,66.94%,9.13%,59.64%,21.83%,-34.29%,-34.29%,-,-,-,-
33,Free Cash Flow,5.29,-19.11,-32.11,-3.59,-43.91,-1.04,-29.21,-3.11,-5.59,4.89,4.89,31.79,31.79,-6.31,-6.31
34,Free Cash Flow Per Share,0.04,-0.14,-0.23,-0.03,-0.31,-0.01,-0.28,-0.03,-0.05,0.05,0.05,0.31,0.31,-0.06,-0.06
35,Dividend Per Share,-,-,-,0.100,0.220,-,-,-,-,-,-,-,-,-,-
36,Gross Margin,29.39%,36.09%,35.04%,19.83%,32.88%,34.86%,28.35%,26.84%,31.94%,29.19%,29.19%,28.94%,28.94%,35.52%,35.52%
37,Operating Margin,11.93%,15.68%,14.06%,3.51%,14.87%,16.04%,14.11%,9.61%,16.35%,11.07%,11.07%,14.71%,14.71%,18.24%,18.24%
38,Profit Margin,11.01%,17.00%,17.06%,8.80%,15.50%,17.23%,12.70%,18.15%,12.02%,10.42%,10.42%,12.00%,12.00%,15.63%,15.63%
39,Free Cash Flow Margin,4.32%,-15.26%,-39.35%,-2.53%,-27.09%,-0.84%,-28.56%,-2.38%,-3.43%,4.37%,4.37%,25.76%,25.76%,-5.41%,-5.41%
40,EBITDA,17.35,22.72,14.18,7.68,26.73,22.23,17.05,15.23,29.35,15.14,15.14,22.63,22.63,22.1,22.1
41,EBITDA Margin,14.14%,18.14%,17.38%,5.43%,16.49%,17.86%,16.68%,11.61%,18.05%,13.53%,13.53%,18.34%,18.34%,18.93%,18.93%
