,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,2582,2384,2212,3058,3349,4161,2921,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-42.69%,-42.69%,-24.27%,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2106,1917,1715,2461,2752,3525,2832,-,-,-,-,-,-,-,-,-
3,Last Close Price,18.91,17.46,16.20,22.03,24.12,29.72,20.87,-,-,-,-,-,-,-,-,-
4,PE Ratio,42.50,38.99,30.40,41.94,46.52,49.92,37.56,-,-,-,-,-,-,-,-,-
5,PS Ratio,5.52,5.06,4.33,6.00,6.32,8.00,5.61,-,-,-,-,-,-,-,-,-
6,PB Ratio,2.35,2.16,2.03,2.82,3.06,3.75,2.69,-,-,-,-,-,-,-,-,-
7,P/TBV Ratio,2.22,2.22,2.08,2.90,3.15,3.85,2.77,-,-,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-48.16,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,39.85,39.85,-195.55,-,701.92,-,132.60,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,4.47,4.07,3.36,4.83,5.19,6.78,5.44,-,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,33.03,30.96,24.06,34.75,37.34,43.39,33.77,-,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,41.86,37.81,28.51,40.67,43.36,49.58,38.48,-,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,-42.54,-38.73,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.01,0.04,0.03,0.01,0.04,0.09,0.09,-,-,0.07,0.07,0.07,0.04,0.04
15,Debt / EBITDA Ratio,0.08,0.07,0.10,0.74,0.79,0.12,0.44,0.64,0.64,-,-,0.48,0.32,0.32,0.17,0.17
16,Debt / FCF Ratio,-,-0.10,-,-,-,-,-,-,-,-,-,0.48,0.59,1.56,-,-
17,Asset Turnover,0.38,0.39,0.25,0.42,0.48,-,-,-,-,-,-,0.78,0.79,0.76,-,
18,Inventory Turnover,2.44,2.48,2.38,1.72,3.67,3.50,-,-,-,-,-,-,2.90,2.91,2.50,-
19,Quick Ratio,4.52,4.52,4.68,4.38,3.91,4.14,4.53,-,1.91,-,-,-,1.64,1.64,1.50,1.50
20,Current Ratio,5.31,5.31,5.45,5.06,4.39,4.81,5.15,-,2.36,-,-,-,2.26,2.26,2.08,2.08
21,Return on Equity (ROE),5.05%,7.98%,5.05%,4.40%,9.05%,10.63%,10.59%,-,-,-,11.94%,14.56%,15.09%,19.35%,-,
22,Return on Assets (ROA),2.83%,3.81%,2.16%,0.91%,4.45%,-,-,-,-,-,-,7.19%,7.30%,8.68%,-,
23,Return on Capital (ROIC),3.31%,4.41%,2.55%,1.10%,5.35%,6.06%,6.93%,-,-,-,7.05%,10.33%,10.88%,13.46%,-,
24,Return on Capital Employed (ROCE),4.54%,4.58%,5.51%,5.57%,5.78%,6.35%,6.59%,-,13.00%,-,-,-,19.15%,14.75%,11.08%,5.54%
25,Earnings Yield,2.37%,2.57%,3.29%,2.38%,2.15%,2.00%,2.66%,-,-,-,-,-,-,-,-,-
26,FCF Yield,-1.92%,-2.08%,-4.46%,-2.64%,-2.32%,-1.86%,-1.33%,-,-,-,-,-,-,-,-,-
27,Dividend Yield,1.04%,-,-,-,1.33%,0.74%,-,-,-,-,-,-,-,-,-,-
28,Payout Ratio,74.54%,2.41%,64.14%,-,253.91%,-,2.10%,-,1.89%,2.15%,2.42%,2.42%,132.37%,132.37%,53.91%,53.91%
29,Buyback Yield / Dilution,-19.46%,3.93%,-21.94%,-33.29%,-35.12%,-28.16%,-10.15%,-2.10%,-0.77%,-8.40%,2.80%,2.80%,-,-,-,-
30,Total Shareholder Return,-18.42%,3.93%,-21.94%,-33.29%,-33.79%,-27.42%,-10.15%,-2.10%,-0.77%,-8.40%,2.80%,2.80%,-,-,-,-
