,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,119.1,116.22,76.84,117.19,93.23,653,-,140.6,-,-,-,116.63,116.63,76.95,76.95
1,Trading Asset Securities,368.43,366.17,467.41,474.76,523.45,30,-,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,487.52,482.39,544.25,591.95,616.68,683,140.6,140.6,-,-,116.63,116.63,116.63,76.95,76.95
3,Cash Growth,-20.94%,-29.37%,287.08%,321.01%,-,-,20.55%,20.55%,-,-,51.57%,-,-,-,-
4,Accounts Receivable,392.96,408.64,367.09,412.42,392.31,341.03,-,329.21,-,-,-,243.62,243.62,266.91,266.91
5,Other Receivables,2.84,1.89,1.97,2.65,3.34,2.49,-,0.79,-,-,-,-0.17,-0.17,0.14,0.14
6,Receivables,395.8,410.53,369.05,415.07,395.65,343.52,-,330,-,-,-,243.45,243.45,267.06,267.06
7,Inventory,141.34,138.03,130.75,116.01,131.45,117.42,-,94.91,-,-,-,120.75,120.75,120.51,120.51
8,Other Current Assets,14.09,8.85,9.25,6.67,33.62,24.27,-,14.33,-,-,-,14.75,14.75,10.76,10.76
9,Total Current Assets,1039,1040,1053,1130,1177,1168,-,579.84,-,-,-,495.58,495.58,475.28,475.28
10,"Property, Plant & Equipment",201.77,175.91,174.57,159.15,124.11,109.97,-,103.54,-,-,-,70.61,70.61,76.04,76.04
11,Other Intangible Assets,24.1,23.62,23.87,24.12,24.49,24.75,-,24.78,-,-,-,25.58,25.58,25.7,25.7
12,Long-Term Accounts Receivable,-,15.1,-,15.04,-,21.53,-,16.4,-,-,-,-,-,-,-
13,Long-Term Deferred Tax Assets,5.81,5.52,4.16,4.28,4.56,4.56,-,5.11,-,-,-,4.14,4.14,5.05,5.05
