,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,123656,111392,108327,114458,113436,127744,140007,104239,98107,92680,99656,110618,115601,111615,94673,91683,91683,98659,79725,70756,69759,Upgrade
1,Market Cap Growth,-12.80%,-12.80%,-22.63%,9.80%,15.63%,37.83%,40.49%,-5.77%,-15.13%,-16.96%,5.26%,20.65%,26.09%,13.13%,18.75%,29.58%,31.43%,23.75%,-11.11%,-17.44%,-41.67%,Upgrade
2,Enterprise Value,94765,97945,105527,103262,102240,127574,141461,104402,93154,97511,110333,118082,107671,116032,99091,84333,83555,83256,40854,31975,37606,Upgrade
3,Last Close Price,12100.00,10900.00,10600.00,11200.00,11100.00,11686.99,12808.94,9536.59,8975.61,8023.23,8627.12,9576.11,9267.78,8948.20,7589.99,7350.31,7350.31,7318.20,5913.70,5248.41,5174.49,Upgrade
4,PE Ratio,7.24,5.83,6.27,6.61,6.57,7.67,8.14,7.10,6.25,6.21,6.99,7.36,8.63,9.61,9.41,9.87,9.84,11.86,14.30,7.78,-,Upgrade
5,PS Ratio,1.53,1.31,1.29,1.35,1.32,1.43,1.57,1.21,0.88,0.93,1.00,1.08,1.17,1.00,0.85,0.79,0.75,0.98,0.73,0.48,0.42,Upgrade
6,PB Ratio,0.71,0.71,0.71,0.77,0.75,0.85,1.00,0.72,0.66,0.62,0.69,0.78,0.79,0.83,-,0.68,0.66,0.78,0.65,0.58,0.55,Upgrade
7,P/TBV Ratio,0.79,0.71,0.71,0.77,0.75,0.85,1.00,0.72,0.66,0.62,0.69,0.78,0.79,0.83,-,0.68,0.66,0.78,0.65,0.58,0.55,Upgrade
8,P/FCF Ratio,-,-,8.28,-,-,11.03,-,-,-,7.03,-,-,-,-,-,2.06,-,2.34,-,-,1.16,Upgrade
9,P/OCF Ratio,-,-80.41,6.84,-,-,10.42,-,-,-,7.03,36.10,-231.65,-,-,1.88,1.83,-,2.06,-,-,1.10,Upgrade
10,EV/Sales Ratio,1.30,1.15,1.25,1.22,1.19,1.43,1.59,1.21,0.83,0.98,1.10,1.15,1.09,1.04,0.89,0.73,0.69,0.83,0.38,0.22,0.23,Upgrade
11,EV/EBITDA Ratio,-,-,-,-,-,9.60,10.45,12.06,23.00,68.88,-,-,-,-,-,-,-,-,-,-,-,Upgrade
12,EV/EBIT Ratio,10.47,8.96,9.56,9.24,9.30,11.90,12.89,11.51,8.35,9.29,15.53,15.11,19.04,-,22.61,84.99,-,-,-,4.72,-,Upgrade
13,EV/FCF Ratio,-9.96,-,8.07,-,-,11.02,-,-,-,7.40,-,-,-,-,-,1.89,-,1.98,-,-,0.62,Upgrade
14,Debt / Equity Ratio,0.03,0.03,0.05,0.06,0.06,0.06,0.08,0.07,0.08,0.08,0.08,0.11,0.10,-,-,0.06,-,-,-,-,-,Upgrade
15,Debt / EBITDA Ratio,-,-,-,-,-,1.96,0.57,0.56,1.09,2.02,-,-,-,-,-,-,-,-,-,-,-,Upgrade
16,Debt / FCF Ratio,-,-,0.57,-,-,0.79,-,-,-,0.87,-,-,-,-,-,0.17,-,-,-,-,-,Upgrade
17,Asset Turnover,0.11,0.67,-,-,0.09,0.68,-,-,0.09,0.58,1.14,0.21,-,-,1.28,0.57,0.13,0.90,1.55,0.02,Upgrade,
18,Inventory Turnover,2.90,0.64,4.66,-,-,0.46,4.55,-,-,-,8.35,11.52,1.51,-,-,9.26,4.14,0.28,7.66,8.35,0.10,Upgrade
19,Quick Ratio,4.45,4.45,3.20,3.08,-,3.52,2.52,2.56,-,2.58,2.77,2.12,2.55,5.13,-,3.05,3.30,5.76,3.39,2.91,6.00,Upgrade
20,Current Ratio,5.17,5.17,3.66,3.92,-,4.31,3.02,3.15,-,3.08,3.03,2.41,3.10,5.91,-,3.44,4.20,6.82,3.85,3.39,7.87,Upgrade
21,Return on Equity (ROE),17.04%,11.80%,12.87%,8.55%,13.08%,12.60%,12.94%,7.04%,15.20%,5.61%,16.04%,5.30%,-,-,12.17%,0.23%,9.90%,6.49%,13.47%,-2.89%,Upgrade,
22,Return on Assets (ROA),0.56%,5.51%,-,-,0.71%,5.62%,-,-,0.99%,2.92%,7.57%,1.94%,-,-,5.84%,-1.33%,-2.91%,-0.54%,2.22%,-3.01%,Upgrade,
23,Return on Capital (ROIC),0.64%,6.43%,6.53%,3.54%,0.84%,6.90%,6.27%,3.10%,1.22%,3.71%,9.47%,2.26%,-,-,6.93%,-1.54%,-3.48%,-0.71%,2.73%,-3.47%,Upgrade,
24,Return on Capital Employed (ROCE),5.67%,6.85%,6.94%,7.24%,-,6.79%,7.36%,5.91%,-,6.62%,4.56%,5.07%,3.60%,-,-,0.74%,-,-,-,5.59%,-,Upgrade
25,Earnings Yield,13.82%,17.15%,15.94%,15.12%,15.21%,13.04%,12.29%,14.09%,16.01%,16.11%,14.30%,13.58%,11.58%,10.40%,10.63%,10.13%,10.16%,8.43%,6.99%,12.85%,18.04%,Upgrade
26,FCF Yield,-7.70%,-8.54%,12.07%,3.76%,7.00%,9.06%,4.71%,8.91%,12.38%,14.22%,-3.29%,-11.94%,-4.71%,-,35.72%,48.55%,32.25%,42.72%,47.25%,71.86%,86.49%,Upgrade
27,Dividend Yield,6.61%,7.34%,-,-,-,6.85%,-,-,-,10.59%,-,-,-,9.50%,-,-,-,-,-,-,-,Upgrade
28,Payout Ratio,57.12%,-,0.09%,101.08%,150.96%,-,44.33%,86.49%,156.93%,-,100.32%,142.60%,-,-,0.14%,187.12%,-,-,-,0.41%,-,Upgrade
29,Total Shareholder Return,6.61%,7.34%,-,-,-,6.85%,-,-,-,10.59%,-,-,-,9.50%,-,-,-,-,-,-,-,Upgrade
