,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,18785,12776,1640,-,14966,9699,8655,-,14074,7161,5560,7044,7929,-,2459,6246,7024,7463,9316,5781,Upgrade
1,Short-Term Investments,15103,8137,10137,-,5341,1689,166.41,-,2318,28.58,28.58,38.36,-,-,862.91,1104,1104,7940,29554,33000,Upgrade
2,Cash & Short-Term Investments,33888,20913,11777,20307,20307,11388,8821,16392,16392,7190,5589,7083,7929,-,3322,7350,8128,15404,38871,38781,Upgrade
3,Cash Growth,66.88%,83.64%,33.51%,23.88%,23.88%,58.39%,57.84%,131.44%,106.72%,-,68.24%,-3.64%,-2.44%,-,-91.45%,-81.05%,-74.72%,-22.94%,433.31%,161.86%,Upgrade
4,Accounts Receivable,9546,31855,26088,-,18044,42508,34951,-,33692,52447,59772,35807,36466,-,57191,33386,26718,75390,69128,38008,Upgrade
5,Other Receivables,51324,48262,44170,-,46326,45268,45189,-,47362,45245,45101,47684,44458,-,43287,45314,58013,20823,14163,15580,Upgrade
6,Receivables,60870,80117,70258,-,64370,87776,80140,-,81054,97692,104873,83491,80925,-,100478,78700,84730,96213,83290,53588,Upgrade
7,Inventory,14055,13216,20600,-,16191,17242,18103,-,15549,6981,12276,16958,12857,-,12653,23000,15739,14525,18413,28438,Upgrade
8,Prepaid Expenses,126.6,99.1,133.48,-,140.34,151.32,239.38,-,491.43,152.57,59.5,536.21,-,-,455.31,395.54,143.82,177.92,1338,36.4,Upgrade
9,Other Current Assets,1195,1384,1574,-,2521,2196,2372,-,2969,2932,3020,1974,689.6,-,301.13,257.83,1261,456.79,386.67,315.86,Upgrade
10,Total Current Assets,110134,115729,104343,-,103529,118753,109676,-,116455,114946,125818,110042,102401,-,117209,109704,110002,126776,142298,121159,Upgrade
11,"Property, Plant & Equipment",35583,36172,36519,-,37700,38211,38806,-,39400,37944,38520,39102,470.35,-,846.69,1045,1019,1765,1992,2229,Upgrade
12,Long-Term Investments,25130,30940,30940,-,30574,25130,30935,-,30991,30444,30444,30444,35110,-,39719,39956,17118,13228,4448,4666,Upgrade
13,Other Intangible Assets,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.25,Upgrade
14,Other Long-Term Assets,10071,7773,9213,-,10177,6493,8769,-,9495,10288,11605,13125,13738,-,10751,13853,14047,14175,14315,14458,Upgrade
15,Total Assets,180918,190614,181015,-,181980,188587,188185,-,196342,193622,206387,192712,151719,-,168525,164557,142186,155944,163054,142517,Upgrade
