,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,241,244,210,77,85,213,170,293,270,373,821,Upgrade
1,Market Cap Growth,217.43%,217.43%,146.24%,-63.92%,-49.90%,-27.22%,-36.94%,-21.53%,-67.08%,-94.09%,-21.52%,Upgrade
2,Enterprise Value,589,607,692,576,535,662,635,869,836,920,1369,Upgrade
3,Last Close Price,0.20,0.25,0.23,0.24,0.32,0.91,0.77,1.32,1.32,2.18,5.12,Upgrade
4,Forward PE,-,4.58,4.58,4.58,4.58,4.58,4.58,4.58,4.58,4.58,4.58,Upgrade
5,PS Ratio,1.88,3.06,2.46,0.76,0.85,2.58,1.58,3.25,3.08,7.84,-,Upgrade
6,PB Ratio,0.25,0.27,0.22,0.06,0.07,0.15,0.11,0.15,0.14,0.20,0.41,Upgrade
7,P/TBV Ratio,0.52,0.52,0.42,0.17,0.17,0.38,0.27,0.28,0.25,0.35,0.70,Upgrade
8,P/FCF Ratio,12.47,-,-19.77,-,-,-,-,-26.35,-,-,-,Upgrade
9,P/OCF Ratio,8.92,-,-49.86,-,-,-,-,9.44,-,17.75,-,Upgrade
10,EV/Sales Ratio,7.38,7.61,8.10,5.72,5.32,8.02,5.88,9.65,9.53,19.33,-,Upgrade
11,EV/FCF Ratio,30.51,-,-65.04,-,-,-,-,-78.23,-,-,-,Upgrade
12,Debt / Equity Ratio,0.28,0.28,0.40,0.33,0.32,0.26,0.24,0.20,0.25,0.30,0.27,Upgrade
13,Debt / FCF Ratio,13.34,-,-35.18,-,-,-,-,-36.03,-,-,-,Upgrade
14,Earnings Yield,-169.85%,-167.51%,-207.65%,-214.33%,-196.35%,-227.98%,-300.98%,-72.84%,-101.20%,-27.16%,-,Upgrade
15,FCF Yield,8.02%,7.91%,-5.06%,-153.19%,-119.36%,-96.63%,-63.31%,-3.79%,-33.94%,-0.21%,-,Upgrade
16,Buyback Yield / Dilution,-184.80%,-265.04%,-99.52%,-20.58%,-15.01%,-7.56%,-13.33%,-28.91%,-,-15.83%,-,Upgrade
17,Total Shareholder Return,-184.80%,-265.04%,-99.52%,-20.58%,-15.01%,-7.56%,-13.33%,-28.91%,-,-15.83%,-,Upgrade
