,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+1 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+1 Quarters
0,Revenue,141.81,158.9,118.97,151.61,193.78,232.13,197.08,250.6,128.33,239.32,Upgrade
1,Revenue Growth (YoY),19.20%,4.81%,-38.61%,-34.69%,-1.67%,-7.37%,53.57%,4.71%,-38.03%,54.29%,Upgrade
2,Cost of Revenue,92.44,117.51,75.09,104.63,136.9,157.79,130.99,186.83,114.1,189.33,Upgrade
3,Gross Profit,49.37,41.39,43.88,46.98,56.88,74.33,66.09,63.77,14.23,50,Upgrade
4,"Selling, General & Admin",65.14,72.98,63.47,66.03,73.97,80.07,72.07,73.96,59.1,78.43,Upgrade
5,Other Operating Expenses,-1.22,-3.1,-1.84,-3.57,-0.87,-2.48,-0.65,-2.17,-1.01,0.68,Upgrade
6,Operating Expenses,60.57,62.51,57.71,97.18,68.15,76.46,66.2,45.73,58.09,90.25,Upgrade
7,Operating Income,-11.2,-21.12,-13.83,-50.2,-11.27,-2.13,-0.11,18.04,-43.86,-40.25,Upgrade
8,Interest Expense,-,-0.6,-,-0.47,-,-1.23,-,-3.27,-,-5.32,Upgrade
9,Interest & Investment Income,6.12,5.47,6.81,8.74,7.8,8.76,7.77,8.24,5.15,9.32,Upgrade
10,Earnings From Equity Investments,1.07,1.1,0.9,0.52,0.86,1.22,1.42,1.88,1.32,0.99,Upgrade
11,Currency Exchange Gain (Loss),-1.19,0.84,-0.94,-0.92,-0.7,0.21,0.12,2.17,-3.31,0.11,Upgrade
12,Other Non Operating Income (Expenses),-,-,-,-,-,-,0.11,-0.11,-,-,Upgrade
13,EBT Excluding Unusual Items,-5.2,-14.31,-7.06,-42.33,-3.3,6.84,9.32,26.96,-40.7,-35.16,Upgrade
14,Gain (Loss) on Sale of Investments,0.24,-0.2,0.92,-0.22,0.89,-1.64,-,-10.88,10.88,34.77,Upgrade
15,Gain (Loss) on Sale of Assets,-0.26,0.82,-,-,1.05,-0.86,1.59,-0.63,6.33,-0.02,Upgrade
16,Other Unusual Items,-,-,-,-,-,-,-,-,-,0.04,Upgrade
17,Pretax Income,-5.22,-13.69,-6.14,-42.54,-1.36,4.34,10.91,15.45,-23.49,-0.38,Upgrade
18,Income Tax Expense,0.47,3.27,0.77,-4.27,1.15,1.91,2.68,5.68,3.52,10.67,Upgrade
19,Earnings From Continuing Operations,-5.68,-16.96,-6.91,-38.28,-2.51,2.44,8.23,9.77,-27.01,-11.05,Upgrade
20,Net Income,-5.68,-16.96,-6.91,-38.28,-2.51,2.44,8.23,9.77,-27.01,-11.05,Upgrade
21,Net Income to Common,-5.68,-16.96,-6.91,-38.28,-2.51,2.44,8.23,9.77,-27.01,-11.05,Upgrade
22,Net Income Growth,-,-,-,-,-,-75.06%,-,-,-,-,Upgrade
23,Shares Outstanding (Basic),639,639,639,639,639,639,630,622,622,622,Upgrade
24,Shares Outstanding (Diluted),639,639,639,639,639,657,648,622,622,622,Upgrade
25,Shares Change (YoY),-,-,-,-2.74%,-1.27%,5.71%,4.13%,0.00%,0.15%,0.28%,Upgrade
26,EPS (Basic),-0.01,-0.03,-0.01,-0.06,-0.00,0.00,0.01,0.02,-0.04,-0.02,Upgrade
27,EPS (Diluted),-0.01,-0.03,-0.01,-0.06,-0.00,0.00,0.01,0.02,-0.04,-0.02,Upgrade
28,EPS Growth,-,-,-,-,-,-76.64%,-,-,-,-,Upgrade
29,Free Cash Flow,-30.66,-82.09,29.11,14.35,-4.51,-10.23,6.4,127.27,-9.58,63.04,Upgrade
30,Free Cash Flow Per Share,-0.05,-0.13,0.05,0.02,-0.01,-0.02,0.01,0.20,-0.02,0.10,Upgrade
31,Operating Margin,-7.90%,-13.29%,-11.63%,-33.11%,-5.81%,-0.92%,-0.06%,7.20%,-34.18%,-16.82%,Upgrade
32,Profit Margin,-4.01%,-10.67%,-5.81%,-25.25%,-1.29%,1.05%,4.17%,3.90%,-21.05%,-4.62%,Upgrade
33,Free Cash Flow Margin,-21.62%,-51.67%,24.47%,9.47%,-2.33%,-4.41%,3.25%,50.78%,-7.47%,26.34%,Upgrade
34,EBITDA,-7.59,-17.21,-9.85,-46.28,-7.21,2.09,4.68,23.87,-36.28,-30.93,Upgrade
35,D&A For EBITDA,3.61,3.9,3.98,3.92,4.06,4.22,4.79,5.83,7.58,9.32,Upgrade
36,EBIT,-11.2,-21.12,-13.83,-50.2,-11.27,-2.13,-0.11,18.04,-43.86,-40.25,Upgrade
