,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2015,Q1 2015
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015"
0,Market Capitalization,11570,13388,11423,12003,11627,11743,11803,10219,9886,6866,9142,-,-,-,-,-,-,-
1,Market Cap Growth,14.01%,14.01%,-3.22%,17.46%,17.60%,71.04%,29.10%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,11485,13359,11362,11802,11426,11666,11591,10108,9776,6758,9386,-,-,-,-,-,-,-
3,Last Close Price,29.18,33.68,28.61,29.95,29.01,29.30,29.45,25.49,24.67,17.13,22.81,-,-,-,-,-,-,-
4,PE Ratio,65.16,75.36,64.04,65.73,57.35,70.31,72.48,71.39,84.25,52.85,73.86,-,-,-,-,-,-,-
5,Forward PE,-,33.10,34.06,39.34,31.08,-,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,11.52,13.32,11.37,11.88,11.38,11.84,11.87,10.50,10.76,7.71,10.76,-,-,-,-,-,-,-
7,PB Ratio,6.68,7.73,6.70,6.95,6.75,7.01,7.28,6.35,6.33,4.43,6.10,-,-,-,-,-,-,-
8,P/TBV Ratio,7.89,7.89,6.85,7.10,6.90,7.16,7.45,6.50,6.48,4.52,6.22,-,-,-,-,-,-,-
9,P/FCF Ratio,74.99,86.77,126.98,-,2073.97,407.46,-,-,-94.31,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,60.15,60.15,63.66,-,77.30,95.04,106.78,-,94.34,101.31,132.04,-,-,-,-,-,-,-
11,EV/Sales Ratio,11.43,13.29,11.31,11.68,11.18,11.76,11.66,10.39,10.64,7.59,11.04,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,31.60,37.99,32.53,33.39,30.29,33.18,34.24,32.45,35.42,26.26,35.84,-,-,-,-,-,-,-
13,EV/EBIT Ratio,52.85,60.65,51.25,51.93,44.82,50.04,50.66,47.57,52.66,38.48,51.53,-,-,-,-,-,-,-
14,EV/FCF Ratio,74.44,86.58,126.31,-,2038.16,404.79,-,-,-93.25,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.05,0.05,0.07,0.07,0.08,0.01,0.08,0.01,0.09,0.09,0.35,0.51,0.51,-,-,0.16,1.69,1.69
16,Debt / EBITDA Ratio,0.26,0.24,0.31,0.44,0.33,0.06,0.33,0.05,0.48,0.40,1.73,2.00,1.92,-,-,0.28,3.19,3.19
17,Debt / FCF Ratio,0.62,0.62,1.31,-,23.54,0.78,-,-,-1.38,-,-,-,-,-,-,2.74,12.94,25.87
18,Asset Turnover,0.52,0.51,0.47,0.55,0.52,0.53,0.52,0.52,0.50,-,-,-,-,-,-,0.47,-,
19,Inventory Turnover,14.39,13.14,12.72,14.31,15.48,13.27,13.55,13.98,15.35,14.57,-,-,-,-,-,-,15.47,-
20,Quick Ratio,3.38,3.38,3.41,3.92,2.88,1.76,1.52,1.70,2.81,2.74,3.17,-,0.97,-,-,-,0.88,0.88
21,Current Ratio,4.30,4.30,4.41,4.94,3.61,2.20,1.99,2.18,3.46,3.50,3.60,-,1.23,-,-,-,1.15,1.15
22,Return on Equity (ROE),12.64%,11.00%,6.31%,11.53%,13.35%,12.74%,11.94%,3.40%,13.34%,10.97%,10.58%,-,-,-,-,9.62%,-,
23,Return on Assets (ROA),8.58%,7.65%,4.01%,7.73%,8.78%,8.58%,7.96%,5.34%,7.88%,-,-,-,-,-,-,6.00%,-,
24,Return on Capital (ROIC),9.21%,8.16%,4.30%,8.66%,9.94%,9.66%,8.91%,5.86%,8.67%,7.52%,6.62%,-,-,-,-,6.52%,-,
25,Return on Capital Employed (ROCE),11.83%,11.99%,12.14%,12.31%,13.83%,13.62%,13.87%,13.03%,10.95%,10.38%,9.33%,-,20.12%,-,-,-,5.86%,2.93%
26,Earnings Yield,1.54%,1.33%,1.56%,1.52%,1.74%,1.42%,1.38%,1.40%,1.19%,1.89%,1.35%,-,-,-,-,-,-,-
27,FCF Yield,1.33%,1.15%,0.79%,0.38%,0.05%,0.25%,0.01%,-0.59%,-1.06%,-2.95%,-2.28%,-,-,-,-,-,-,-
28,Dividend Yield,0.17%,-,-,-,0.17%,-,-,-,0.41%,-,-,-,-,-,-,-,-,-
29,Payout Ratio,13.49%,5.03%,40.34%,3.52%,2.53%,8.76%,72.98%,2.34%,7.07%,6.68%,19.85%,30.47%,24.16%,9.07%,11.72%,11.72%,546.28%,546.28%
30,Buyback Yield / Dilution,1.99%,5.54%,-3.92%,1.44%,4.58%,-19.60%,1.49%,-9.74%,-12.23%,4.16%,-13.17%,-1.30%,-301.30%,-311.13%,-,-,-,-
31,Total Shareholder Return,2.16%,5.54%,-3.92%,1.44%,4.75%,-19.60%,1.49%,-9.74%,-11.83%,4.16%,-13.17%,-1.30%,-301.30%,-311.13%,-,-,-,-
