,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2015,Q1 2015
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015"
0,Operating Revenue,282.96,217.16,232.33,214.63,280.5,224.66,243.9,201.2,270.57,215.82,188.98,167.39,238.74,189.52,189.52,87.51,87.51
1,Other Revenue,-29.81,29.81,-,57.99,-27.88,27.88,-,41.82,-15.75,15.75,-,47.41,-24.08,12.04,12.04,2.05,2.05
2,Revenue,253.15,246.98,232.33,272.62,252.61,252.55,243.9,243.02,254.82,231.57,188.98,214.8,214.66,201.56,201.56,89.56,89.56
3,Revenue Growth (YoY),0.21%,-2.20%,-4.74%,12.18%,-0.87%,9.06%,29.06%,13.14%,18.71%,14.89%,-6.24%,139.84%,139.68%,-,-,-,-
4,Cost of Revenue,160.33,165.52,178.57,182.48,160.88,165.02,164.24,174.86,166.78,156.85,137.79,149.43,125.95,115.57,115.57,50.24,50.24
5,Gross Profit,92.82,81.46,53.76,90.14,91.74,87.52,79.66,68.16,88.04,74.72,51.19,65.37,88.7,85.98,85.98,39.32,39.32
6,"Selling, General & Admin",21.5,20.49,19.2,21.98,20.92,19.31,18.53,25.86,21.16,22.96,16.73,22.89,18.28,16.19,16.19,19.45,19.45
7,Research & Development,0.16,0.06,0.23,0.7,0.06,0.06,0.07,0.08,0.06,0.06,0.06,0.08,0.08,0.06,0.06,-,-
8,Other Operating Expenses,1.62,2.27,1,2.31,0.9,2.03,-0.68,2.75,1.03,1.15,0.85,7.58,0.35,-0.68,-0.68,1.14,1.14
9,Operating Expenses,25.63,21.68,22,28.62,23.11,22.18,20.24,28.41,23.74,25.73,18.61,35.63,17.87,15.89,15.89,20.93,20.93
10,Operating Income,67.18,59.79,31.77,61.52,68.63,65.35,59.42,39.75,64.3,49,32.58,29.74,70.84,70.1,70.1,18.39,18.39
11,Interest Expense,-0.9,-1.1,-5.04,-1.53,-1.57,-2.35,-1.11,-3.5,-3.26,-6.55,-4.76,-5.95,-6.24,-2.18,-2.18,-8.11,-8.11
12,Interest & Investment Income,0.47,3.04,2.16,0.89,0.68,0.41,1.27,0.82,1.13,-,0.1,0.44,0.51,-,-,0.1,0.1
13,Currency Exchange Gain (Loss),-,-,-,-,-,-,-,0,-0,0,-,-0.01,0.01,-0.01,-0.01,0.01,0.01
14,Other Non Operating Income (Expenses),1.67,-4.15,2.43,-0.02,0.3,0.42,-1.09,-0.24,0.34,-0.32,0.15,-0.99,-0.29,0.3,0.3,-0.01,-0.01
15,EBT Excluding Unusual Items,68.44,57.57,31.32,60.87,68.04,63.83,58.49,36.83,62.51,42.13,28.07,23.23,64.83,68.22,68.22,10.38,10.38
16,Gain (Loss) on Sale of Investments,-,-,-,-,-,0.07,-0.07,0.58,-,0,0.17,0.41,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,0.06,-0.02,0.03,0.76,0.39,0.26,0.6,0.31,-0.01,0,-,-,0.18,-0,-0,0.14,0.14
18,Asset Writedown,0.02,0.36,-0.38,-0.48,-0.14,-0.83,0.71,-15.81,0,0.61,-0.63,0.2,-9.81,-0.05,-0.05,0,0
19,Other Unusual Items,-0.36,1.97,4.73,3.29,-0,0,-,1.89,0.41,-0.41,-,6.73,-0.18,0.09,0.09,0.19,0.19
