,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2015,Q1 2015
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015"
0,Cash & Equivalents,170.18,147.35,173.43,227.26,223.31,211.61,229.2,254.45,158.08,635.47,-,123.57,-,-,-,22.45,22.45
1,Trading Asset Securities,10,-,-,-,-,-,-,30.1,85,-,-,47.41,-,-,-,-,-
2,Cash & Short-Term Investments,180.18,147.35,173.43,227.26,223.31,211.61,229.2,284.55,243.08,635.47,170.99,170.99,-,-,36.15,22.45,22.45
3,Cash Growth,-19.31%,-30.37%,-24.33%,-20.13%,-8.13%,-66.70%,34.04%,66.42%,-,-,373.02%,661.74%,-,-,-,-,-
4,Accounts Receivable,242.85,259.35,250.83,217.78,228.72,197.77,173.72,151.12,204.54,173.13,-,105.08,-,-,-,97.9,97.9
5,Other Receivables,13.23,13.53,13.87,13.47,15.91,15.52,16.26,15.11,31.97,19.29,-,9.83,-,-,-,0.41,0.41
6,Receivables,256.08,272.87,264.69,231.25,244.63,213.28,189.97,166.24,236.51,192.42,-,114.91,-,-,-,98.31,98.31
7,Inventory,47.26,50.39,53.75,46.1,48.18,48.81,48.63,45.35,45.75,45.84,-,39.85,-,-,-,12.99,12.99
8,Prepaid Expenses,-,-,-,-,-,0,-,0.09,-,2.31,-,2.31,-,-,-,-,-
9,Other Current Assets,71.31,72.8,60.57,69.48,71.63,81.53,70.14,58.98,87.51,64,-,32.45,-,-,-,24.43,24.43
10,Total Current Assets,554.82,543.41,552.44,574.09,587.74,555.23,537.93,555.21,612.85,940.04,-,360.51,-,-,-,158.18,158.18
11,"Property, Plant & Equipment",1280,1264,1254,1276,1238,1210,1194,1179,1192,1182,-,938.21,-,-,-,552.74,552.74
12,Long-Term Investments,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,-,0.65,-,-,-,0.65,0.65
13,Other Intangible Assets,35.46,35.73,36,36.16,36.4,36.57,36.83,36.97,32.06,28.32,-,28.67,-,-,-,22,22
14,Long-Term Deferred Tax Assets,13.48,13.46,13.7,13.09,13.56,13.55,13.37,12.11,12.31,12.22,-,11.89,-,-,-,1.72,1.72
15,Long-Term Deferred Charges,1.53,1.65,1.77,1.88,1.76,1.81,1.7,1.33,0.25,0.25,-,-,-,-,-,-,-
16,Other Long-Term Assets,79.99,89.5,98.8,99.67,100.49,109.94,93.61,70.12,16.23,51.13,-,150.32,-,-,-,30.44,30.44
17,Total Assets,1966,1949,1957,2002,1978,1928,1878,1856,1866,2215,-,1490,-,-,-,765.73,765.73
18,Accounts Payable,72.31,65.2,61.69,74.69,87.32,87.89,71.02,57.91,71.94,96.97,-,71.59,-,-,-,28.37,28.37
19,Accrued Expenses,18.27,19.67,16.78,25.04,15.78,18.33,14.09,24.69,13.82,19.72,-,17.8,-,-,-,6.43,6.43
20,Current Portion of Long-Term Debt,-,6.58,-,3.25,-,109.62,-,0.14,15.85,61.04,-,57.03,-,-,-,70,70
21,Current Portion of Leases,2.02,0.46,5.57,19.64,-,-,-,15.42,-,15.35,-,-,-,-,-,11.64,11.64
22,Current Income Taxes Payable,20.47,12.62,15.32,18.2,18.03,12.79,24.11,39.11,44.3,28.62,-,19.61,-,-,-,8.11,8.11
23,Current Unearned Revenue,7.56,8.66,5.19,5.83,7.27,8.19,6.59,14.38,16.9,17.72,-,17.96,-,-,-,1.03,1.03
24,Other Current Liabilities,8.5,10.14,7.16,12.41,138.21,41.92,131.42,9,12.4,21.91,-,109.74,-,-,-,12.27,12.27
25,Total Current Liabilities,129.13,123.33,111.72,159.07,266.6,278.75,247.22,160.65,175.21,261.34,-,293.74,-,-,-,137.85,137.85
26,Long-Term Debt,93.19,110.69,107.15,109.04,12.15,12.15,-,109.5,109.5,420.23,-,345.4,-,-,-,330,330
27,Long-Term Leases,-,-,-,-,10.38,13.14,17.73,19.64,7.41,31.42,-,12.33,-,-,-,31.48,31.48
28,Long-Term Unearned Revenue,10.94,9.8,10.08,10.36,10.59,0.75,0.85,0.94,1.03,1.13,-,1.31,-,-,-,4.55,4.55
29,Long-Term Deferred Tax Liabilities,0.91,1.02,1.13,1.12,2.49,2.81,3.16,2.55,2.79,2.76,-,2.71,-,-,-,-,-
30,Other Long-Term Liabilities,-,-,-,-,-,-,-,-,19.95,-,-,18.98,-,-,-,-,-
31,Total Liabilities,234.16,244.84,230.08,279.6,302.21,307.6,268.96,293.28,315.89,716.87,-,674.47,-,-,-,503.87,503.87
32,Common Stock,400.1,400.1,400.1,400.1,400.1,400.1,400.1,400.1,400.1,400.1,-,360.09,-,-,-,90,90
33,Additional Paid-In Capital,588.04,588.04,588.04,588.04,588.04,588.04,588.04,588.04,588.04,588.04,-,2.54,-,-,-,21.71,21.71
34,Retained Earnings,799.49,745.22,717.92,690.7,641.74,586.74,575.31,527.96,514.48,463.8,-,410.4,-,-,-,125.96,125.96
35,Treasury Stock,-105,-77.2,-24.51,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,Comprehensive Income & Other,49.54,47.83,45.7,43.37,46.1,45.64,45.79,46.35,47.85,45.91,-,42.75,-,-,-,24.19,24.19
37,Shareholders' Equity,1732,1704,1727,1722,1676,1621,1609,1562,1550,1498,815.78,815.78,-,-,636.42,261.86,261.86
38,Total Liabilities & Equity,1966,1949,1957,2002,1978,1928,1878,1856,1866,2215,-,1490,-,-,-,765.73,765.73
39,Total Debt,95.21,117.73,112.72,131.94,22.53,134.91,17.73,144.71,132.76,528.04,414.76,414.76,-,-,99,443.12,443.12
40,Net Cash (Debt),84.97,29.62,60.71,95.32,200.78,76.7,211.47,139.84,110.32,107.43,-243.77,-243.77,-,-,-62.85,-420.67,-420.67
41,Net Cash Growth,-57.68%,-61.38%,-71.29%,-31.84%,82.00%,-28.61%,-,-,-,-,-,-,-,-,-,-,-
42,Net Cash Per Share,0.21,0.07,0.16,0.25,0.47,0.19,0.54,0.35,0.31,0.27,-0.68,-0.68,-,-,-0.18,-4.68,-4.68
43,Filing Date Shares Outstanding,396.51,397.52,399.27,400.1,400.1,400.1,400.1,400.1,400.1,400.1,359.57,360.09,369.71,360.09,360.09,90,90
44,Total Common Shares Outstanding,396.51,397.52,399.27,400.1,400.1,400.1,400.1,400.1,400.1,400.1,359.57,360.09,369.71,360.09,360.09,90,90
45,Working Capital,425.69,420.08,440.72,415.02,321.14,276.48,290.71,394.56,437.64,678.7,-,66.77,-,-,-,20.33,20.33
46,Book Value Per Share,4.37,4.29,4.33,4.30,4.19,4.05,4.02,3.91,3.88,3.74,2.27,2.27,-,-,1.77,2.91,2.91
47,Tangible Book Value,1697,1668,1691,1686,1640,1584,1572,1525,1518,1470,787.11,787.11,-,-,607.84,239.85,239.85
48,Tangible Book Value Per Share,4.28,4.20,4.24,4.21,4.10,3.96,3.93,3.81,3.80,3.67,2.19,2.19,-,-,1.69,2.67,2.67
49,Buildings,-,263.69,-,263.71,-,-,-,259.08,-,228.3,-,175.44,-,-,-,97.71,97.71
50,Machinery,-,1569,-,1460,-,-,-,1266,-,1221,-,902.76,-,-,-,639.61,639.61
51,Construction In Progress,-,284.01,-,281.68,-,-,-,260.94,-,281.1,-,392.5,-,-,-,3.71,3.71
