,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,8601,8204,7288,4648,6784,10130,9323,11654,12725,10043,10047,16865,5729,4748,4385,-,-,-,-,-,-
1,Market Cap Growth,-19.01%,-19.01%,-21.82%,-60.12%,-46.69%,0.86%,-7.21%,-30.90%,122.12%,111.52%,129.10%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,7958,7561,6586,3422,5678,9024,8242,10562,11598,9008,9073,15914,4793,3816,4371,-,-,-,-,-,-
3,Last Close Price,41.85,39.92,35.42,22.59,32.70,48.83,44.93,56.17,61.15,48.26,48.28,81.04,27.53,22.82,21.07,-,-,-,-,-,-
4,PE Ratio,1255.64,-,111.10,50.55,49.99,62.70,55.06,62.66,76.14,70.30,83.52,243.68,177.64,-1187.95,-,-,-,-,-,-,-
5,PS Ratio,54.97,47.20,29.08,16.50,20.16,28.12,26.72,31.97,43.28,42.56,58.96,222.05,149.12,1164.50,-,-,-,-,-,-,-
6,PB Ratio,5.96,5.71,5.07,3.18,4.53,6.92,6.53,-,9.22,7.61,7.85,13.64,4.75,4.04,3.78,-,-,-,-,-,-
7,P/TBV Ratio,5.74,5.74,5.10,3.20,4.55,6.96,6.57,-,9.27,7.66,7.91,13.74,4.78,4.07,3.81,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,91.19,130.25,153.93,104.11,137.52,134.09,167.39,-2895.72,-225.88,-,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,163.07,-,79.25,117.03,125.39,84.76,106.59,90.66,109.50,1217.60,-581.03,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,45.78,43.50,26.27,12.14,16.87,25.05,23.63,28.98,39.45,38.18,53.24,209.54,124.75,935.90,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,437.87,-,-,38.44,41.83,53.98,50.17,59.87,77.04,77.52,103.95,386.40,512.31,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,805.63,-,-,42.39,44.20,56.31,52.25,62.19,80.50,82.12,112.37,457.91,1677.49,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,-,-,-,-,76.33,116.03,136.09,94.35,125.33,120.26,151.17,-2732.59,-188.96,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.01,0.01,0.01,0.02,0.04,0.03,0.01,-,-,-,-,-,0.00,0.01,0.02,0.09,0.01,0.01,-,-,-
15,Debt / EBITDA Ratio,0.63,-,-,1.81,0.48,0.35,0.19,-,-,-,-,-,0.02,-,-,-,-,-,-,-,-
16,Debt / FCF Ratio,-,-,-,-,0.71,0.57,0.33,-,-,-,-,-,-0.07,-,-,-,-,-,-,-,-
17,Asset Turnover,-,0.13,0.14,0.17,-,-,-,0.27,0.21,0.29,0.12,0.11,0.01,-,-,-,-,-,-,-,
18,Inventory Turnover,-,-,0.34,0.38,0.51,-,-,-,1.72,1.28,1.42,0.71,0.67,0.10,-,-,-,-,-,-,-
19,Quick Ratio,-,-,16.57,12.24,12.60,13.30,15.05,-,36.43,39.18,22.63,95.04,126.19,45.80,29.92,1.49,-,4.84,-,-,22.92
20,Current Ratio,-,-,18.01,12.80,12.93,13.59,16.11,-,39.51,40.17,23.48,97.95,133.09,47.08,31.01,2.37,-,5.01,-,-,24.15
21,Return on Equity (ROE),-7.74%,0.04%,1.44%,7.88%,-,-,-,16.30%,11.91%,13.73%,9.90%,10.33%,5.53%,-4.54%,-11.33%,-9.04%,-,-,-6.72%,-,
22,Return on Assets (ROA),-,-1.16%,0.25%,4.02%,-,-,-,10.36%,4.99%,7.03%,4.78%,4.77%,-0.46%,-3.33%,-,-,-,-,-,-,
23,Return on Capital (ROIC),-1.87%,-1.19%,0.26%,4.19%,-,-,-,10.64%,5.15%,7.21%,4.82%,4.81%,-0.46%,-3.39%,-8.36%,-6.87%,-,-,-6.05%,-,
24,Return on Capital Employed (ROCE),-,-,-,5.51%,8.55%,10.91%,11.01%,-,10.39%,8.28%,6.30%,2.80%,0.24%,-,-,-,-,-,-,-,-
25,Earnings Yield,0.08%,0.08%,0.90%,1.98%,2.00%,1.59%,1.82%,1.60%,1.31%,1.42%,1.20%,0.41%,0.56%,-0.08%,-0.62%,-,-,-,-,-,-
26,FCF Yield,-,-0.11%,0.37%,1.10%,0.77%,0.65%,0.96%,0.73%,0.75%,0.60%,-0.03%,-0.44%,-1.09%,-1.14%,-,-,-,-,-,-,
27,Dividend Yield,0.56%,-,-,-,-,0.49%,-,-,-,0.43%,-,-,-,-,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,74.02%,926.16%,1.01%,0.09%,0.36%,88.19%,-,0.91%,0.32%,-,0.44%,-,-,-,-,-,-,-,-
29,Buyback Yield / Dilution,-10.89%,-43.66%,-1.09%,3.80%,-1.73%,-2.27%,3.58%,-0.12%,-0.43%,-54.45%,-22.72%,-23.46%,-34.86%,14.83%,-12.25%,-15.10%,1.25%,-,-,-,-
30,Total Shareholder Return,-10.33%,-43.66%,-1.09%,3.80%,-1.73%,-1.78%,3.58%,-0.12%,-0.43%,-54.02%,-22.72%,-23.46%,-34.86%,14.83%,-12.25%,-15.10%,1.25%,-,-,-,-
