,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,4.22,47.94,52.97,68.7,80.55,79.02,107.78,92.4,69.38,94.58,37.4,34.34,4.08,-,-,-,-,-,-,-
1,Other Revenue,-,-0.25,0.25,-,0.51,-0.25,0.25,-,0.25,-0.13,0.13,-,-,-,-,-,-,-,-,-
2,Revenue,4.22,47.69,53.22,68.7,81.05,78.77,108.03,92.4,69.63,94.45,37.53,34.34,4.08,-,-,-,-,-,-,-
3,Revenue Growth (YoY),-94.80%,-39.46%,-50.74%,-25.65%,16.40%,-16.60%,187.86%,169.06%,1607.74%,-,-,-,-,-,-,-,-,-,-,-
4,Cost of Revenue,-9.19,2.6,2.86,3.73,4.71,5.03,6.77,7.1,5.18,6.26,3.22,2.32,0.3,-,-,-,-,-,-,-
5,Gross Profit,13.41,45.09,50.35,64.97,76.34,73.74,101.26,85.3,64.46,88.19,34.31,32.02,3.78,-,-,-,-,-,-,-
6,"Selling, General & Admin",-114.92,42.48,38.48,33.96,40.52,40.74,42.98,23.33,32.56,50.4,8.69,7,4.8,6.48,2.86,3.15,3.33,3.42,2.72,2.62
7,Research & Development,-25.34,10.01,9.73,5.6,5.74,7.72,6.38,2.6,3.18,2.21,1.08,1.46,0.3,3.86,5.24,3.84,5.42,4.24,3.57,4.67
8,Other Operating Expenses,163.62,0.24,0.25,0.32,0.37,0.14,0.26,0.14,1.52,-0.82,0.2,-0.21,0.66,-0.65,0.23,-0.22,2.18,-2.15,0,0
9,Operating Expenses,24.24,52.08,48.79,39.32,47.05,49.52,51.94,27.85,37.69,51.9,10.74,8.95,5.98,9.69,8.33,6.78,10.93,5.51,6.29,7.3
10,Operating Income,-10.83,-6.99,1.56,25.65,29.29,24.22,49.31,57.45,26.77,36.29,23.57,23.07,-2.19,-9.69,-8.33,-6.78,-10.93,-5.51,-6.29,-7.3
11,Interest Expense,-21.83,-0.11,-0.33,-0.27,-0.06,-0.1,-0.05,-0.07,-,-0.35,-0.14,-,-0.17,-0.19,-0.17,-0.06,-0.01,-,-,-
12,Interest & Investment Income,0.7,7.49,5.97,8.37,8.9,9.58,7.96,7.89,9.51,8.09,6.74,6.46,4.01,1.95,1.43,1.21,0.93,2.34,0.85,1.6
13,Other Non Operating Income (Expenses),-4.63,-0,-0.09,-0,-0,-2.67,-1.32,-1.83,1.42,-1.42,-0.1,0.09,-0.6,0.6,-0.01,-0,-0,-0.01,-0.01,-0
14,EBT Excluding Unusual Items,-36.59,0.38,7.12,33.75,38.13,31.04,55.9,63.45,37.7,42.61,30.08,29.63,1.04,-7.33,-7.08,-5.63,-10.02,-3.18,-5.44,-5.7
15,Gain (Loss) on Sale of Investments,-0.01,-0.7,0.37,0.33,-0.46,-0.82,0.83,0.87,-0.26,0.32,0.63,0.2,3.34,-0.13,-0.08,0.12,0.47,-0.82,0.53,-0.08
16,Gain (Loss) on Sale of Assets,0,-0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,Asset Writedown,0,-0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,Other Unusual Items,3.16,-0.52,-2.03,-0.61,-2.05,-,-,-,8.87,0.29,-0.51,-,6.47,-0.44,0.44,-,2.38,-0.75,0.54,0.21
19,Pretax Income,-33.44,-0.84,5.47,33.47,35.62,30.22,56.73,64.32,46.31,43.22,30.19,29.83,10.84,-7.9,-6.72,-5.5,-7.16,-4.74,-4.36,-5.57
20,Income Tax Expense,-5.62,-1,0.14,4.29,4.69,3.71,7.65,9.3,7.62,0.04,-0.04,-0.91,-5.28,-,-,-,-,-,-,-
21,Net Income,-27.82,0.16,5.33,29.18,30.93,26.51,49.08,55.03,38.69,43.19,30.23,30.74,16.13,-7.9,-6.72,-5.5,-7.16,-4.74,-4.36,-5.57
22,Net Income to Common,-27.82,0.16,5.33,29.18,30.93,26.51,49.08,55.03,38.69,43.19,30.23,30.74,16.13,-7.9,-6.72,-5.5,-7.16,-4.74,-4.36,-5.57
