,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,651.13,272.79,974.25,914.76,809.63,-,768.13,710.38,689.06,644.13,286.12,110.43,610.49,0.22,-,0.19,-,-,0.71
1,Short-Term Investments,-,-,-,-,-,-,-,-,78.46,-,10.12,-,10.05,-,10.24,-,10,-,-,-
2,Trading Asset Securities,-,3.01,460.71,305.33,325.42,315.88,-,323.87,338.9,346.16,319.55,665.76,832.65,341.64,23.54,-,40.66,-,-,123.15
3,Cash & Short-Term Investments,654.14,654.14,733.5,1280,1240,1126,-,1092,1128,1035,973.79,951.88,953.13,952.13,34,50.85,50.85,-,123.86,123.86
4,Cash Growth,-47.25%,-41.88%,-,17.18%,9.97%,8.72%,-,14.72%,18.32%,8.73%,2764.35%,1771.95%,1774.41%,-,-72.55%,-58.94%,-,-,-,-
5,Accounts Receivable,-,118.53,138.97,134.5,143.15,141.13,-,71.14,42.44,34.41,32.38,17.66,4.1,-,-,-,-,-,-,-
6,Other Receivables,-,5.46,-,3.1,-,-,-,-,-,-,0.31,-,9.35,9.3,4.54,-,4.92,-,-,0.23
7,Receivables,-,123.99,138.97,137.6,143.15,141.13,-,71.14,42.44,34.41,32.69,17.66,13.46,9.3,4.54,-,4.92,-,-,0.23
8,Inventory,-,30.18,30.51,30.24,28.41,25.84,-,15.91,17.06,15.34,19.96,16.07,11.78,10.89,1.13,-,1.48,-,-,1.7
9,Prepaid Expenses,-,28.77,3.63,-,0.53,-,-,-,1.76,-,0.1,-,3.36,-,-,-,-,-,-,-
10,Other Current Assets,-,8.74,5.88,6.43,0.98,63.64,-,82.28,10.71,24.76,10.71,36.96,11.82,24.31,21.49,-,0.48,-,-,4.97
11,Total Current Assets,-,845.82,912.5,1454,1413,1356,-,1261,1200,1110,1037,1023,993.55,996.63,61.16,-,57.73,-,-,130.76
12,"Property, Plant & Equipment",-,136.56,120.25,121.4,120.21,123.21,-,120.63,121.45,113.83,94.04,82.77,83.95,83.97,85.63,-,87.82,-,-,88.04
13,Long-Term Investments,-,-,473.16,-,21.01,-,-,-,20.32,-,96.98,-,105.82,105.23,104.64,-,103.48,-,-,-
14,Other Intangible Assets,-,8.42,8.47,8.52,8.58,8.63,-,8.74,8.79,8.85,8.9,8.96,9.01,9.06,9.12,-,9.23,-,-,9.39
15,Long-Term Deferred Tax Assets,-,7.71,7.07,6.29,5.65,4.55,-,1.96,1.84,6.49,6.45,6.25,6.07,-,-,-,-,-,-,-
16,Long-Term Deferred Charges,-,2.63,1.64,1.75,1.86,1.85,-,1.39,0.22,-,-,-,-,-,0.08,-,0.56,-,-,1.28
17,Other Long-Term Assets,-,486.95,12.49,23.9,2.81,22,-,24.04,2.25,90.87,6.41,96.4,2.16,-,-,-,-,-,-,40.15
18,Total Assets,-,1488,1536,1616,1573,1516,-,1418,1355,1330,1250,1217,1201,1195,260.62,-,258.81,-,-,269.61
