,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,11401138,8428414,7881706,7175541,8314516,7904485,7050254,4772304,4897592,5182335,7289439,8189229,10877209,9339593,7038864,6549105,4498950,3206214,2665201,2670896,1674293,Upgrade
1,Market Cap Growth,6.63%,6.63%,11.79%,50.36%,69.77%,52.53%,-3.28%,-41.72%,-54.97%,-44.51%,3.56%,25.04%,141.77%,191.30%,164.10%,145.20%,168.71%,65.59%,43.56%,19.64%,-36.91%,Upgrade
2,Enterprise Value,11802888,8968929,8766553,8583544,9731391,9443401,8575165,6315710,6450754,6659817,8764348,9437595,11755856,9642135,7399576,7016572,4980126,3729784,3154603,3222253,2204723,Upgrade
3,Last Close Price,100100.00,74000.00,69200.00,63000.00,73000.00,69400.00,61900.00,41900.00,43000.00,45500.00,64000.00,71900.00,95500.00,82000.00,61800.00,57500.00,39500.00,28150.00,23400.00,23450.00,14700.00,Upgrade
4,PE Ratio,42.91,31.72,35.17,33.77,38.13,42.65,34.80,28.12,41.28,43.40,216.05,184.82,204.98,154.38,156.71,158.50,109.67,-,25.00,26.16,17.87,Upgrade
5,PS Ratio,17.73,13.11,14.75,12.37,17.54,19.00,27.33,22.16,19.73,13.64,12.38,12.74,13.98,12.50,4.84,4.71,3.58,2.82,4.03,4.55,2.54,Upgrade
6,PB Ratio,3.83,2.82,2.75,2.54,3.01,2.86,2.63,1.81,1.89,2.01,2.94,3.31,4.92,4.25,3.23,3.03,2.06,1.49,1.25,1.25,0.75,Upgrade
7,P/TBV Ratio,2.83,2.83,2.76,2.56,3.02,2.92,2.69,1.84,1.94,2.06,3.01,3.39,5.05,4.36,3.31,3.10,2.11,1.52,1.26,1.27,0.76,Upgrade
8,P/FCF Ratio,9.71,4.21,55.98,-,-,-,-31.50,-,-16.68,-,-6.22,-,-,-,28.84,44.06,40.21,53.16,-,-1134.31,-,Upgrade
9,P/OCF Ratio,7.17,4.21,54.96,-,-,-,-31.96,-,-16.86,-,-,-,-,-,28.69,43.59,39.76,52.07,-,-3947.75,-,Upgrade
10,EV/Sales Ratio,18.36,13.95,16.40,14.80,20.53,22.70,33.24,29.33,25.99,17.53,14.89,14.68,15.11,12.91,5.09,5.05,3.97,3.28,4.77,5.49,3.35,Upgrade
11,EV/EBITDA Ratio,32.87,24.54,29.84,29.56,47.16,64.92,308.83,-,-,-,96.11,92.68,85.68,60.49,17.59,17.20,12.69,10.16,19.02,20.21,14.65,Upgrade
12,EV/EBIT Ratio,33.68,25.59,30.65,30.30,48.90,68.27,429.26,-,-,-,105.98,101.47,91.82,64.28,18.04,17.64,13.02,10.45,20.16,21.56,15.75,Upgrade
13,EV/FCF Ratio,10.05,4.48,62.27,-,-,-,-38.31,-,-21.97,-,-7.48,-,-,-,30.32,47.20,44.51,61.84,-,-1368.47,-,Upgrade
14,Debt / Equity Ratio,0.19,0.19,0.21,0.36,0.53,0.53,0.58,0.60,0.61,0.62,0.63,0.63,0.65,0.55,0.24,0.26,0.28,0.32,0.27,0.26,0.26,Upgrade
15,Debt / EBITDA Ratio,1.59,0.84,2.32,3.57,6.07,3.71,6.44,-,-,-,20.98,108.93,24.28,5.55,4.49,3.65,4.10,0.54,8.65,5.93,12.53,Upgrade
16,Debt / FCF Ratio,0.49,0.29,4.22,-,-,-,-6.98,-,-5.35,-,-1.33,-,-,-,2.15,3.83,5.42,11.31,-,-234.88,-,Upgrade
17,Asset Turnover,0.14,0.07,0.06,0.06,0.09,0.10,0.01,0.04,0.01,0.08,0.03,0.11,0.13,0.11,0.10,0.09,0.53,0.07,0.03,0.02,Upgrade,
18,Inventory Turnover,0.06,0.09,0.05,0.04,0.05,0.06,0.10,0.02,0.05,0.02,0.11,0.04,0.18,0.17,0.15,0.13,0.11,0.61,0.10,0.02,0.02,Upgrade
19,Quick Ratio,0.29,0.28,0.36,0.13,0.11,0.14,0.11,0.07,0.04,0.06,0.07,0.09,0.11,0.16,0.11,0.12,0.11,0.14,0.11,0.11,0.11,Upgrade
20,Current Ratio,2.45,2.45,2.79,1.99,1.65,1.55,1.31,1.30,1.19,1.19,1.32,1.35,1.24,1.22,0.97,0.97,1.02,1.02,1.11,1.07,1.09,Upgrade
21,Return on Equity (ROE),16.68%,6.65%,7.55%,6.42%,11.84%,5.27%,8.84%,1.62%,15.48%,0.46%,1.05%,2.51%,3.25%,3.64%,3.65%,4.95%,2.35%,1.68%,2.73%,0.97%,Upgrade,
22,Return on Assets (ROA),5.14%,1.98%,2.29%,1.92%,3.34%,2.11%,-0.52%,-0.11%,-0.80%,0.61%,0.06%,0.46%,1.86%,0.96%,1.30%,1.23%,11.07%,0.52%,0.77%,0.34%,Upgrade,
23,Return on Capital (ROIC),11.47%,4.21%,4.34%,3.42%,5.72%,3.47%,-0.85%,-0.17%,-1.32%,1.03%,0.10%,0.89%,4.25%,2.48%,3.31%,3.08%,28.12%,1.35%,1.92%,0.81%,Upgrade,
24,Return on Capital Employed (ROCE),6.04%,6.04%,4.77%,5.44%,4.29%,3.13%,0.54%,-,-,-,2.21%,2.49%,3.69%,4.34%,15.93%,15.55%,14.65%,13.80%,5.28%,5.30%,4.87%,Upgrade
25,Earnings Yield,2.33%,3.15%,2.84%,2.96%,2.62%,2.34%,2.88%,3.56%,2.43%,2.31%,0.52%,0.59%,0.53%,0.69%,0.68%,0.68%,0.98%,0.95%,4.32%,4.15%,6.11%,Upgrade
26,FCF Yield,10.30%,23.76%,1.79%,-7.74%,-10.38%,-10.53%,-3.17%,-10.48%,-6.00%,-12.77%,-16.06%,-13.61%,-7.17%,-4.28%,3.47%,2.27%,2.49%,1.88%,-1.36%,-0.09%,-4.47%,Upgrade
27,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.07%,-,-,-,Upgrade
28,Payout Ratio,78.31%,170.16%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
29,Buyback Yield / Dilution,0.01%,0.14%,-,-0.12%,0.12%,-0.18%,-,1.43%,-0.88%,9.88%,-0.42%,-0.52%,0.57%,-10.35%,0.33%,-0.45%,-0.08%,-0.59%,1.16%,0.47%,0.15%,Upgrade
30,Total Shareholder Return,0.01%,0.14%,-,-0.12%,0.12%,-0.18%,-,1.43%,-0.88%,9.88%,-0.42%,-0.52%,0.57%,-10.35%,0.33%,-0.45%,-0.08%,0.47%,1.16%,0.47%,0.15%,Upgrade
