,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,278322,127610,118813,118280,169800,173242,12759,60222,11781,130605,45640,191785,220626,184791,180604,161016,926879,121106,46991,40926,Upgrade
1,Revenue Growth (YoY),63.91%,-26.34%,831.18%,96.41%,1341.31%,32.65%,-72.04%,-68.60%,-94.66%,-29.32%,-74.73%,19.11%,-76.20%,52.59%,284.34%,293.43%,105.16%,156.41%,-60.50%,-47.53%,Upgrade
2,Cost of Revenue,101005,57650,38048,51008,61086,100680,19036,48029,19367,105175,38024,161528,152492,135762,123927,102975,581634,94567,14370,17847,Upgrade
3,Gross Profit,177318,69959,80765,67272,108714,72562,-6277,12193,-7586,25430,7616,30258,68134,49029,56677,58041,345246,26539,32620,23079,Upgrade
4,"Selling, General & Admin",16210,8457,10694,9470,12038,13870,7897,15071,14079,8805,6080,17642,16214,22090,20118,23445,33161,11998,11416,13910,Upgrade
5,Operating Expenses,16210,8457,10694,9470,12038,13870,7897,15071,14079,8805,6080,17642,16214,22090,20118,23445,33161,11998,11416,13910,Upgrade
6,Operating Income,161107,61503,70070,57802,96676,58692,-14173,-2878,-21665,16625,1536,12616,51920,26939,36559,34595,312085,14541,21204,9169,Upgrade
7,Interest Expense,-,-,-579.81,-,-100919,-,-103801,-0,-,-,-9320,-,-4542,-3418,-5861,-3454,-3227,-3221,-,-3855,Upgrade
8,Interest & Investment Income,870.49,935.04,1322,543.5,0,634.7,-,104842,40621,402.8,-,1869,2567,322.02,286.97,495.44,530.11,905.04,843.97,4.19,Upgrade
9,Earnings From Equity Investments,-,-,-,-,-61.64,-,-16000,15334,-6031,-,-5528,-,-29678,-,-998.71,-,-423.64,-,-1149,-,Upgrade
10,Other Non Operating Income (Expenses),759.36,-277.36,-1297,-75.29,-367.75,-1868,101216,-103561,-22141,43.16,31464,-1569,-3269,17.23,-3635,3119,-237196,67.7,-210.61,758.97,Upgrade
11,EBT Excluding Unusual Items,162737,62160,69516,58271,-4672,57459,-32758,13737,-9216,17071,18152,12916,16998,23860,26351,34756,71768,12293,20689,6077,Upgrade
12,Gain (Loss) on Sale of Investments,-,1465,-289.89,1643,109193,930.61,108529,194.23,-12571,-1049,-6745,7794,13914,970.37,-854.38,-115.99,1451,-197.3,-1456,1654,Upgrade
13,Other Unusual Items,-,-,-,-,-,-,-,-,150000,-,-,-,-,-,-,-,-,-,-,-,Upgrade
14,Pretax Income,162737,63626,69226,59913,104521,58390,75771,13931,128212,16021,11407,20710,30912,24831,25497,34640,73219,12095,19232,7731,Upgrade
15,Income Tax Expense,40566,16348,16503,15568,24025,23367,18002,3453,30416,13182,5226,6881,13112,5048,5704,7828,60605,3105,4319,2305,Upgrade
16,Earnings From Continuing Operations,122171,47278,52723,44345,80496,35023,57769,10478,97797,2839,6181,13829,17800,19782,19793,26812,12614,8991,14914,5426,Upgrade
17,Minority Interest in Earnings,108.73,-208.48,-457.19,-268.83,219.85,419.84,37.1,894.76,436.15,-252.33,561,-1704,-1232,-6625,-4298,-7254,-12686,568.06,286.36,452.78,Upgrade
18,Net Income,122279,47069,52266,44076,80716,35443,57806,11373,98233,2587,6742,12125,16568,13157,15495,19558,-72.33,9559,15200,5879,Upgrade
19,Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,279.34,-,-,-,4281,-,-,-,3222,-,-,-,Upgrade
