,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,87.36,83.08,85.08,77.4,129.12,97.51,89.03,100.05,140.23,79.98,94.79,84.54,101.66,94.02,67.09,90.7,64.3,46.59,46.59
1,Other Revenue,-4.33,4.33,-,10.12,-16.16,16.16,-,12.93,-8,8,-,15.64,-7.96,7.96,-,14.67,-,2.41,2.41
2,Revenue,83.04,87.41,85.08,87.53,112.96,113.67,89.03,112.99,132.23,87.98,94.79,100.19,93.7,101.98,67.09,105.38,64.3,49,49
3,Revenue Growth (YoY),-26.49%,-23.11%,-4.44%,-22.53%,-14.58%,29.21%,-6.07%,12.78%,41.12%,-13.74%,41.28%,-4.93%,45.73%,108.14%,36.93%,-,-,-,-
4,Cost of Revenue,72.11,72.72,64.25,69.37,84.8,83.68,60.33,72.36,96.15,58.9,62.93,63.55,58.52,68.16,41.37,68.98,33.32,26.93,26.93
5,Gross Profit,10.92,14.69,20.83,18.16,28.16,30,28.7,40.62,36.09,29.07,31.85,36.64,35.18,33.83,25.72,36.4,30.98,22.07,22.07
6,"Selling, General & Admin",11.54,12.26,10.71,14.85,13.43,11.97,12.27,18.66,14.6,13.43,12.27,13.26,10.74,8.21,9.57,7.61,8.75,7.26,7.26
7,Research & Development,2.54,2.54,2.55,3.08,3.34,3.15,2.74,4.69,2.36,2.2,2.43,3.04,2.73,2.69,1.49,2.36,1.82,1.95,1.95
8,Other Operating Expenses,-0.7,-0.08,0.25,-1.61,0.38,0.59,0.09,1.56,0.59,0.63,-0.1,1.81,0.85,-0.19,0.41,1.76,0.35,0.34,0.34
9,Operating Expenses,13.42,13.46,10.76,19.19,16.86,14.01,13.84,28.24,18.79,16.4,14.75,20.24,14.29,13.46,11.06,14.38,10.53,9.32,9.32
10,Operating Income,-2.5,1.23,10.06,-1.03,11.3,15.99,14.86,12.38,17.3,12.67,17.1,16.4,20.89,20.37,14.66,22.02,20.44,12.75,12.75
11,Interest Expense,-1.62,-1.87,-1.6,-1.29,-1.16,-0.81,-0.89,-0.65,-0.62,-0.37,-0.33,-0.5,-0.61,-0.36,-0.09,-0.06,-0.18,-0.21,-0.21
12,Interest & Investment Income,1.84,2.7,0.75,2.08,4.27,1.34,1.37,4.29,2.81,1.18,0.23,0.2,0.09,0.06,0.15,0.3,0.25,0.17,0.17
13,Currency Exchange Gain (Loss),0.76,-0.76,-,-0.46,0.02,-0.02,-,-0.75,0.11,-0.11,-,-0.01,0.01,-0.01,-,0,-,0,0
14,Other Non Operating Income (Expenses),-0.68,-0.01,-0.3,-1.39,0.04,-0.5,0.38,-9.01,0.74,7.64,-0.07,-3.03,0.08,2,-0.02,-3.11,2.94,-0.11,-0.11
15,EBT Excluding Unusual Items,-2.19,1.29,8.91,-2.08,14.46,16,15.73,6.28,20.34,21.01,16.93,13.05,20.46,22.06,14.7,19.14,23.45,12.6,12.6
16,Gain (Loss) on Sale of Investments,-0.39,-0.55,0.98,-2.23,-0.07,1.32,0.99,-1.24,0.49,4.24,-,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-,-0.01,-0.02,0.22,0.15,0.01,-0.01,0.01,-,-0.01,-,0.28,-,-,-,-,-,-,-
18,Asset Writedown,-0.45,0.1,-0.1,0.09,-0.09,-0.95,0.95,-0.59,0.59,0.08,-0.08,1.07,-1.07,0.07,-0.07,-0.16,0.23,-,-
19,Other Unusual Items,-0.81,0.27,0.54,0.33,-,-,-,10.39,-,-,-,3.29,-,-,-,3.94,-,0.25,0.25
20,Pretax Income,-3.85,1.1,10.31,-3.67,14.45,16.38,17.65,14.85,21.42,25.33,16.84,17.7,19.39,22.12,14.63,22.93,23.67,12.85,12.85
21,Income Tax Expense,-0.57,1.32,0.73,-1.34,3.45,3.24,3.35,3.34,1.9,3.87,3.47,3.53,3.33,3.34,2.93,4.33,4.59,2.28,2.28
22,Earnings From Continuing Operations,-3.28,-0.22,9.58,-2.33,11,13.14,14.3,11.5,19.51,21.46,13.37,14.17,16.06,18.79,11.71,18.59,19.08,10.58,10.58
23,Minority Interest in Earnings,0.02,0.02,0.01,-0,0.02,-0,0.01,-0.01,0.01,-0.01,-,-,-,-,-,-,-,-,-
24,Net Income,-3.26,-0.2,9.59,-2.34,11.01,13.14,14.31,11.49,19.52,21.45,13.37,14.17,16.06,18.79,11.71,18.59,19.08,10.58,10.58
25,Net Income to Common,-3.26,-0.2,9.59,-2.34,11.01,13.14,14.31,11.49,19.52,21.45,13.37,14.17,16.06,18.79,11.71,18.59,19.08,10.58,10.58
26,Net Income Growth,-,-,-32.99%,-,-43.58%,-38.76%,7.02%,-18.88%,21.53%,14.17%,14.20%,-23.78%,-15.83%,77.65%,10.71%,-,-,-,-
27,Shares Outstanding (Basic),146,153,160,186,159,164,179,166,174,161,174,137,129,128,124,132,126,128,128
28,Shares Outstanding (Diluted),146,153,160,186,159,164,179,166,174,161,174,137,129,128,124,132,126,128,128
29,Shares Change (YoY),-7.69%,-6.80%,-10.65%,12.41%,-8.94%,1.72%,2.88%,21.09%,34.60%,26.34%,40.64%,3.67%,2.74%,0.10%,-3.14%,-,-,-,-
30,EPS (Basic),-0.02,-0.00,0.06,-0.01,0.07,0.08,0.08,0.07,0.11,0.13,0.08,0.10,0.12,0.15,0.09,0.14,0.15,0.08,0.08
31,EPS (Diluted),-0.02,-0.00,0.06,-0.01,0.07,0.08,0.08,0.07,0.11,0.13,0.08,0.10,0.12,0.15,0.09,0.14,0.15,0.08,0.08
32,EPS Growth,-,-,-25.00%,-,-38.04%,-39.79%,4.03%,-33.00%,-9.71%,-9.63%,-18.80%,-26.48%,-18.08%,77.48%,14.30%,-,-,-,-
