,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,1861,1704,1354,1567,2052,2396,2565,3584,3151,2158,2932,2676,3719,-,-,-,-,-,-,-
1,Market Cap Growth,-28.91%,-28.91%,-47.23%,-56.29%,-34.89%,11.05%,-12.49%,33.94%,-15.27%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1765,1635,1239,1309,1794,2094,2246,3206,2773,1767,2491,2664,3707,-,-,-,-,-,-,-
3,Last Close Price,11.01,10.08,8.01,9.14,11.97,13.99,14.97,20.76,18.25,12.50,16.98,15.34,21.32,-,-,-,-,-,-,-
4,PE Ratio,491.78,-,-,49.89,-,47.97,43.88,53.67,47.87,31.50,45.06,42.89,61.24,-,-,-,-,-,-,-
5,Forward PE,-,42.00,33.38,19.02,17.16,15.67,17.16,26.38,26.28,18.92,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,5.18,4.97,3.63,3.92,5.09,5.59,5.73,8.49,7.36,5.20,7.78,6.85,10.25,-,-,-,-,-,-,-
7,PB Ratio,1.98,1.81,1.43,1.63,2.15,2.50,2.71,3.73,3.33,2.32,3.22,2.91,4.11,-,-,-,-,-,-,-
8,P/TBV Ratio,1.92,1.92,1.52,1.72,2.28,2.66,2.88,3.95,3.54,2.47,3.40,3.07,4.34,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-12.58,-,-,-,-,-39.25,-,-,-,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,103.06,103.06,-29.77,-,-,-,184.59,1188.27,-,-71.34,455.79,-,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,5.14,4.77,3.32,3.28,4.45,4.89,5.02,7.59,6.48,4.26,6.61,6.82,10.21,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,53.41,57.83,29.98,23.58,30.12,29.00,28.79,43.25,36.40,22.08,30.37,30.12,43.91,-,-,-,-,-,-,-
13,EV/EBIT Ratio,275.08,-,57.46,36.03,-,38.40,37.11,56.03,46.65,27.84,37.14,35.64,51.26,-,-,-,-,-,-,-
14,EV/FCF Ratio,-13.03,-12.07,-,-,-,-,-34.37,-,-,-,-,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.26,0.26,0.29,0.35,0.21,0.21,0.11,0.14,0.09,0.10,0.09,0.03,0.05,0.12,-,0.01,0.01,0.04,0.04,0.04
16,Debt / EBITDA Ratio,7.43,24.95,7.78,5.56,6.03,3.22,1.17,1.79,1.08,1.04,1.15,0.34,0.57,0.53,-,0.07,0.05,0.14,0.22,0.22
17,Debt / FCF Ratio,-,-1.81,-,-,-,-,-1.65,-,-,-,-,-,-,-1.07,-,-,-,0.33,1.24,2.48
18,Asset Turnover,0.26,0.26,0.25,0.27,0.38,0.39,0.31,0.40,0.48,0.34,0.37,0.51,-,-,-,-,-,0.52,-,
19,Inventory Turnover,2.55,2.38,2.33,2.17,2.64,3.60,3.46,2.49,3.22,4.07,2.64,3.35,3.87,-,-,-,-,-,2.22,-
20,Quick Ratio,1.68,1.68,1.66,1.64,1.97,2.69,3.79,3.41,3.88,3.95,4.46,8.29,6.75,1.91,-,-,2.46,-,2.83,2.83
21,Current Ratio,2.12,2.12,2.09,2.01,2.34,3.13,4.37,3.97,4.46,4.53,5.22,9.37,7.48,2.47,-,-,3.23,-,4.06,4.06
22,Return on Equity (ROE),-1.39%,-0.09%,4.00%,-0.98%,4.62%,5.51%,6.00%,4.91%,8.49%,9.39%,5.87%,8.64%,-,-,13.00%,21.77%,23.65%,13.11%,-,
23,Return on Assets (ROA),-0.49%,0.23%,1.88%,-0.20%,2.37%,3.47%,3.23%,2.76%,3.96%,3.05%,4.21%,5.26%,-,-,-,-,-,8.43%,-,
24,Return on Capital (ROIC),-0.52%,0.24%,2.05%,-0.22%,2.55%,3.71%,3.48%,3.02%,4.31%,3.27%,4.50%,5.83%,-,-,10.03%,15.70%,15.22%,9.49%,-,
25,Return on Capital Employed (ROCE),0.68%,-,2.27%,3.74%,-,5.53%,6.32%,5.88%,6.25%,6.75%,7.28%,8.05%,7.89%,18.72%,-,-,18.67%,-,7.77%,3.89%
26,Earnings Yield,0.20%,0.22%,1.33%,2.00%,1.76%,2.08%,2.28%,1.86%,2.09%,3.17%,2.22%,2.33%,1.63%,-,-,-,-,-,-,-
27,FCF Yield,-7.28%,-7.95%,-14.36%,-10.35%,-5.45%,-3.41%,-2.55%,-2.79%,-3.26%,-3.79%,-1.67%,-1.79%,-1.49%,-,-,-,-,-,-,-
28,Dividend Yield,1.09%,-,-,-,1.00%,-,-,-,0.84%,-,-,-,0.83%,-,-,-,-,-,-,-
29,Payout Ratio,703.95%,-,-,13.20%,-,9.31%,203.47%,5.88%,6.15%,2.63%,141.08%,2.01%,3.15%,3.11%,1.19%,0.41%,0.36%,0.68%,1.41%,1.41%
30,Buyback Yield / Dilution,3.27%,7.69%,6.80%,10.65%,-12.41%,8.94%,-1.72%,-2.88%,-21.09%,-34.60%,-26.34%,-40.64%,-3.67%,-2.74%,-0.10%,3.14%,-,-,-,-
31,Total Shareholder Return,4.36%,7.69%,6.80%,10.65%,-11.40%,8.94%,-1.72%,-2.88%,-20.24%,-34.60%,-26.34%,-40.64%,-2.84%,-2.74%,-0.10%,3.14%,-,-,-,-
