,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021"
0,Market Capitalization,2483,2112,1940,1821,1848,2737,2680,2877,3245,-,-,-,-,-,-
1,Market Cap Growth,-22.83%,-22.83%,-27.62%,-36.71%,-43.04%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2324,1953,1775,1387,1388,2277,2234,2491,3281,-,-,-,-,-,-
3,Last Close Price,28.22,24.00,22.04,20.58,20.58,30.48,29.85,32.04,35.89,-,-,-,-,-,-
4,PE Ratio,46.26,39.40,31.74,36.80,38.94,75.33,90.19,97.76,-,-,-,-,-,-,-
5,PS Ratio,5.45,4.64,4.19,4.53,4.53,7.22,7.33,7.46,7.94,-,-,-,-,-,-
6,PB Ratio,2.95,2.50,2.30,2.18,2.22,3.25,3.28,3.55,3.97,-,-,-,-,-,-
7,P/TBV Ratio,2.60,2.60,2.39,2.27,2.31,3.39,3.42,3.71,4.15,-,-,-,-,-,-
8,P/FCF Ratio,-,-,26.80,29.70,15.88,50.06,64.65,67.71,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,16.80,17.07,11.63,25.95,28.47,32.26,-,-,-,-,-,-,-
10,EV/Sales Ratio,5.11,4.29,3.83,3.45,3.40,6.01,6.11,6.46,8.03,-,-,-,-,-,-
11,EV/EBITDA Ratio,29.59,24.71,24.16,26.30,26.30,49.91,64.35,65.50,63.92,-,-,-,-,-,-
12,EV/EBIT Ratio,40.15,33.73,33.90,43.45,43.28,89.91,153.43,136.85,-,-,-,-,-,-,-
13,EV/FCF Ratio,-,-,24.52,22.62,11.93,41.65,53.91,58.63,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.01,0.01,0.01,0.03,0.03,0.03,0.03,0.03,0.03,0.15,-,0.10,0.06,0.06,-
15,Debt / EBITDA Ratio,0.08,0.06,0.05,0.57,0.57,0.28,0.69,0.59,1.83,1.16,-,0.37,0.70,0.16,-
16,Debt / FCF Ratio,-,-,0.08,0.40,0.21,0.46,0.60,0.59,-,-,-,-,-,-,-
17,Asset Turnover,-,0.49,0.38,0.38,0.58,0.27,0.42,0.35,-,-,-,-,-,-,
18,Inventory Turnover,-,-,3.22,3.19,3.05,3.68,1.43,2.86,1.76,-,-,-,-,-,-
19,Quick Ratio,-,-,1.65,2.27,2.27,4.70,5.05,5.20,5.76,1.09,-,0.85,-,1.00,-
20,Current Ratio,-,-,2.36,2.97,2.97,5.46,6.22,6.09,6.89,1.70,-,1.55,-,1.52,-
21,Return on Equity (ROE),7.58%,8.18%,4.89%,4.87%,11.21%,2.79%,4.10%,-0.48%,-,-,22.90%,-0.46%,-,-,
22,Return on Assets (ROA),-,5.97%,1.32%,1.31%,4.32%,1.04%,1.42%,-0.46%,-,-,-,-,-,-,
23,Return on Capital (ROIC),6.68%,7.15%,1.55%,1.55%,5.04%,1.20%,1.64%,-0.56%,-,-,12.92%,1.50%,-,-,
24,Return on Capital Employed (ROCE),-,-,5.98%,3.62%,3.64%,2.84%,1.68%,2.12%,-,8.69%,-,12.67%,-,7.15%,-
25,Earnings Yield,2.16%,2.54%,3.15%,2.72%,2.57%,1.33%,1.11%,1.02%,1.25%,-,-,-,-,-,-
26,FCF Yield,-,3.73%,3.37%,6.30%,2.00%,1.55%,1.48%,-1.48%,-,-,-,-,-,-,
27,Dividend Yield,0.69%,-,-,1.94%,1.70%,0.98%,-,-,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,51.32%,131.28%,131.28%,2.84%,0.27%,215.02%,-,1.83%,5.83%,69.13%,-,58.33%,-
29,Buyback Yield / Dilution,-3.99%,-10.44%,12.01%,-35.07%,6.54%,-17.57%,-46.21%,30.78%,-165.74%,-3.59%,-,-,-,-,-
30,Total Shareholder Return,-3.31%,-10.44%,12.01%,-33.13%,8.24%,-16.59%,-46.21%,30.78%,-165.74%,-3.59%,-,-,-,-,-
