,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021"
0,Cash & Equivalents,-,117.38,162.08,162.08,462.16,488.01,473.95,414.91,21.72,-,20.74,-,35.22,-
1,Trading Asset Securities,-,51.24,30.07,30.07,-,-,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,168.62,168.62,192.15,192.15,462.16,488.01,473.95,414.91,21.72,-,20.74,35.22,35.22,-
3,Cash Growth,-63.52%,-65.45%,-59.46%,-53.69%,2027.82%,-,2185.57%,1078.08%,-38.33%,-,-,-,-,-
4,Accounts Receivable,-,95.27,104.45,104.45,134.4,65.75,103.32,148.29,162,-,137.39,-,167.8,-
5,Other Receivables,-,0.56,0.27,0.27,0.47,0.74,0.44,0.6,5.68,-,0.29,-,0.31,-
6,Receivables,-,95.84,104.72,104.72,134.88,66.49,103.76,148.89,167.68,-,137.69,-,168.11,-
7,Inventory,-,105.78,83.95,83.95,91.55,121.35,94.14,102.75,103.2,-,126.16,-,102.63,-
8,Prepaid Expenses,-,-,-,-,0.3,-,-,-,0.46,-,-,-,-,-
9,Other Current Assets,-,6.94,8.02,8.02,4.72,7.11,5.02,7.52,2.89,-,2.46,-,1.99,-
10,Total Current Assets,-,377.18,388.84,388.84,693.6,682.96,676.88,674.07,295.95,-,287.04,-,307.94,-
11,"Property, Plant & Equipment",-,255.04,243.07,243.07,237.99,236.71,240.41,233.2,228.34,-,213.63,-,201.19,-
12,Long-Term Investments,-,17.49,17.71,17.71,-,-,-,-,-,-,-,-,-,-
13,Goodwill,-,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,-,1.6,-,1.6,-
14,Other Intangible Assets,-,28.57,28.9,28.9,28.56,28.9,28.91,31.41,29.42,-,29.72,-,30.29,-
15,Long-Term Deferred Tax Assets,-,9.25,9.55,9.55,9.11,7.84,8.13,8.18,8.16,-,8.04,-,8.14,-
16,Long-Term Deferred Charges,-,10.81,11.3,11.3,11.29,11.24,11.33,11.88,12.42,-,13.27,-,9.91,-
17,Other Long-Term Assets,-,335.51,311.95,311.95,35.38,6.05,2.99,4.73,4.52,-,6.89,-,10.53,-
18,Total Assets,-,1035,1013,1013,1018,975.3,970.25,965.06,580.42,-,560.18,-,569.61,-
19,Accounts Payable,-,128.15,98.57,98.57,90.76,87.94,77.53,79.89,79.67,-,115.65,-,141.3,-
20,Accrued Expenses,-,16.31,17.39,17.39,23.21,12.92,14.19,9.05,23.28,-,16.83,-,19.49,-
21,Short-Term Debt,-,-,-,-,-,-,-,-,42.24,-,29.03,-,11.01,-
22,Current Portion of Long-Term Debt,-,0.57,0.4,0.4,0.45,0.55,0.45,0.53,1.47,-,1.44,-,0.49,-
23,Current Portion of Leases,-,-,0.12,0.12,0.12,-,0.1,-,0.12,-,0.14,-,0.16,-
24,Current Income Taxes Payable,-,2,0.74,0.74,0.67,1.29,0.23,1.44,2.06,-,2.09,-,2.2,-
25,Current Unearned Revenue,-,11.48,10.25,10.25,6.88,5.67,6.2,5.62,3.75,-,7.16,-,6.1,-
26,Other Current Liabilities,-,1.46,3.55,3.55,5.05,1.41,12.48,1.36,21.38,-,13.25,-,21.67,-
27,Total Current Liabilities,-,159.98,131.01,131.01,127.14,109.78,111.18,97.89,173.98,-,185.59,-,202.43,-
28,Long-Term Debt,-,4.08,23.62,23.62,24.31,24.25,24.52,24.79,10.12,-,5.07,-,6.96,-
29,Long-Term Leases,-,1.5,0.2,0.2,0.21,0.23,0.19,0.13,0.17,-,0.31,-,0.42,-
30,Long-Term Unearned Revenue,-,24.75,23.73,23.73,24.32,24.61,24.9,24.71,24.99,-,23.94,-,22,-
31,Long-Term Deferred Tax Liabilities,-,0.12,0.07,0.07,0.05,0.04,0.04,0.04,0.04,-,0.04,-,0.07,-
32,Other Long-Term Liabilities,-,0.1,0.03,0.03,-,-,-,-,-,-,-,-,-,-
33,Total Liabilities,-,190.52,178.65,178.65,176.03,158.91,160.83,147.56,209.29,-,214.94,-,231.89,-
34,Common Stock,-,88,88,88,88,88,88,88,66,-,66,-,66,-
35,Additional Paid-In Capital,-,655.94,654.19,654.19,654.38,652.81,651.24,649.74,224.07,-,220.83,-,218.21,-
36,Retained Earnings,-,99.33,90.84,90.84,96.88,73.43,67.76,77.2,78.15,-,55.93,-,50.23,-
37,Comprehensive Income & Other,-,-1.37,-1.65,-1.65,-0.96,-1.17,-0.99,-0.93,-0.86,-,-1.18,-,-0.47,-
38,Total Common Equity,841.9,841.9,831.38,831.38,838.3,813.07,806.01,814.01,367.36,-,341.59,333.98,333.98,-
39,Minority Interest,-,3.03,2.89,2.89,3.2,3.32,3.41,3.49,3.77,-,3.65,-,3.74,-
40,Shareholders' Equity,844.93,844.93,834.27,834.27,841.51,816.39,809.42,817.5,371.13,-,345.24,337.72,337.72,-
41,Total Liabilities & Equity,-,1035,1013,1013,1018,975.3,970.25,965.06,580.42,-,560.18,-,569.61,-
42,Total Debt,6.14,6.14,24.34,24.34,25.09,25.03,25.26,25.45,54.12,-,35.99,19.06,19.06,-
43,Net Cash (Debt),162.47,162.47,167.81,167.81,437.07,462.97,448.69,389.46,-32.4,-,-15.25,16.16,16.16,-
44,Net Cash Growth,-62.83%,-64.91%,-62.60%,-56.91%,-,-,-,2309.58%,-,-,-,-,-,-
45,Net Cash Per Share,1.83,1.90,1.90,1.90,5.44,4.76,6.84,4.11,-0.47,-,-0.16,0.45,0.24,-
46,Filing Date Shares Outstanding,88,88,88,88,88,88,88,88,66,66,66,35.65,66,-
47,Total Common Shares Outstanding,88,88,88,88,88,88,88,88,66,66,66,35.65,66,-
48,Working Capital,-,217.2,257.83,257.83,566.46,573.18,565.7,576.18,121.97,-,101.45,-,105.51,-
49,Book Value Per Share,9.57,9.57,9.45,9.45,9.53,9.24,9.16,9.25,5.57,-,5.18,5.06,5.06,-
50,Tangible Book Value,811.73,811.73,800.87,800.87,808.15,782.57,775.5,781,336.34,-,310.27,302.09,302.09,-
51,Tangible Book Value Per Share,9.22,9.22,9.10,9.10,9.18,8.89,8.81,8.88,5.10,-,4.70,4.58,4.58,-
52,Buildings,-,-,124.78,124.78,125.77,-,125.75,-,125.41,-,124.82,-,125.95,-
53,Machinery,-,-,194.23,194.23,186.31,-,180.16,-,175.15,-,153.77,-,149.14,-
54,Construction In Progress,-,-,53.56,53.56,46.36,-,46.05,-,30.11,-,27.43,-,10.6,-
