,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021"
0,Operating Revenue,135.88,129.47,94.76,94.76,136.57,69.1,98.62,67.33,119.18,91.36,119.34,62.61,127.84,93.44
1,Other Revenue,-,-2.99,1.49,1.49,7.22,-3.47,3.47,-,11.52,-5.83,5.83,-,12.52,-
2,Revenue,135.88,126.48,96.25,96.25,143.79,65.63,102.1,67.33,130.7,85.53,125.16,62.61,140.35,93.44
3,Revenue Growth (YoY),-5.50%,92.72%,-5.73%,42.94%,10.01%,-23.27%,-18.43%,7.55%,-6.88%,-8.46%,-,-,-,-
4,Cost of Revenue,-210.25,76.38,66.94,66.94,98.05,38.59,70.5,45.39,94.09,55.3,85.15,41.84,33.41,91.37
5,Gross Profit,346.13,50.1,29.31,29.31,45.74,27.05,31.6,21.95,36.62,30.24,40.02,20.77,106.95,2.08
6,"Selling, General & Admin",-43.96,16.77,13.6,13.6,16.15,16.01,15.26,14.98,11.43,12.91,13.39,11.15,46.54,-
7,Research & Development,-32.7,12.73,9.99,9.99,9.89,10.97,10.32,9.35,11.27,10.33,9.01,10.08,33.14,-
8,Other Operating Expenses,399.56,-3.95,0.68,0.68,-0.18,-1.55,-1.37,0.42,6.86,0.06,-2.8,0.04,1.65,-
9,Operating Expenses,323.38,25.63,23.98,23.98,28.53,23.01,26.1,23.37,30.16,22.56,20.95,18.63,82.78,-
10,Operating Income,22.75,24.47,5.34,5.34,17.21,4.03,5.5,-1.42,6.45,7.67,19.07,2.15,24.17,2.08
11,Interest Expense,-7.9,-0.04,-0.02,-0.02,-0.15,-0.02,-0.02,-0.17,-0.43,-0.32,-0.28,-0.18,-1.15,-
12,Interest & Investment Income,0.09,2.68,2.61,2.61,2.91,3.13,2.69,1.54,0.07,0.07,0.04,0.06,0.08,-
13,Currency Exchange Gain (Loss),-,-0.73,0.37,0.37,0.24,-0.41,0.41,-,1.05,-0.26,0.26,-,-0.72,-
14,Other Non Operating Income (Expenses),0.23,-0.25,-0.05,-0.05,-0.39,0.09,0.57,-0.4,-1.74,1.4,0.14,-0.37,-0.3,-
15,EBT Excluding Unusual Items,15.17,26.13,8.24,8.24,19.83,6.83,9.15,-0.45,5.4,8.57,19.22,1.66,22.09,2.08
16,Gain (Loss) on Sale of Investments,-,-,-,-,0.07,-0.17,-0.32,-0.13,0.06,-0.38,-0.13,-0.17,-0.44,-
17,Gain (Loss) on Sale of Assets,-0.11,0,0.05,0.05,-0.04,0.01,0.01,0,-0.38,0.02,-0.04,0.03,0.01,-
18,Asset Writedown,2.97,-2.97,-,-,-1.08,-1.09,0.21,-0.21,3.4,-3.4,1.06,-1.28,-0.2,-
19,Other Unusual Items,0.08,-4.71,2.32,2.32,3.97,0.2,-0.48,0.28,10.11,-0.02,0.02,-,6.2,0
20,Pretax Income,18.11,18.44,10.61,10.61,22.75,5.78,8.56,-0.51,18.6,4.78,20.13,0.24,27.66,2.08
21,Income Tax Expense,2.1,1.27,0.4,0.4,-0.49,0.12,0.21,0.2,1.78,-0.57,0.58,0.63,3.51,-0.59
22,Earnings From Continuing Operations,16.01,17.18,10.21,10.21,23.23,5.67,8.35,-0.71,16.82,5.35,19.55,-0.39,24.14,2.67
23,Minority Interest in Earnings,-0.06,0.11,-0.02,-0.02,0.22,-0,-0.19,-0.24,0.02,0.03,-0.3,0.03,0.42,-0.04
24,Net Income,15.95,17.29,10.18,10.18,23.45,5.67,8.16,-0.95,16.83,5.38,19.26,-0.36,24.56,2.63
25,Net Income to Common,15.95,17.29,10.18,10.18,23.45,5.67,8.16,-0.95,16.83,5.38,19.26,-0.36,24.56,2.63
26,Net Income Growth,-32.00%,205.11%,24.77%,-,39.33%,5.27%,-57.62%,-,-31.48%,104.48%,-,-,-,-
27,Shares Outstanding (Basic),89,86,89,89,80,97,66,95,68,67,95,36,66,-
28,Shares Outstanding (Diluted),89,86,89,89,80,97,66,95,68,67,95,36,66,-
29,Shares Change (YoY),10.44%,-12.01%,35.07%,-6.54%,17.57%,46.21%,-30.78%,165.74%,3.59%,-,-,-,-,-
30,EPS (Basic),0.18,0.20,0.12,0.12,0.29,0.06,0.12,-0.01,0.25,0.08,0.20,-0.01,0.37,-
31,EPS (Diluted),0.18,0.20,0.12,0.12,0.29,0.06,0.12,-0.01,0.25,0.08,0.20,-0.01,0.37,-
32,EPS Growth,-38.43%,246.77%,-7.62%,-,18.50%,-28.00%,-38.78%,-,-33.85%,-,-,-,-,-
33,Free Cash Flow,-,25.45,22.67,22.67,1.59,14.38,77.75,-39.05,-11.63,15.41,-12.77,-8.39,-15.71,-27.51
34,Free Cash Flow Per Share,-,0.30,0.26,0.26,0.02,0.15,1.19,-0.41,-0.17,0.23,-0.13,-0.24,-0.24,-
35,Dividend Per Share,-,-,0.050,0.050,0.300,-,-,-,0.200,-,-,-,0.200,-
36,Dividend Growth,-,-,-,-,50.00%,-,-,-,0%,-,-,-,-,-
37,Gross Margin,254.73%,39.61%,30.46%,30.46%,31.81%,41.21%,30.95%,32.60%,28.01%,35.35%,31.97%,33.18%,76.20%,2.22%
38,Operating Margin,16.74%,19.34%,5.54%,5.54%,11.97%,6.15%,5.38%,-2.11%,4.93%,8.97%,15.23%,3.43%,17.22%,2.22%
39,Profit Margin,11.74%,13.67%,10.58%,10.58%,16.31%,8.63%,7.99%,-1.41%,12.88%,6.29%,15.39%,-0.57%,17.50%,2.82%
40,Free Cash Flow Margin,-,20.12%,23.55%,23.55%,1.11%,21.91%,76.16%,-58.00%,-8.90%,18.02%,-10.20%,-13.40%,-11.20%,-29.44%
41,EBITDA,27.91,29.78,10.65,10.65,22.37,9.06,10.71,3.48,11.47,12.36,24.01,6.84,28.86,6.06
42,EBITDA Margin,20.54%,23.55%,11.07%,11.07%,15.56%,13.80%,10.49%,5.17%,8.78%,14.45%,19.18%,10.92%,20.56%,6.48%
43,D&A For EBITDA,5.16,5.32,5.32,5.32,5.16,5.02,5.21,4.9,5.02,4.69,4.94,4.69,4.69,3.98
44,EBIT,22.75,24.47,5.34,5.34,17.21,4.03,5.5,-1.42,6.45,7.67,19.07,2.15,24.17,2.08
45,EBIT Margin,16.74%,19.34%,5.54%,5.54%,11.97%,6.15%,5.38%,-2.11%,4.93%,8.97%,15.23%,3.43%,17.22%,2.22%
46,Effective Tax Rate,11.62%,6.87%,3.78%,3.78%,-,2.00%,2.50%,-,9.58%,-,2.87%,263.00%,12.71%,-
47,Revenue as Reported,-,126.48,96.25,96.25,143.79,65.63,102.1,67.33,130.7,85.53,125.16,62.61,396.5,-
