,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,164.04,142.74,164.71,163.11,136.35,138.83,167.32,133.73,148.1,137.77,184.95
1,Other Revenue,-1.68,1.68,-,3.59,-1.29,1.29,-,2.08,-1.34,1.34,-
2,Revenue,162.36,144.42,164.71,166.7,135.06,140.12,167.32,135.81,146.76,139.11,184.95
3,Revenue Growth (YoY),20.21%,3.06%,-1.56%,22.75%,-7.97%,0.73%,-9.53%,-,-,-,-
4,Cost of Revenue,102.87,103.38,110,116.5,88.32,97.74,115.08,100.32,105.12,110.89,138.28
5,Gross Profit,59.48,41.03,54.71,50.2,46.74,42.38,52.25,35.49,41.64,28.22,46.66
6,"Selling, General & Admin",30.17,31.17,32.57,34.75,28.8,28.02,18.18,19.9,15.83,17.32,12.17
7,Research & Development,5.34,5.85,3.81,6.25,3.61,4.72,5.19,2.78,5.06,6.01,4.74
8,Other Operating Expenses,-5.1,-0.09,0.79,3.32,0.09,-0.06,0.98,4.06,0.6,-0.26,1.32
9,Operating Expenses,31.55,36.56,37.09,47.14,32.77,33.45,25.33,28.66,19.69,23.79,19.44
10,Operating Income,27.93,4.47,17.62,3.06,13.97,8.93,26.92,6.83,21.94,4.43,27.22
11,Interest Expense,-0.55,-0.72,-1.11,-1.46,-0.73,-0.79,-0.74,-1.23,-0.61,-1.21,-1.5
12,Interest & Investment Income,5.94,7.36,7,9.13,8.07,2.41,2.73,1.61,0.87,1.52,0.14
13,Currency Exchange Gain (Loss),-3.15,3.15,-,7.13,-15.51,15.51,-,29.14,-17.71,17.71,-
14,Other Non Operating Income (Expenses),-8.33,-0.89,0.49,-46.73,11.36,38.39,-3.75,-31.46,31.51,2.61,-2.82
15,EBT Excluding Unusual Items,21.84,13.37,24,-28.87,17.15,64.46,25.17,4.89,36,25.06,23.04
16,Gain (Loss) on Sale of Investments,2.54,-0.47,-2.07,3.31,-1.94,-2.89,0.02,-,-,-,-
17,Gain (Loss) on Sale of Assets,-0,-,0.03,0.02,-0.02,-,0.02,-,0.04,-0.04,-
18,Asset Writedown,-5.34,1.8,-1.8,2.59,-2.59,1,-1,2.11,-2.16,0.93,-0.93
19,Other Unusual Items,-1.34,0.4,0.94,35.61,-,-,-,4.59,-1.11,1.11,-
20,Pretax Income,17.69,15.1,21.11,12.66,12.6,62.57,24.2,11.6,32.78,27.06,22.1
21,Income Tax Expense,4.86,2.24,3.73,2.39,1.63,8,3.11,-1.14,5.67,3.22,1.48
22,Earnings From Continuing Operations,12.83,12.86,17.38,10.27,10.97,54.57,21.09,12.74,27.11,23.84,20.62
23,Minority Interest in Earnings,-0.08,-0.15,-0.02,0.03,0,-0.08,0.08,-0.05,0.03,0.03,-0.05
24,Net Income,12.75,12.72,17.36,10.3,10.97,54.49,21.16,12.68,27.15,23.88,20.57
25,Net Income to Common,12.75,12.72,17.36,10.3,10.97,54.49,21.16,12.68,27.15,23.88,20.57
26,Net Income Growth,16.17%,-76.67%,-17.96%,-18.82%,-59.58%,128.23%,2.89%,-,-,-,-
27,Shares Outstanding (Basic),67,67,67,67,66,50,50,49,50,50,50
28,Shares Outstanding (Diluted),67,67,67,67,66,50,50,49,50,50,50
29,Shares Change (YoY),1.03%,34.28%,32.52%,35.89%,31.94%,0.23%,0.44%,-,-,-,-
30,EPS (Basic),0.19,0.19,0.26,0.15,0.17,1.09,0.42,0.26,0.54,0.48,0.41
31,EPS (Diluted),0.19,0.19,0.26,0.15,0.17,1.09,0.42,0.26,0.54,0.48,0.41
32,EPS Growth,14.99%,-82.62%,-38.10%,-40.26%,-69.36%,127.72%,2.44%,-,-,-,-
33,Free Cash Flow,-11.71,11.49,6.53,132.17,-34.2,-2.59,34.38,82.55,-35.45,44.29,1.46
34,Free Cash Flow Per Share,-0.17,0.17,0.10,1.97,-0.52,-0.05,0.68,1.68,-0.70,0.89,0.03
35,Dividend Per Share,-,-,-,0.250,-,-,-,-,-,-,-
36,Gross Margin,36.64%,28.41%,33.22%,30.12%,34.61%,30.25%,31.22%,26.13%,28.37%,20.29%,25.23%
37,Operating Margin,17.20%,3.10%,10.70%,1.84%,10.34%,6.38%,16.09%,5.03%,14.95%,3.19%,14.72%
38,Profit Margin,7.85%,8.80%,10.54%,6.18%,8.13%,38.89%,12.65%,9.34%,18.50%,17.16%,11.12%
39,Free Cash Flow Margin,-7.21%,7.96%,3.96%,79.29%,-25.32%,-1.85%,20.55%,60.78%,-24.16%,31.84%,0.79%
40,EBITDA,30.28,6.92,19.97,5.41,18.6,13.56,26.97,9.31,26.89,9.38,27.26
41,EBITDA Margin,18.65%,4.79%,12.12%,3.24%,13.77%,9.68%,16.12%,6.86%,18.32%,6.74%,14.74%
42,D&A For EBITDA,2.35,2.45,2.35,2.35,4.63,4.63,0.05,2.49,4.95,4.95,0.04
43,EBIT,27.93,4.47,17.62,3.06,13.97,8.93,26.92,6.83,21.94,4.43,27.22
44,EBIT Margin,17.20%,3.10%,10.70%,1.84%,10.34%,6.38%,16.09%,5.03%,14.95%,3.19%,14.72%
