,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Feb '25 Feb 27, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,2286,2015,1777,1923,2403,2675,2815,-,-,-,-,-
1,Market Cap Growth,-24.69%,-24.69%,-36.89%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1400,1104,854,1078,1558,1806,2496,-,-,-,-,-
3,Last Close Price,34.29,30.22,26.65,28.58,35.71,39.76,41.84,-,-,-,-,-
4,PE Ratio,43.20,37.93,34.60,20.66,24.79,26.94,24.38,-,-,-,-,-
5,PS Ratio,3.60,3.16,2.91,3.17,3.94,4.63,4.77,-,-,-,-,-
6,PB Ratio,2.06,1.80,1.61,1.73,2.20,2.47,2.63,-,-,-,-,-
7,P/TBV Ratio,1.91,1.91,1.70,1.84,2.34,2.63,2.80,-,-,-,-,-
8,P/FCF Ratio,16.51,-,15.32,18.87,18.52,-,-,-,-,-,-,-
9,P/OCF Ratio,12.95,-,13.81,17.04,17.66,-,-,-,-,-,-,-
10,EV/Sales Ratio,2.19,1.73,1.40,1.78,2.56,3.12,4.23,-,-,-,-,-
11,EV/EBITDA Ratio,24.49,17.65,16.78,18.74,24.13,26.39,32.52,-,-,-,-,-
12,EV/EBIT Ratio,26.38,20.80,21.83,24.74,29.45,31.89,38.62,-,-,-,-,-
13,EV/FCF Ratio,10.11,-,7.36,10.58,12.00,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.12,0.12,0.12,0.12,0.12,0.07,0.09,0.08,0.23,-,-,0.22
15,Debt / EBITDA Ratio,2.37,1.12,4.46,1.62,4.75,1.05,1.75,0.32,2.15,-,-,0.64
16,Debt / FCF Ratio,0.98,-,1.19,1.27,1.02,-,-,0.27,1.00,-,-,47.42
17,Asset Turnover,0.45,0.40,0.46,0.48,0.40,0.53,0.92,-,-,-,-,
18,Inventory Turnover,3.80,3.25,3.53,4.43,4.86,3.75,4.56,5.03,-,-,-,-
19,Quick Ratio,3.98,3.98,3.84,4.02,4.07,5.39,4.57,2.09,2.00,-,-,-
20,Current Ratio,4.44,4.44,4.27,4.42,4.42,5.94,4.95,2.52,2.52,-,-,-
21,Return on Equity (ROE),4.62%,4.65%,6.32%,3.78%,4.08%,29.19%,20.33%,-,-,-,-,
22,Return on Assets (ROA),4.81%,0.77%,3.08%,0.55%,2.58%,2.11%,9.27%,-,-,-,-,
23,Return on Capital (ROIC),5.59%,0.90%,3.58%,0.64%,3.00%,2.74%,14.07%,-,-,-,-,
24,Return on Capital Employed (ROCE),4.56%,4.56%,3.40%,3.78%,4.66%,4.97%,5.74%,11.65%,12.23%,-,-,-
25,Earnings Yield,2.32%,2.64%,2.89%,4.84%,4.03%,3.71%,4.10%,-,-,-,-,-
26,FCF Yield,6.06%,6.87%,6.53%,5.30%,5.40%,3.00%,2.80%,-,-,-,-,-
27,Dividend Yield,0.73%,-,-,-,0.70%,-,-,-,-,-,-,-
28,Payout Ratio,40.02%,15.27%,135.62%,6.05%,9.89%,6.35%,0.90%,2.67%,10.87%,2.27%,4.00%,6.13%
29,Buyback Yield / Dilution,-24.01%,-1.03%,-34.28%,-32.52%,-35.89%,-31.94%,-0.23%,-0.44%,-,-,-,-
30,Total Shareholder Return,-23.28%,-1.03%,-34.28%,-32.52%,-35.19%,-31.94%,-0.23%,-0.44%,-,-,-,-
