,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q1 2021,Q4 2020
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Market Capitalization,3387,2881,2413,3290,3264,3758,3349,3029,2735,3141,3933,3444,-,-,-,-
1,Market Cap Growth,-23.34%,-23.34%,-27.94%,8.61%,19.35%,19.63%,-14.86%,-12.03%,-,-,-,-,-,-,-,-
2,Enterprise Value,3359,2695,2026,2844,2818,3194,2810,2555,2260,2684,3416,3605,-,-,-,-
3,Last Close Price,17.97,15.28,12.79,16.99,16.85,19.41,17.48,15.38,13.88,15.95,19.96,17.24,-,-,-,-
4,PE Ratio,26.43,22.53,16.90,19.87,16.17,16.91,14.61,15.23,15.36,19.12,27.53,29.86,-,-,-,-
5,Forward PE,21.91,16.79,12.10,13.21,13.11,15.45,15.90,15.90,15.50,-,-,-,-,-,-,-
6,PS Ratio,1.90,1.62,1.54,2.19,2.09,2.20,2.05,2.01,1.82,2.12,2.47,2.20,-,-,-,-
7,PB Ratio,2.97,2.54,2.23,2.92,2.92,3.46,3.23,2.90,2.74,-,4.40,3.85,-,-,-,-
8,P/TBV Ratio,3.02,3.02,2.66,3.56,3.49,4.17,3.57,3.21,3.05,-,4.96,4.35,-,-,-,-
9,P/FCF Ratio,-,-,-,-,16.28,-,13.11,19.12,25.08,-,-,-77.87,-,-,-,-
10,P/OCF Ratio,15.64,-,-,9.92,7.37,10.40,10.05,12.31,13.93,-,55.20,71.06,-,-,-,-
11,EV/Sales Ratio,1.89,1.51,1.29,1.89,1.81,1.87,1.72,1.69,1.51,1.81,2.14,2.30,-,-,-,-
12,EV/EBITDA Ratio,18.70,15.13,10.70,15.20,11.98,11.85,11.45,12.01,12.41,17.63,21.22,23.69,-,-,-,-
13,EV/EBIT Ratio,27.72,20.61,13.93,19.44,14.23,13.56,13.13,13.71,14.30,20.64,24.54,27.12,-,-,-,-
14,EV/FCF Ratio,-15.45,-,-,-,14.05,-,11.01,16.12,20.73,-,-,-81.51,-,-,-,-
15,Debt / Equity Ratio,0.44,0.44,0.30,0.00,0.01,0.01,0.01,0.01,0.01,-,0.01,0.01,0.59,0.75,0.24,0.24
16,Debt / EBITDA Ratio,2.76,2.29,1.08,0.10,0.04,0.03,0.02,0.03,0.02,-,0.06,0.08,1.18,1.24,0.47,0.25
17,Debt / FCF Ratio,-,-,-,-,0.04,-,0.03,0.04,0.06,-,-,-0.23,-4.40,-,-,1.27
18,Asset Turnover,1.08,1.17,0.78,0.72,0.99,1.20,1.00,-,-,1.01,1.14,-,-,-,-,
19,Inventory Turnover,7.14,9.09,9.56,6.69,5.99,7.83,8.90,7.02,-,-,6.09,5.20,-,-,-,-
20,Quick Ratio,0.93,0.93,1.09,1.43,1.64,1.67,1.78,2.08,1.91,-,1.77,1.66,0.68,0.62,-,0.66
21,Current Ratio,1.19,1.19,1.36,1.93,2.01,2.00,2.13,2.49,2.28,-,2.17,2.12,1.05,1.00,-,0.98
22,Return on Equity (ROE),11.56%,20.32%,3.56%,9.41%,18.29%,31.05%,18.18%,-,-,22.55%,16.37%,-,-,39.71%,-,
23,Return on Assets (ROA),4.69%,7.90%,0.33%,4.05%,8.70%,9.42%,8.87%,-,-,5.69%,4.95%,-,-,-,-,
24,Return on Capital (ROIC),7.07%,11.53%,0.48%,6.09%,13.50%,14.22%,13.10%,-,-,8.79%,8.75%,-,-,22.35%,-,
25,Return on Capital Employed (ROCE),10.59%,11.42%,13.30%,12.86%,17.53%,21.47%,20.45%,17.64%,15.66%,-,15.35%,14.66%,42.79%,37.15%,-,21.63%
26,Earnings Yield,3.78%,4.44%,5.92%,5.03%,6.18%,5.91%,6.84%,6.57%,6.51%,5.23%,3.63%,3.35%,-,-,-,-
27,FCF Yield,-6.42%,-7.55%,-7.49%,0.82%,6.14%,3.61%,7.62%,5.23%,3.99%,1.95%,0.03%,-1.28%,-,-,-,-
28,Dividend Yield,2.04%,-,-,-,2.22%,-,-,-,3.46%,-,-,-,-,-,-,-
29,Payout Ratio,57.12%,7.77%,121.71%,-,-,-,111.04%,0.01%,0.02%,4.88%,93.84%,4.72%,5.39%,1.88%,2.72%,1.55%
30,Buyback Yield / Dilution,-0.56%,-0.21%,6.44%,-8.70%,0.23%,-3.47%,1.31%,-20.03%,-35.74%,-27.03%,-33.23%,-10.49%,-,-,-,-
31,Total Shareholder Return,1.49%,-0.21%,6.44%,-8.70%,2.46%,-3.47%,1.31%,-20.03%,-32.28%,-27.03%,-33.23%,-10.49%,-,-,-,-
