,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q1 2021,Q4 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Cash & Equivalents,387.31,289.33,332.3,315.57,272.88,287.74,310.36,204.18,-,159.46,526.82,158.55,76.7,-,101.95
1,Short-Term Investments,-,-,-,50.58,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,140.69,219.01,60.16,180.5,180.45,282.57,234.64,303.71,-,308.33,-,0.72,-,-,-
3,Cash & Short-Term Investments,528,508.34,392.46,546.65,453.32,570.3,545,507.89,-,467.79,526.82,159.27,76.7,101.95,101.95
4,Cash Growth,16.47%,-10.87%,-27.99%,7.63%,-,21.92%,3.45%,218.89%,-,358.82%,416.72%,-,-,-,-
5,Accounts Receivable,724.2,532.37,314.28,306.19,485.32,475.28,394.19,447.49,-,378.46,296.75,371.69,383.54,-,286.35
6,Other Receivables,23.83,18.28,16.12,17.09,13.4,16.14,16.42,15.28,-,7.54,10.02,13.6,13.56,-,15.2
7,Receivables,748.03,550.65,330.4,323.28,498.73,491.43,410.61,462.77,-,386,306.76,385.29,397.1,-,301.55
8,Inventory,258.84,202.48,163.74,169.62,157.13,168.14,163.82,176.26,-,169.15,210.45,282,274.47,-,181.66
9,Prepaid Expenses,-,6.6,-,6.11,-,3.97,-,3.24,-,4.06,2.77,4.56,3.9,-,-
10,Other Current Assets,94.2,58.52,86.63,22.03,29.69,40.36,22.39,13.31,-,20.22,19.8,12.18,15.12,-,11.9
11,Total Current Assets,1629,1327,973.22,1068,1139,1274,1142,1163,-,1047,1067,843.3,767.28,-,597.07
12,"Property, Plant & Equipment",557.41,420.26,386.1,340.11,273.24,243.16,249.82,252.1,-,225.83,225.23,223.05,215.77,-,130.93
13,Long-Term Investments,59.79,59.69,42.59,39.45,9.35,4,-,-,-,-,-,-,-,-,-
14,Other Intangible Assets,178.15,179.82,202.58,179.59,184.44,97.43,98.99,100.54,-,102.14,103.25,102.27,101.73,-,103.45
15,Long-Term Deferred Tax Assets,7.54,5.69,3.83,3.28,6.13,3.74,2.55,2.38,-,4.53,4.37,4.88,3.81,-,2.73
16,Long-Term Deferred Charges,0.21,0.55,0.39,0.45,-,-,-,-,-,8.91,9.35,-,-,-,-
17,Other Long-Term Assets,83.59,74.14,33.77,29.59,55.82,21.8,21.8,0.53,-,-,-,-,1.36,-,9.71
18,Total Assets,2516,2067,1642,1660,1668,1644,1515,1519,-,1389,1409,1173,1090,-,843.89
19,Accounts Payable,821.73,588.55,451.22,459.9,499.17,508.9,400.07,435.86,-,390.4,450.4,561.17,492.73,-,513.39
20,Accrued Expenses,12.18,18.19,16.27,35.71,22.18,25.19,20.43,31.41,-,15.52,11.4,26.13,20.5,-,22.11
21,Short-Term Debt,491.08,318.94,-,-,-,-,-,-,-,-,-,194.09,227.96,-,52.52
22,Current Portion of Leases,4.08,4.09,4.06,3.44,4.67,3.96,2.7,2.7,-,7.7,7.7,4.11,3,-,2.53
23,Current Income Taxes Payable,12.21,4.54,1.32,1.51,13.31,7.94,6.06,0.04,-,1.53,5,3.43,-,-,0.93
24,Current Unearned Revenue,10.89,16,13.94,9.5,9.85,9.14,8.79,11.17,-,8.07,9.71,8.12,10.26,-,16.46
25,Other Current Liabilities,18.88,22.87,17.69,21.09,21.21,42.75,20.93,28.17,-,58.44,17.74,7.99,9.48,-,3.38
26,Total Current Liabilities,1371,973.18,504.5,531.16,570.38,597.88,458.98,509.36,-,481.66,501.95,805.04,763.93,-,611.32
27,Long-Term Leases,0.81,0.92,1.18,3.64,2.64,2.65,3.87,3.57,-,2.35,2.29,7.61,6.47,-,-
28,Long-Term Unearned Revenue,8.05,8.48,8.91,9.33,8.13,8.46,8.79,9.13,-,9.79,10.12,10.45,2.11,-,2.03
29,Long-Term Deferred Tax Liabilities,0.17,0.06,-,-,-,-,-,-,-,-,-,-,-,-,-
30,Total Liabilities,1380,982.64,514.59,544.14,581.15,609,471.65,522.05,-,493.8,514.36,823.1,772.51,-,613.35
31,Common Stock,188.55,188.66,188.66,188.66,188.66,188.66,186.66,186.66,-,186.66,186.66,140,140,-,140
32,Additional Paid-In Capital,502.47,501.92,500.81,498.01,495.3,492.47,478.67,478.67,-,478.67,478.67,6.77,6.77,-,6.77
33,Retained Earnings,475.5,441.83,453.97,443.83,417.63,369.11,378.01,331.64,-,229.52,229.11,203.64,170.67,-,83.77
34,Treasury Stock,-39.34,-44.88,-14.89,-14.89,-14.89,-14.89,-,-,-,-,-,-,-,-,-
35,Comprehensive Income & Other,4.94,-1.99,-0.92,-,-,-,-,-,-,-,-,-,-,-,-
36,Total Common Equity,1132,1086,1128,1116,1087,1035,1043,996.97,-,894.85,894.44,350.4,317.43,230.53,230.53
37,Minority Interest,3.55,-1.45,0.26,0.42,-,-,-,-,-,-,-,-,-,-,-
38,Shareholders' Equity,1136,1084,1128,1116,1087,1035,1043,996.97,-,894.85,894.44,350.4,317.43,230.53,230.53
39,Total Liabilities & Equity,2516,2067,1642,1660,1668,1644,1515,1519,-,1389,1409,1173,1090,-,843.89
40,Total Debt,495.97,323.95,5.24,7.09,7.31,6.61,6.57,6.27,-,10.05,9.99,205.8,237.42,55.05,55.05
41,Net Cash (Debt),32.03,184.39,387.22,539.56,446.02,563.7,538.43,501.62,-,457.74,516.83,-46.53,-160.73,46.91,46.91
42,Net Cash Growth,-92.82%,-67.29%,-28.08%,7.56%,-,23.15%,4.18%,-,-,875.79%,1001.77%,-,-,-,-
43,Net Cash Per Share,0.17,1.05,1.91,2.90,2.39,3.01,2.88,2.69,-,2.42,3.32,-0.34,-1.13,0.33,0.33
44,Filing Date Shares Outstanding,187.07,175,202.91,188.66,186.67,187.04,186.66,186.66,180.4,186.66,186.66,140,140,139.98,140
45,Total Common Shares Outstanding,187.07,175,202.91,188.66,186.67,187.04,186.66,186.66,180.4,186.66,186.66,140,140,139.98,140
46,Working Capital,258.02,353.4,468.72,536.54,568.49,676.32,682.84,654.11,-,565.57,564.65,38.26,3.35,-,-14.26
47,Book Value Per Share,6.05,6.20,5.56,5.91,5.82,5.54,5.59,5.34,-,4.79,4.79,2.50,2.27,1.65,1.65
48,Tangible Book Value,953.97,905.71,925.05,936.01,902.26,937.91,944.36,896.44,-,792.7,791.19,248.13,215.7,127.09,127.09
49,Tangible Book Value Per Share,5.10,5.18,4.56,4.96,4.83,5.01,5.06,4.80,-,4.25,4.24,1.77,1.54,0.91,0.91
50,Buildings,-,140.95,-,140.95,-,115.08,-,113.42,-,111.2,-,106.65,87.18,-,87.18
51,Machinery,-,288.85,-,243.45,-,217.25,-,212.75,-,168.54,-,154.54,148.9,-,84.8
52,Construction In Progress,-,128.55,-,67.57,-,0.52,-,-,-,1.89,-,7.22,22.42,-,3.72
