,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q1 2021,Q4 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Operating Revenue,621.6,537.8,320.1,285.2,411.43,469.84,378.33,436.52,335.97,349.32,367.6,427.51,447.52,324.03,394.74
1,Other Revenue,-2.45,2.45,-,14.73,-3,3,-,9.79,-3.17,3.17,-,0.32,-1.63,-,0.81
2,Revenue,619.15,540.25,320.1,299.93,408.42,472.84,378.33,446.31,332.8,352.49,367.6,427.83,445.89,324.03,395.55
3,Revenue Growth (YoY),51.60%,14.26%,-15.39%,-32.80%,22.72%,34.14%,2.92%,4.32%,-25.36%,8.78%,-7.07%,-,-,-,-
4,Cost of Revenue,524.11,437.49,278.64,244.66,318.22,369.12,298.55,335.52,263.61,289.01,320.09,361.13,375.79,275.23,311.94
5,Gross Profit,95.04,102.76,41.46,55.27,90.2,103.72,79.78,110.79,69.2,63.48,47.51,66.7,70.1,48.8,83.61
6,"Selling, General & Admin",23.86,15.47,20.23,17.16,14.02,22.25,13.13,14.62,12.69,15.51,13.92,12.82,13.96,13.35,13.98
7,Research & Development,15.44,15.07,14.64,17.94,14.82,18.83,13.31,23.29,16.69,14.42,10.06,16.24,13.23,11.9,17.04
8,Other Operating Expenses,2.28,2.34,3.75,4.48,2.2,-3.48,2.05,2.25,2.56,0.14,1.55,1.03,-2.58,0.56,1.25
9,Operating Expenses,52.04,44.16,39.29,28.28,32.54,44.23,25.98,46.16,33.13,31.66,21.95,30.14,24.81,23.27,33.31
