,Fiscal Quarter,Current,Q4 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019",+2 Quarters
0,Market Capitalization,529536,587567,406219,313369,261141,311193,290156,221244,274198,319172,292333,282903,245182,251711,197306,208187,188602,190778,177721,203110,148705,Upgrade
1,Market Cap Growth,114.29%,88.81%,40.00%,41.64%,-4.76%,-2.50%,-0.74%,-21.79%,11.83%,26.80%,48.16%,35.89%,30.00%,31.94%,11.02%,2.50%,26.83%,34.18%,-,-,-,Upgrade
2,Enterprise Value,470490,515179,333442,240592,229125,274602,266219,228005,280185,319913,283736,274306,236586,234918,184466,195347,189421,191597,178540,-,-,Upgrade
3,Last Close Price,73000.00,79000.00,51203.70,39500.00,30880.58,36799.36,33484.97,24636.42,30533.01,34208.28,31331.67,29162.64,25274.29,24850.91,18515.34,18489.81,16750.35,16002.31,14907.10,16140.01,11816.80,Upgrade
4,PE Ratio,9.09,9.53,6.75,6.14,5.58,7.97,7.63,8.63,11.51,14.98,-,8.64,6.44,6.90,5.22,6.89,7.75,7.95,8.38,8.53,8.28,Upgrade
5,PS Ratio,1.31,1.30,0.93,0.74,0.56,0.70,0.64,0.65,0.98,1.18,-,0.80,0.66,0.72,0.57,0.62,0.57,0.57,0.54,0.59,0.58,Upgrade
6,PB Ratio,3.84,3.84,2.41,2.14,1.67,2.26,2.11,1.78,2.35,2.73,2.65,-,-,2.25,1.72,1.81,1.84,1.95,1.82,1.91,-,Upgrade
7,P/TBV Ratio,3.84,3.84,2.42,2.14,1.68,2.26,2.11,1.78,2.35,2.73,2.65,-,-,2.25,1.72,1.81,1.84,1.95,1.82,1.91,-,Upgrade
8,P/FCF Ratio,10.23,-,5.54,-,2.97,5.70,4.89,4.62,14.11,28.87,-,20.30,-,14.55,8.12,9.84,-,9.82,11.51,-,13.23,Upgrade
9,P/OCF Ratio,11.25,-,5.38,-,2.89,5.62,4.85,4.57,13.78,25.47,-,17.28,-,12.82,7.41,8.96,-,9.23,10.45,-,12.52,Upgrade
10,EV/Sales Ratio,1.05,1.14,0.76,0.57,0.49,0.61,0.59,0.67,1.00,1.18,-,0.78,0.64,0.67,0.53,0.59,0.58,0.58,0.54,-,-,Upgrade
11,EV/EBIT Ratio,6.16,6.30,4.13,3.41,3.48,4.99,4.86,6.07,8.08,9.84,-,5.53,4.17,4.15,3.19,3.66,4.12,4.62,4.82,-,-,Upgrade
12,EV/FCF Ratio,9.09,-,4.54,-,2.61,5.03,4.49,4.76,14.42,28.94,-,19.68,-,13.58,7.60,9.24,-,9.86,11.56,-,-,Upgrade
13,Debt / Equity Ratio,0.03,0.03,-,-,-,0.02,-,0.03,0.13,0.10,0.20,-,-,-,-,-,-,0.20,0.20,0.09,-,Upgrade
14,Debt / FCF Ratio,0.10,-,-,-,-,0.05,-,0.07,0.78,1.01,-,-,-,-,-,-,-,1.02,1.28,-,-,Upgrade
15,Asset Turnover,-,-,-,2.98,2.38,-,3.31,2.75,2.49,-,-,-,2.57,2.80,2.94,-,-,2.36,-,-,Upgrade,
16,Inventory Turnover,3.77,-,-,-,5.56,4.23,-,5.35,3.95,4.07,-,-,-,5.23,6.42,6.53,-,-,5.10,-,-,Upgrade
17,Quick Ratio,1.45,1.45,3.27,2.10,3.66,2.47,3.80,1.51,0.57,0.90,0.80,-,-,1.52,2.34,2.34,2.17,-,1.07,0.93,-,Upgrade
18,Current Ratio,3.16,3.16,6.10,5.39,6.33,6.34,8.78,3.84,2.55,3.96,2.25,-,-,4.14,4.85,4.85,4.73,-,2.42,2.72,-,Upgrade
19,Return on Equity (ROE),-,-,-,50.84%,22.01%,-,27.14%,37.47%,22.95%,-,-,-,27.75%,35.12%,43.12%,-,37.45%,9.95%,-,-,Upgrade,
20,Return on Assets (ROA),-,-,-,37.49%,17.08%,-,19.56%,23.22%,16.26%,-,-,-,22.01%,28.54%,33.58%,-,-,20.18%,-,-,Upgrade,
21,Return on Capital (ROIC),-,-,-,42.69%,19.00%,-,24.58%,28.08%,19.65%,-,-,-,26.27%,33.48%,39.25%,-,27.75%,23.64%,-,-,Upgrade,
22,Return on Capital Employed (ROCE),49.88%,53.48%,48.02%,48.14%,42.14%,40.08%,39.74%,30.16%,29.78%,27.79%,-,-,-,50.62%,50.23%,46.46%,44.88%,-,37.90%,31.77%,-,Upgrade
23,Earnings Yield,11.00%,10.50%,14.81%,16.28%,17.91%,12.55%,13.10%,11.59%,8.69%,6.67%,-,11.57%,15.53%,14.49%,19.14%,14.51%,12.91%,12.57%,11.93%,11.72%,12.08%,Upgrade
24,FCF Yield,9.77%,-,18.06%,-,33.67%,17.54%,20.44%,21.64%,7.09%,3.46%,-,4.93%,6.40%,6.87%,12.31%,10.16%,-,10.19%,8.69%,-,7.56%,Upgrade
25,Dividend Yield,5.48%,-,-,-,-,13.32%,-,13.80%,-,4.38%,-,-,-,3.22%,-,-,-,-,-,-,-,Upgrade
26,Payout Ratio,60.78%,-,0.12%,-,0.21%,95.48%,0.20%,41.01%,69.52%,188.52%,-,0.20%,129.33%,138.21%,55.21%,47.56%,-,-,427.90%,-,78.82%,Upgrade
27,Buyback Yield / Dilution,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.06%,-,-,-,0.09%,-,-,Upgrade,
28,Total Shareholder Return,5.48%,-,-,-,-,13.32%,-,13.80%,-,4.38%,-,-,-,3.22%,-0.06%,-,-,-,0.09%,-,-,Upgrade
