,Fiscal Quarter,Q4 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,+2 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019",+2 Quarters
0,Cash & Equivalents,20040,20388,9481,32777,9749,13497,27249,8393,5192,21129,-,-,8596,16792,16792,12841,-,12449,9151,-,Upgrade
1,Short-Term Investments,44000,52000,31000,40000,25000,23094,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
2,Cash & Short-Term Investments,64040,72388,40481,72777,34749,36591,27249,8393,5192,21129,-,-,8596,16792,16792,12841,12449,12449,9151,-,Upgrade
3,Cash Growth,84.29%,97.83%,48.56%,767.07%,569.26%,73.17%,-,-,-39.60%,25.83%,-,-,-30.94%,34.89%,83.50%,-,-,-,-,-,Upgrade
4,Accounts Receivable,12442,12335,12153,9348,11208,12653,19069,19082,17316,23280,-,-,25049,27841,27841,22494,-,26273,18831,-,Upgrade
5,Other Receivables,3641,3715,3255,3999,4138,2898,2533,2582,2534,3339,-,-,2939,1918,1918,1146,-,1537,1993,-,Upgrade
6,Receivables,16082,16050,15408,13347,15347,15550,21602,21664,19850,26619,-,-,27989,29759,29759,23640,-,27810,20824,-,Upgrade
7,Inventory,92069,74737,86573,60293,72942,67553,69272,100911,75031,86011,-,-,60320,44446,44446,39718,-,45884,52324,-,Upgrade
8,Prepaid Expenses,494.76,360.64,390.97,709.49,918.57,391.05,300.62,310.27,203,128.75,-,-,140.69,74.5,74.5,187.5,-,201.62,58.87,-,Upgrade
9,Other Current Assets,2528,1499,980.68,1708,4467,419.2,5588,3499,10230,250.02,-,-,2170,5519,5519,3076,-,4484,4995,-,Upgrade
10,Total Current Assets,175214,165035,143834,148834,128423,120504,124012,134778,110506,134139,-,-,99216,96592,96592,79462,-,90828,87353,-,Upgrade
11,"Property, Plant & Equipment",11893,9319,10388,11405,10060,10693,12611,13975,15016,16596,-,-,17314,18833,18833,19437,-,22308,23106,-,Upgrade
12,Long-Term Investments,19356,19200,17400,18175,18175,19175,19175,19175,18150,18150,-,-,18400,18400,18400,19200,-,21200,27000,-,Upgrade
13,Other Intangible Assets,183.43,199.46,204.8,210.14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
14,Other Long-Term Assets,1753,1508,1552,965.64,983.29,1141,1086,1287,1234,1213,-,-,877.61,1015,1015,1092,-,1078,869,-,Upgrade
15,Total Assets,208399,195261,173379,179590,157641,151513,156884,169215,144906,170097,-,-,135807,134840,134840,119191,-,135413,138329,-,Upgrade
16,Accounts Payable,13481,12046,8445,6738,3634,4282,11050,4417,3871,3082,-,-,5683,5701,5701,6202,-,5406,3655,-,Upgrade
17,Accrued Expenses,10783,6960,9991,9087,6746,5283,8973,6227,4249,8668,-,-,6351,8796,8796,6753,-,7639,9421,-,Upgrade
18,Short-Term Debt,4994,-,-,-,2733,-,3312,15154,11179,21871,-,-,-,-,-,-,-,19776,9971,-,Upgrade
19,Current Income Taxes Payable,5002,6994,5992,3948,3075,2165,2982,3971,2321,1393,-,-,3077,4371,4371,3472,-,2813,5839,-,Upgrade
20,Other Current Liabilities,21126,1041,2233,3755,4060,1995,5953,23010,6253,24574,-,-,8882,1035,1035,374.12,-,1968,3277,-,Upgrade
21,Total Current Liabilities,55386,27040,26662,23528,20248,13725,32270,52779,27874,59588,-,-,23994,19903,19903,16801,-,37602,32163,-,Upgrade
22,Total Liabilities,55386,27040,26662,23528,20248,13725,32270,52779,27874,59588,-,-,23994,19903,19903,16801,-,37602,32163,-,Upgrade
23,Common Stock,72539,72539,72539,72539,72539,72539,72539,72539,72539,72539,-,-,72539,72539,72539,72539,-,72539,72539,-,Upgrade
