,Fiscal Quarter,Q4 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,+2 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019",+2 Quarters
0,Revenue,106013,126099,94057,125821,92073,111906,135079,108083,98177,-,74527,97487,87067,94479,93227,75734,84160,80695,88237,79629,Upgrade
1,Revenue Growth (YoY),15.14%,12.68%,-30.37%,16.41%,-6.22%,-,81.25%,10.87%,12.76%,-,-20.06%,28.72%,3.45%,17.08%,5.66%,-4.89%,3.58%,-15.09%,-,-,Upgrade
2,Cost of Revenue,85993,90512,68720,92523,74321,87286,113869,86969,81904,-,59120,78263,68429,71368,68669,56970,64269,62595,70369,63958,Upgrade
3,Gross Profit,20020,35587,25337,33298,17752,24620,21211,21114,16273,-,15407,19224,18638,23110,24558,18763,19891,18100,17868,15671,Upgrade
4,"Selling, General & Admin",8418,8274,7713,8010,7194,7456,8454,6526,6031,-,5567,6787,6724,7719,7499,6527,6841,7049,8248,7924,Upgrade
5,Operating Expenses,8418,8274,7713,8010,7194,7456,8454,6526,6031,-,5567,6787,6724,7719,7499,6527,6841,7049,8248,7924,Upgrade
6,Operating Income,11601,27313,17624,25287,10559,17164,12757,14589,10242,-,9840,12438,11914,15391,17059,12236,13050,11050,9620,7747,Upgrade
7,Interest Expense,-102.41,-,-,-,-,-,-71.42,-87.32,-65.82,-,-139.65,-21.16,-,-147.88,-85.01,-80.16,-151.39,-189.34,-231.49,-251.85,Upgrade
8,Interest & Investment Income,1394,736.81,877.71,-,913.42,606.16,129.46,112.01,33.44,-,18.03,62.19,42.33,120.38,142.66,487.71,243.14,122.43,209.91,113.07,Upgrade
9,Other Non Operating Income (Expenses),-1375,-1137,-2898,-1949,-1987,-2254,-2500,-930.33,-2036,-,-1757,-1916,-2114,-2645,-2412,-4064,-1679,-7791,-2247,501.83,Upgrade
10,Pretax Income,11518,26913,15604,23338,9485,15516,10315,13683,8174,-,7962,10562,9842,12719,14705,8580,11463,3192,7352,8110,Upgrade
11,Income Tax Expense,2412,5409,3187,4689,1912,3134,2137,2749,1646,-,1600,2149,1976,2629,2991,1778,2306,654.53,1509,1659,Upgrade
12,Net Income,9106,21504,12417,18649,7573,12382,8178,10934,6527,-,6362,8413,7866,10091,11714,6802,9157,2538,5843,6451,Upgrade
13,Net Income to Common,9106,21504,12417,18649,7573,12382,8178,10934,6527,-,6362,8413,7866,10091,11714,6802,9157,2538,5843,6451,Upgrade
