,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,243,155,270,220,355,445,490,645,435,280,255
1,Market Cap Growth,-29.55%,-29.55%,-23.94%,-50.56%,-27.55%,-31.01%,12.64%,130.36%,70.59%,-,-
2,Enterprise Value,-55,-249,5,-193,158,94,404,349,654,250,453
3,Last Close Price,0.48,0.31,0.52,0.43,0.67,0.84,0.87,1.15,0.73,0.47,0.43
4,PE Ratio,14.38,9.19,15.64,35.12,-,4.63,3.78,3.72,2.31,2.93,8.96
5,PS Ratio,0.17,0.11,0.17,0.12,0.16,0.17,0.16,0.22,0.16,0.13,0.14
6,PB Ratio,0.40,0.26,0.45,0.37,0.61,0.75,0.84,1.24,0.89,0.73,0.85
7,P/TBV Ratio,0.26,0.26,0.45,0.37,0.61,0.75,0.84,1.24,0.89,0.73,0.85
8,P/FCF Ratio,7.78,-,-21.63,-,4.12,-,5.28,-,1.50,-,-19.73
9,P/OCF Ratio,3.46,-,33.49,-,4.05,-,4.10,-,1.22,-,4.38
10,EV/Sales Ratio,-,-,0.00,-,0.07,0.03,0.14,0.12,0.24,0.11,0.25
11,EV/EBITDA Ratio,-,-,0.16,-,2.34,0.64,2.09,1.65,3.43,2.31,7.77
12,EV/EBIT Ratio,-,-,0.41,-,-,0.84,2.55,1.95,3.96,2.79,10.07
13,EV/FCF Ratio,-1.77,-,-0.41,-,1.84,-,4.35,-,2.25,-,-35.02
14,Debt / Equity Ratio,0.03,0.03,0.04,0.06,0.08,0.36,0.12,0.74,0.18,1.16,0.47
15,Debt / FCF Ratio,0.55,-,-2.05,-,0.51,-,0.77,-,0.31,-,-10.84
16,Return on Capital Employed (ROCE),1.70%,1.70%,2.06%,1.05%,-,17.65%,24.79%,31.63%,30.32%,20.91%,13.17%
17,Earnings Yield,6.96%,10.88%,6.39%,2.85%,8.61%,21.60%,26.46%,26.90%,43.34%,34.09%,11.16%
18,FCF Yield,12.85%,20.11%,-4.62%,43.10%,24.25%,31.41%,18.95%,50.78%,66.74%,-35.94%,-5.07%
19,Buyback Yield / Dilution,-,-,-,-,-,-,-,-2.09%,-33.33%,-,
20,Total Shareholder Return,1.94%,-,-,-,-,-,-,-,-2.09%,-33.33%,-
