,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,563.54,680.58,546.61,787.72,547.83,626.01,421.32,536.37,283.14,453.25
1,Revenue Growth (YoY),3.10%,-13.60%,-0.22%,25.83%,30.03%,16.71%,48.80%,18.34%,-46.33%,-17.25%
2,Cost of Revenue,455.09,546.52,470.02,666.28,474.31,502.46,350.61,423.72,238.89,349.75
3,Gross Profit,108.45,134.06,76.59,121.44,73.51,123.55,70.71,112.65,44.24,103.5
4,"Selling, General & Admin",84.78,83.7,77.91,78.98,70.84,75.26,70.64,71.58,64.14,80
5,Other Operating Expenses,-1.55,0.77,0.47,2.72,-2.16,-0.12,-1.62,-4.67,-0.13,-0.17
6,Operating Expenses,83.23,83.8,78.37,88.25,68.68,75.52,69.02,68.36,64.01,79.83
7,Operating Income,25.21,50.27,-1.79,33.2,4.84,48.03,1.69,44.29,-19.77,23.68
8,Interest Expense,-10,-11.36,-8.6,-7.44,-4.08,-3.57,-4,-5.02,-6.96,-9.79
9,Interest & Investment Income,1.99,2.35,1.72,0.71,0.02,0.02,0.02,0.06,0.72,0.03
10,Earnings From Equity Investments,-,-,-,-1.96,-0.04,-,-,-,-,-
11,Currency Exchange Gain (Loss),3.22,-2.23,6.54,2.92,4.4,-5.21,-7.21,-10.03,0.93,1.75
12,EBT Excluding Unusual Items,20.42,39.03,-2.13,27.42,5.14,39.28,-9.51,29.3,-25.08,15.66
13,Gain (Loss) on Sale of Investments,-,-29.36,-,-13.09,-,-,-,-,-,-
14,Gain (Loss) on Sale of Assets,-0.02,-1.77,-0.29,-0.19,0.03,-1.89,-0.43,-0.47,-0.26,-0.87
15,Other Unusual Items,-,-,-,-,-,-,-,0,-,5.5
16,Pretax Income,20.4,7.9,-2.41,14.15,5.17,37.39,-9.94,28.83,-25.34,20.3
17,Income Tax Expense,4.69,5.1,-0.86,2.52,1.66,9.35,-2.02,4.96,-2.91,5.36
18,Net Income,15.7,2.8,-1.55,11.63,3.5,28.04,-7.92,23.88,-22.43,14.94
19,Net Income to Common,15.7,2.8,-1.55,11.63,3.5,28.04,-7.92,23.88,-22.43,14.94
20,Net Income Growth,-,-75.95%,-,-58.53%,-,17.44%,-,59.80%,-,-45.86%
21,Shares Outstanding (Basic),100,100,100,100,100,100,100,100,99,75
22,Shares Outstanding (Diluted),100,100,100,100,100,100,100,100,99,75
23,Shares Change (YoY),-,-,-,-,-,-0.01%,1.25%,33.34%,31.69%,-
24,EPS (Basic),0.16,0.03,-0.02,0.12,0.04,0.28,-0.08,0.24,-0.23,0.20
25,EPS (Diluted),0.16,0.03,-0.02,0.12,0.04,0.28,-0.08,0.24,-0.23,0.20
26,EPS Growth,-,-75.95%,-,-58.53%,-,17.45%,-,19.84%,-,-
27,Free Cash Flow,66.48,53.37,25.04,24.18,49.73,2.86,14.75,35.9,-5.87,45.45
28,Free Cash Flow Per Share,0.66,0.53,0.25,0.24,0.50,0.03,0.15,0.36,-0.06,0.61
29,Operating Margin,4.47%,7.39%,-0.33%,4.21%,0.88%,7.67%,0.40%,8.26%,-6.98%,5.22%
30,Profit Margin,2.79%,0.41%,-0.28%,1.48%,0.64%,4.48%,-1.88%,4.45%,-7.92%,3.30%
31,Free Cash Flow Margin,11.80%,7.84%,4.58%,3.07%,9.08%,0.46%,3.50%,6.69%,-2.07%,10.03%
32,EBITDA,44.07,46.18,19.63,32.37,24.43,48.15,19.67,47.6,-4.6,25.96
33,D&A For EBITDA,18.86,-4.08,21.41,-0.83,19.59,0.12,17.98,3.31,15.17,2.28
34,EBIT,25.21,50.27,-1.79,33.2,4.84,48.03,1.69,44.29,-19.77,23.68
