,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H1 2020
,Period Ending,"Mar '25 Mar 10, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","May '20 May 31, 2020"
0,Market Capitalization,806,744,695,726,752,724,660,-,-
1,Market Cap Growth,2.56%,2.56%,-7.68%,0.27%,14.01%,-,-,-,-
2,Enterprise Value,945,809,714,439,451,412,534,-,-
3,Last Close Price,1.30,1.20,1.12,1.17,1.17,1.13,1.05,-,-
4,PE Ratio,17.08,16.20,16.08,26.17,19.81,13.24,16.08,-,-
5,PS Ratio,1.84,1.76,1.85,2.32,2.49,2.26,2.12,-,-
6,PB Ratio,2.86,2.55,2.02,2.32,2.23,2.14,2.16,-,-
7,P/TBV Ratio,2.80,2.80,2.17,2.48,2.37,2.28,2.32,-,-
8,P/FCF Ratio,157.26,-,-78.79,-,-,-,31.34,-,-
9,P/OCF Ratio,22.66,-,14.52,-125.75,-,-,31.32,-,-
10,EV/Sales Ratio,2.23,1.91,1.91,1.40,1.49,1.29,1.72,-,-
11,EV/EBITDA Ratio,9.89,8.60,10.29,18.43,-,8.01,11.95,-,-
12,EV/EBIT Ratio,14.68,12.85,14.20,24.62,-,8.23,12.26,-,-
13,EV/FCF Ratio,184.22,-,-80.94,-,-,-,25.33,-,-
14,Debt / Equity Ratio,0.97,0.97,0.85,0.89,-,0.00,0.00,-,-
15,Debt / FCF Ratio,55.32,-,-33.33,-,-,-,0.01,-,-
16,Return on Capital Employed (ROCE),10.57%,10.57%,7.78%,2.94%,-,14.73%,14.13%,-,-
17,Earnings Yield,5.70%,6.17%,6.22%,3.82%,5.05%,7.55%,6.22%,-,-
18,FCF Yield,0.64%,0.69%,-1.27%,-6.58%,-4.82%,-0.29%,3.19%,-,-
19,Buyback Yield / Dilution,2.62%,5.75%,-0.51%,-0.50%,-32.65%,-36.61%,-,-,-
20,Total Shareholder Return,2.62%,5.75%,-0.51%,-0.50%,-32.65%,-36.61%,-,-,-
