,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","May '20 May 31, 2020"
0,Revenue,203.12,191.19,148.75,141.26,126.01,147.56,105.74,37.05
1,Revenue Growth (YoY),36.55%,35.34%,18.05%,-4.26%,19.17%,298.23%,-,-
2,Cost of Revenue,140.68,145.14,103.56,90.97,81.63,86.8,63.06,15.89
3,Gross Profit,62.43,46.04,45.19,50.29,44.38,60.75,42.68,21.17
4,"Selling, General & Admin",30.37,40.35,22.34,25.49,22.69,36.18,27.36,3.4
5,Other Operating Expenses,0.3,0.27,0.3,1.27,0.26,0.9,0.91,0.1
6,Operating Expenses,32.1,17.79,27.83,51.14,23.21,39.17,28.82,3.6
7,Operating Income,30.33,28.26,17.36,-0.85,21.18,21.58,13.86,17.57
8,Interest Expense,-8.59,-6.61,-2.86,-0.18,-0.01,-0.01,-0.1,-0.01
9,Interest & Investment Income,2.14,3.48,3.11,2.37,2.1,1.66,1.77,1.46
10,Earnings From Equity Investments,-0.11,1.39,0.1,-0.11,-,-,-,-
11,Currency Exchange Gain (Loss),0.39,-2.09,3.56,6.09,6.6,0.31,-,-
12,Other Non Operating Income (Expenses),3.33,-2.54,0.34,-0.41,0.24,0.53,0.29,0.53
13,EBT Excluding Unusual Items,27.48,21.88,21.6,6.9,30.11,24.08,15.81,19.55
14,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,0
15,Other Unusual Items,-,2.47,-,-,-,0.24,0.18,-
16,Pretax Income,27.48,24.35,21.6,6.9,30.11,24.32,15.99,19.55
17,Income Tax Expense,3.9,2.57,3.38,-0.68,4.13,4.02,3.34,2.89
18,Earnings From Continuing Operations,23.58,21.79,18.22,7.58,25.98,20.3,12.65,16.66
19,Minority Interest in Earnings,-2.17,-0.44,-0.36,0.22,-0.18,0.57,-0.07,-
20,Net Income,21.41,21.35,17.86,7.8,25.8,20.87,12.57,16.66
21,Net Income to Common,21.41,21.35,17.86,7.8,25.8,20.87,12.57,16.66
22,Net Income Growth,19.88%,173.65%,-30.76%,-62.62%,105.17%,25.22%,-,-
23,Shares Outstanding (Basic),580,620,617,616,613,462,450,-
24,Shares Outstanding (Diluted),584,622,620,619,617,466,452,-
25,Shares Change (YoY),-5.75%,0.51%,0.50%,32.65%,36.61%,-,-,-
26,EPS (Basic),0.04,0.03,0.03,0.01,0.04,0.05,0.03,-
27,EPS (Diluted),0.04,0.03,0.03,0.01,0.04,0.04,0.03,-
28,EPS Growth,27.08%,171.13%,-31.10%,-71.78%,50.36%,-,-,-
29,Free Cash Flow,-13.82,18.6,-26.6,-17.63,-14.46,12.66,4.5,7.44
30,Free Cash Flow Per Share,-0.02,0.03,-0.04,-0.03,-0.02,0.03,0.01,-
31,Operating Margin,14.93%,14.78%,11.67%,-0.60%,16.81%,14.63%,13.10%,47.42%
32,Profit Margin,10.54%,11.16%,12.01%,5.52%,20.47%,14.14%,11.89%,44.97%
33,Free Cash Flow Margin,-6.81%,9.73%,-17.88%,-12.48%,-11.47%,8.58%,4.26%,20.07%
34,EBITDA,47.01,40.52,22.44,-0.39,21.97,21.92,14.45,17.92
35,D&A For EBITDA,16.68,12.26,5.08,0.46,0.8,0.33,0.59,0.35
36,EBIT,30.33,28.26,17.36,-0.85,21.18,21.58,13.86,17.57
