,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","May '20 May 31, 2020"
0,Cash & Equivalents,137.38,212.65,207.57,250.05,256.94,252.18,-,-
1,Short-Term Investments,7.34,2.79,5.16,5.18,1.61,2.14,-,-
2,Trading Asset Securities,-,-,30,-,-,-,-,-
3,Cash & Short-Term Investments,144.72,215.43,242.73,255.23,258.55,254.32,-,-
4,Cash Growth,-40.38%,-15.59%,-6.12%,0.36%,-,-,-,-
5,Accounts Receivable,162.33,164.83,147.21,113.9,118.64,89.69,-,-
6,Other Receivables,15.09,16.84,10.57,11.6,6.69,2.55,-,-
7,Receivables,177.43,181.67,157.78,125.5,125.34,92.99,-,-
8,Inventory,64.16,19.55,15.24,16.84,0.94,0.74,-,-
9,Prepaid Expenses,19.28,18.59,8.43,5.83,4.29,3.47,-,-
10,Other Current Assets,6.78,6.82,3.25,1.89,3.19,1.46,-,-
11,Total Current Assets,412.36,442.06,427.43,405.28,392.3,352.98,-,-
12,"Property, Plant & Equipment",96.88,99.06,57.8,21.09,0.52,0.3,-,-
13,Long-Term Investments,25.31,26.36,0.24,0.14,-,-,-,-
14,Goodwill,9.18,9.18,9.18,9.18,9.18,9.18,-,-
15,Other Intangible Assets,5.75,6.18,6.64,7.06,7.98,8.43,-,-
16,Long-Term Deferred Tax Assets,7.1,4.66,4.86,4.08,1.26,0.67,-,-
17,Other Long-Term Assets,249.36,257.78,266.77,3.29,1.23,1.33,-,-
18,Total Assets,805.93,845.29,772.92,450.12,412.46,372.89,-,-
19,Accounts Payable,38.1,44.63,27.88,25.54,25.18,17.74,-,-
20,Accrued Expenses,38.25,46.93,39.62,38.86,32.52,32.81,-,-
21,Short-Term Debt,9.75,10,-,-,-,-,-,-
22,Current Portion of Leases,10.83,8.36,4.79,-,0.36,0.12,-,-
23,Current Income Taxes Payable,15.82,9.43,7.64,7.95,6.52,9.46,-,-
24,Current Unearned Revenue,54.68,46.52,43.42,31.7,25.34,24.62,-,-
25,Other Current Liabilities,84.06,93.47,87.52,40.66,32.28,37.33,-,-
26,Total Current Liabilities,251.49,259.33,210.87,144.71,122.2,122.08,-,-
27,Long-Term Leases,243.42,248.37,252.84,-,-,-,-,-
28,Long-Term Unearned Revenue,0.7,1.07,0.68,0.72,0.41,0.58,-,-
29,Long-Term Deferred Tax Liabilities,0.7,0.76,1.09,0.87,0.93,0.99,-,-
30,Other Long-Term Liabilities,37.55,23.16,18.55,5.17,-,-,-,-
31,Total Liabilities,533.86,532.68,484.03,151.48,123.54,123.64,-,-
32,Common Stock,0.39,0.39,0.39,0.39,0.39,0.38,-,-
33,Additional Paid-In Capital,117.22,117.22,117.22,142.56,138.05,126.27,-,-
34,Retained Earnings,187.24,165.83,143.34,125.48,119.23,89.71,-,-
35,Treasury Stock,-69.77,-2.87,-,-,-,-,-,-
36,Comprehensive Income & Other,27.63,24.84,25.31,28.52,30.6,32.65,-,-
37,Total Common Equity,262.71,305.41,286.25,296.95,288.28,249.01,-,-
38,Minority Interest,9.37,7.2,2.63,1.7,0.65,0.24,-,-
39,Shareholders' Equity,272.07,312.6,288.88,298.65,288.92,249.24,-,-
40,Total Liabilities & Equity,805.93,845.29,772.92,450.12,412.46,372.89,-,-
41,Total Debt,264,266.72,257.63,-,0.36,0.12,-,-
42,Net Cash (Debt),-119.28,-51.29,-14.9,255.23,258.19,254.2,-,-
43,Net Cash Growth,-,-,-,0.41%,-,-,-,-
44,Net Cash Per Share,-0.20,-0.08,-0.02,0.41,0.42,0.54,-,-
45,Filing Date Shares Outstanding,620.26,620.26,620.26,616.79,613.33,613.33,450,-
46,Total Common Shares Outstanding,620.26,620.26,620.26,616.79,613.33,600,450,-
47,Working Capital,160.87,182.74,216.55,260.57,270.1,230.9,-,-
48,Book Value Per Share,0.42,0.49,0.46,0.48,0.47,0.42,-,-
49,Tangible Book Value,247.78,290.04,270.43,280.71,271.12,231.4,-,-
50,Tangible Book Value Per Share,0.40,0.47,0.44,0.46,0.44,0.39,-,-
51,Machinery,-,24.39,-,4.63,-,0.38,-,-
52,Construction In Progress,-,0.08,-,8.59,-,-,-,-
53,Leasehold Improvements,-,77.76,-,8.46,-,-,-,-
