,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,112515,96664,93358,74682,87864,93810,112525,201360,222554,216043,149925
1,Market Cap Growth,29.43%,29.43%,6.25%,-20.39%,-21.92%,-53.41%,-49.44%,-6.80%,48.44%,83.36%,-
2,Enterprise Value,87395,73992,72847,55177,68167,75258,95387,185169,204073,199723,135460
3,Last Close Price,18.96,16.16,15.47,12.28,14.41,15.33,18.26,32.68,36.05,35.00,24.83
4,PE Ratio,23.28,19.08,25.86,26.84,30.08,29.44,33.79,63.48,72.95,79.32,52.42
5,Forward PE,25.72,24.26,28.31,23.11,24.97,24.58,27.09,48.52,54.85,57.99,43.34
6,PS Ratio,8.64,7.44,8.39,7.31,8.28,8.03,9.23,18.37,21.56,24.42,15.44
7,PB Ratio,3.75,3.22,3.29,2.86,3.43,3.79,4.58,8.94,10.48,11.19,10.27
8,P/TBV Ratio,3.25,3.25,3.31,2.87,3.44,3.80,4.58,8.95,10.49,11.19,10.28
9,P/FCF Ratio,23.67,20.34,29.25,35.74,31.49,27.87,43.30,227.37,-,75.61,48.96
10,P/OCF Ratio,19.34,19.34,27.19,32.70,28.35,24.52,35.57,79.23,78.39,61.29,40.25
11,PEG Ratio,3.44,3.05,3.12,2.89,1.56,1.16,1.11,1.80,1.97,1.64,1.80
12,EV/Sales Ratio,6.72,5.69,6.54,5.40,6.43,6.45,7.82,16.90,19.77,22.58,13.95
13,EV/EBITDA Ratio,17.53,14.94,21.93,18.48,20.57,21.73,25.20,50.49,57.48,63.69,40.85
14,EV/EBIT Ratio,19.18,16.27,24.76,21.16,23.13,24.07,27.55,54.77,61.97,68.37,43.55
15,EV/FCF Ratio,18.39,15.57,22.83,26.40,24.43,22.36,36.71,209.09,-,69.90,44.24
16,Debt / Equity Ratio,0.00,0.00,0.17,0.19,0.19,0.20,0.19,0.21,0.01,0.00,0.00
17,Debt / FCF Ratio,0.03,0.03,1.49,2.35,1.77,1.44,1.81,5.25,-,0.01,0.00
18,Return on Capital Employed (ROCE),15.02%,14.99%,10.20%,9.84%,9.52%,10.41%,11.69%,12.33%,15.32%,14.96%,20.85%
19,Earnings Yield,4.50%,5.24%,3.87%,3.73%,3.32%,3.40%,2.96%,1.58%,1.37%,1.26%,1.91%
20,FCF Yield,4.22%,4.92%,3.42%,2.80%,3.18%,3.59%,2.31%,0.44%,0.51%,1.32%,2.04%
21,Dividend Yield,2.12%,2.09%,1.38%,0.98%,0.69%,0.33%,-,-,-,-,-
22,Buyback Yield / Dilution,-1.34%,-0.05%,-2.63%,-0.41%,1.06%,1.22%,-1.36%,-2.72%,-2.31%,-12.93%,-15.78%
23,Total Shareholder Return,0.78%,2.04%,-1.26%,0.57%,1.76%,1.54%,-1.36%,-2.72%,-2.31%,-12.93%,-15.78%
