,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,700074,399170,344557,199135,243233,224642,361202,222567,405368,336680,483979,430991,503426,407910,540364,495937,371680,305713,232619,175374,Upgrade
1,Short-Term Investments,361744,698705,604359,403725,463419,259961,274489,364728,360165,500958,310509,183633,250455,217038,306042,303152,372674,276198,185773,274325,Upgrade
2,Cash & Short-Term Investments,1061818,1097875,948915,602860,706652,484603,635691,587296,765533,837637,794488,614624,753880,624947,846406,799089,744354,581912,418392,449699,Upgrade
3,Cash Growth,50.26%,126.55%,49.27%,2.65%,-7.69%,-42.15%,-19.99%,-4.45%,1.55%,34.03%,-6.13%,-23.08%,1.28%,7.40%,102.30%,77.69%,13.28%,-16.57%,-23.79%,-8.08%,Upgrade
4,Accounts Receivable,606124,595484,721340,570786,379947,482429,683052,453940,330727,397302,564372,431817,348273,338140,405585,395355,386583,406046,498458,457119,Upgrade
5,Other Receivables,20058,10754,4651,10322,16642,8968,13003,14191,15802,11678,6641,9271,11021,13981,4917,5102,10204,5974,4823,10853,Upgrade
6,Receivables,642181,622238,741991,597108,412589,507397,696055,468131,346529,408980,571013,441088,359294,352121,410502,400458,396786,412020,503281,467972,Upgrade
7,Inventory,784896,731001,739023,838671,831700,806699,834106,863227,914140,811713,713573,742588,693114,651265,612314,518391,530224,658184,680459,692177,Upgrade
8,Prepaid Expenses,23136,14706,13247,14481,15760,19032,14877,15031,18871,13513,13603,12511,13186,12048,14955,13250,12713,12419,10356,7700,Upgrade
9,Other Current Assets,158675,146912,139688,119528,107754,106224,105859,105367,88139,80462,56954,62277,47979,49503,29990,23955,17673,31092,40162,51719,Upgrade
10,Total Current Assets,2670706,2612733,2582863,2172648,2074455,1923956,2286588,2039052,2133213,2152306,2149632,1873088,1867454,1689884,1914167,1755143,1701752,1695627,1652650,1669269,Upgrade
11,"Property, Plant & Equipment",525268,527199,534558,538440,557721,560911,573565,577695,556521,464508,449508,438073,444431,444214,433106,441796,452379,459117,441632,454544,Upgrade
12,Long-Term Investments,64214,63014,63014,62833,62833,66833,58833,58833,58724,33724,33724,33621,33621,33621,26621,21942,21942,21942,21942,21092,Upgrade
13,Other Intangible Assets,32666,32450,33444,34439,35188,35254,36181,36456,34554,33900,33986,30181,30392,31676,32963,34260,35212,36562,37663,39033,Upgrade
14,Long-Term Deferred Tax Assets,12541,19064,8167,19225,25007,21238,25509,17553,26795,14305,9007,10623,10098,18777,27695,23304,28949,38634,40825,39076,Upgrade
15,Other Long-Term Assets,54166,47888,49991,49596,53244,53189,50754,53562,59229,56360,56426,55644,60142,62455,70469,71806,74365,59172,56608,41261,Upgrade
16,Total Assets,3359561,3302348,3272037,2877181,2808448,2661381,3031430,2783151,2869036,2755101,2732283,2441231,2446139,2280628,2505022,2348251,2314599,2311054,2251320,2264276,Upgrade
