,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Revenue,8440,7365,6226,4733,6021,3981,3456,3339,2866,3622,Upgrade
1,Revenue Growth (YoY),35.55%,55.61%,3.41%,18.90%,74.19%,19.23%,20.61%,-7.82%,-17.70%,-,Upgrade
2,Cost of Revenue,6551,5475,3677,2432,2808,2128,1951,2196,1976,1999,Upgrade
3,Gross Profit,1889,1890,2549,2301,3212,1853,1505,1143,889.87,1623,Upgrade
4,"Selling, General & Admin",292.46,403.08,273.25,319.19,204.7,332.24,241.9,245.58,194.07,298.04,Upgrade
5,Other Operating Expenses,107.36,180.75,-68.9,-308.99,430.23,-25.1,34.46,126.06,-40.35,178.66,Upgrade
6,Operating Expenses,492.51,1063,217.51,7.27,1357,469.27,278.5,703.24,164.34,889.83,Upgrade
7,Operating Income,1396,826.77,2332,2293,1856,1383,1226,439.63,725.54,733.04,Upgrade
8,Interest Expense,-150.23,-134.7,-132.07,-204.56,-162.64,-124.28,-131.51,-144.02,-157.7,-233.28,Upgrade
9,Interest & Investment Income,92.03,118.7,97.65,111.07,62.84,88.4,24.52,38.78,35.95,54.23,Upgrade
10,Earnings From Equity Investments,37.41,62.18,-57.84,-30.01,-157.07,-105.84,46.88,51.68,-20.95,60.8,Upgrade
11,Currency Exchange Gain (Loss),-,230.23,-,69.44,-,36.28,-,37.18,-,28.85,Upgrade
12,Other Non Operating Income (Expenses),-,-,-,-,-,0.65,-0.65,-0.36,-0.18,-,Upgrade
13,EBT Excluding Unusual Items,1375,1103,2239,2239,1599,1278,1166,422.9,582.65,643.64,Upgrade
14,Merger & Restructuring Charges,-,-,-,-,-,-,-,-,-,-0.57,Upgrade
15,Gain (Loss) on Sale of Investments,-,-118.88,-,0.07,-,0.26,-,-0.85,-,-0.17,Upgrade
16,Gain (Loss) on Sale of Assets,-,7.13,-,11.34,-,-6.34,-,31.33,-,6.79,Upgrade
17,Asset Writedown,-,-5251,-,-831.13,-,-5.23,-,-9.26,-,-0.02,Upgrade
18,Other Unusual Items,-,-,-,2.66,-,-,-,-,-,265.43,Upgrade
19,Pretax Income,1375,-4259,2239,1422,1599,1267,1166,444.11,582.65,915.1,Upgrade
20,Income Tax Expense,365,-888.92,576.38,331.34,88.61,225.34,206.9,3.2,159.39,-21.95,Upgrade
21,Earnings From Continuing Operations,1010,-3371,1663,1091,1510,1042,958.74,440.91,423.26,937.06,Upgrade
22,Net Income to Company,1010,-3371,1663,1091,1510,1042,958.74,440.91,423.26,937.06,Upgrade
23,Minority Interest in Earnings,0.01,0.01,0.01,0.01,0.01,0.02,-,0,-,0.01,Upgrade
24,Net Income,1010,-3371,1663,1091,1510,1042,958.74,440.91,423.26,937.07,Upgrade
25,Net Income to Common,1010,-3371,1663,1091,1510,1042,958.74,440.91,423.26,937.07,Upgrade
26,Net Income Growth,-39.25%,-,10.12%,4.71%,57.53%,136.30%,126.51%,-52.95%,-56.31%,-,Upgrade
27,Shares Outstanding (Basic),25896,26140,26163,26163,26163,26207,26227,26228,26223,26235,Upgrade
28,Shares Outstanding (Diluted),25896,26140,26163,26163,26164,26208,26235,26234,26232,26243,Upgrade
29,Shares Change (YoY),-1.02%,-0.09%,-0.00%,-0.17%,-0.27%,-0.10%,0.01%,-0.03%,-0.20%,-,Upgrade
30,EPS (Basic),0.04,-0.13,0.06,0.04,0.06,0.04,0.04,0.02,0.02,0.04,Upgrade
31,EPS (Diluted),0.04,-0.13,0.06,0.04,0.06,0.04,0.04,0.02,0.02,0.04,Upgrade
32,EPS Growth,-38.63%,-,10.17%,4.88%,58.08%,136.65%,126.70%,-52.94%,-56.34%,-,Upgrade
33,Free Cash Flow,1434,1067,-418.79,1242,856.56,1442,103.34,339.7,-315.21,-59.78,Upgrade
34,Free Cash Flow Per Share,0.06,0.04,-0.02,0.05,0.03,0.06,0.00,0.01,-0.01,-0.00,Upgrade
35,Operating Margin,16.54%,11.23%,37.45%,48.46%,30.82%,34.75%,35.48%,13.17%,25.32%,20.24%,Upgrade
36,Profit Margin,11.97%,-45.76%,26.71%,23.05%,25.08%,26.17%,27.74%,13.21%,14.77%,25.87%,Upgrade
37,Free Cash Flow Margin,16.99%,14.49%,-6.73%,26.25%,14.23%,36.23%,2.99%,10.18%,-11.00%,-1.65%,Upgrade
38,EBITDA,4012,3982,4260,5312,3609,3100,2577,2082,2205,2442,Upgrade
39,D&A For EBITDA,2616,3155,1929,3018,1754,1716,1351,1642,1479,1709,Upgrade
40,EBIT,1396,826.77,2332,2293,1856,1383,1226,439.63,725.54,733.04,Upgrade
