,Fiscal Quarter,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Revenue,1663087,1394129,1439535,1508227,1610467,1476230,1448176,1133588,1664558,1331006,1665332,1236780,1092764,1087707
1,Revenue Growth (YoY),3.27%,-5.56%,-0.60%,33.05%,-3.25%,10.91%,-13.04%,-8.34%,52.33%,22.37%,-,-,-,-
2,Cost of Revenue,1471935,1160756,1168452,1326211,1402213,1237144,1320237,977724,1337448,1167920,1375739,1090265,964017,963496
3,Gross Profit,191151,233373,271083,182016,208254,239086,127939,155864,327110,163085,289593,146515,128747,124211
4,"Selling, General & Admin",25319,25539,29634,26351,27851,25075,27580,24376,22290,24555,28715,22806,-46741,22748
5,Operating Expenses,25319,25539,29634,26351,27851,25075,27580,24376,22290,24555,28715,22806,-46741,22748
6,Operating Income,165833,207834,241449,155665,180403,214011,100359,131488,304820,138530,260878,123708,175488,101463
7,Interest Expense,-17452,-12933,-8552,-8171,-7040,-4054,-2875,-2241,-811.1,-2520,-5726,-3277,-,-5456
8,Interest & Investment Income,93315,96832,105540,86864,125170,72638,72698,82570,118178,90946,244113,164642,150397,93270
9,Earnings From Equity Investments,23512,19582,32830,14517,15180,22987,29609,13257,8559,30508,26415,23151,6416,-
10,Other Non Operating Income (Expenses),79868,-82535,7477,-4213,14354,-14197,5307,-699.68,-6598,195.8,767.19,4551,121153,-111702
