,Fiscal Quarter,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,1329988,763544,410556,623925,583113,846517,627285,711298,855052,505763,966870,-,-,-
1,Short-Term Investments,3300499,2949260,3803063,3568534,4061677,4250454,3527304,3723269,3496057,3906812,2873354,-,-,-
2,Cash & Short-Term Investments,4630487,3712804,4213619,4192459,4644790,5096971,4154588,4434567,4351108,4412575,3840224,-,-,4844149
3,Cash Growth,-0.31%,-27.16%,1.42%,-5.46%,6.75%,15.51%,8.19%,-,-,-8.91%,-,-,-,-
4,Accounts Receivable,300185,249194,285377,237892,288312,283753,237619,192976,280270,97453,219445,-,-,-
5,Other Receivables,3200372,4390556,3346136,3508640,3524156,3240031,3302284,3328031,3261973,2972847,2826806,-,-,-
6,Receivables,3500557,4639749,3631513,3746532,3812468,3523784,3539903,3521007,3542244,3070300,3046251,-,-,-
7,Inventory,405848,408711,444339,508258,538823,552858,516948,561645,462606,465708,395958,-,-,-
8,Prepaid Expenses,6610,3943,6044,5262,5908,4724,5375,8625,5705,4936,3940,-,-,-
9,Other Current Assets,762231,714934,632859,732589,664378,579243,601354,613352,603680,593950,556196,-,-,-
10,Total Current Assets,9305733,9480140,8928375,9185099,9666367,9757580,8818170,9139195,8965344,8547469,7842569,-,-,-
11,"Property, Plant & Equipment",4105945,3638327,3630453,3617572,3422127,3328493,3165922,3076742,3079192,2857396,2808956,-,-,-
12,Long-Term Investments,1434939,1581620,1268741,1016949,1004037,792564,1048484,784155,769812,776230,1183844,-,-,-
13,Goodwill,4050,6075,14490,16719,17724,21177,23406,25635,27864,30092,24300,-,-,-
14,Other Intangible Assets,22761,4879,5021,4756,4797,4732,4818,4851,4932,5014,5098,-,-,-
15,Other Long-Term Assets,5275152,5048787,5117592,4775724,4807163,4750313,4740776,4593844,4549275,4838486,4872779,-,-,-
16,Total Assets,20148580,19759828,18964671,18616819,18922215,18654859,17801575,17624422,17396419,17054687,16737545,-,-,-
17,Accounts Payable,224175,234602,262992,205805,146649,179086,137586,123869,139812,136532,200011,-,-,-
18,Accrued Expenses,414273,312322,321285,323420,311311,233297,237226,235426,234553,146293,163416,-,-,-
19,Short-Term Debt,1225573,1000626,689279,601001,1029120,860993,445841,300716,355805,321798,461467,-,-,-
20,Current Income Taxes Payable,99689,21899,124401,158733,116318,51743,66477,123719,81592,43328,170054,-,-,-
21,Current Unearned Revenue,100910,352031,320020,310226,341915,332143,297955,297494,323143,279473,158201,-,-,-
22,Other Current Liabilities,240222,208158,239985,457301,384038,401070,357058,491526,453846,946582,505901,-,-,-
23,Total Current Liabilities,2304842,2129638,1957962,2056487,2329351,2058333,1542143,1572750,1588751,1874007,1659050,-,-,-
24,Long-Term Debt,117445,1227,-,7287,8501,6360,10930,12145,8906,-,-,-,-,-
25,Long-Term Unearned Revenue,11227871,11020095,10610368,10236069,10248594,10266221,10172890,9984045,9881172,9261933,9334955,-,-,-
26,Long-Term Deferred Tax Liabilities,121734,123077,133155,130619,127683,128471,128455,128632,128888,140210,136232,-,-,-
