,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,1908,1956,1861,1479,827,1399,2147,2067,1304,1559,1399
1,Market Cap Growth,108.47%,32.26%,125.00%,5.68%,-61.48%,-32.31%,64.63%,32.65%,-6.82%,-27.47%,-49.77%
2,Enterprise Value,3736,3545,3539,3208,3112,3693,4773,4627,3778,4061,3844
3,Last Close Price,1.20,1.18,1.12,0.79,0.44,0.75,1.15,1.11,0.70,0.84,0.75
4,PE Ratio,5.46,5.59,4.64,11.09,-,-,-,10.31,-139.42,-,-
5,Forward PE,-,148.75,148.75,148.75,148.75,148.75,148.75,148.75,148.75,148.75,148.75
6,PS Ratio,0.60,0.62,0.56,1.07,-,1.48,-,0.73,0.57,0.88,0.72
7,PB Ratio,1.46,1.53,1.52,1.33,0.81,2.80,2.98,5.67,3.30,4.37,2.22
8,P/TBV Ratio,1.52,1.52,1.52,1.28,0.77,2.25,2.62,3.37,2.22,2.96,1.99
9,P/FCF Ratio,4.06,-,3.47,120.31,-,-,-,-,14.13,-,-8.40
10,P/OCF Ratio,2.67,2.67,2.04,6.25,-,19.83,-,3.72,2.47,4.91,7.58
11,EV/Sales Ratio,1.18,1.12,1.07,2.31,-,3.92,-,1.64,1.65,2.30,1.99
12,EV/EBITDA Ratio,3.36,4.12,3.87,9.55,-,72.42,-,8.42,13.55,-,31.76
13,EV/EBIT Ratio,5.64,5.36,4.89,13.04,-,-,-,13.18,41.66,-,-82.02
14,EV/FCF Ratio,7.95,-,6.60,260.95,-,-,-,-,40.93,-,-23.07
15,Debt / Equity Ratio,1.95,1.95,2.03,2.12,2.54,6.17,4.67,9.55,8.73,8.77,4.73
16,Debt / FCF Ratio,5.29,-,4.65,191.04,-,-,-,-,37.36,-,-17.86
17,Return on Capital Employed (ROCE),23.50%,23.50%,26.59%,9.36%,-,-,-,13.04%,3.37%,-,-1.78%
18,Earnings Yield,18.32%,17.88%,21.54%,9.01%,-,-9.86%,-,9.70%,-0.72%,-12.18%,-5.53%
19,FCF Yield,24.63%,24.02%,28.84%,0.83%,-,-7.07%,-,14.26%,7.08%,-12.66%,-11.91%
20,Dividend Yield,7.50%,3.81%,-,-,-,-,-,-,-,-,-
21,Buyback Yield / Dilution,-,-,-,-,-,-,-,0.00%,0.10%,0.11%,
22,Total Shareholder Return,7.50%,3.81%,-,-,-,-,-,-,0.00%,0.10%,0.11%
