,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q1 2021,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Mar '21 Mar 31, 2021","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,2011,1927,2052,1965,849.14,1233,1089,986.5,488.41,519.7,-,295.12,-,-
1,Trading Asset Securities,-,-,-,-,-,-,-,26.56,16.46,15.51,22.86,-,-,-,-
2,Cash & Short-Term Investments,2011,2011,1927,2052,1965,849.14,1233,1115,1003,503.92,542.55,295.12,295.12,240.37,112.84
3,Cash Growth,2.31%,136.81%,56.27%,83.97%,95.96%,68.51%,127.31%,277.94%,239.85%,109.65%,380.80%,-,-,-,-
4,Accounts Receivable,-,638.42,646.15,538.14,510.3,483.46,442.93,378.08,344.26,294.68,351.14,-,396.13,-,-
5,Other Receivables,-,42.55,77.22,146.49,24.23,156.49,15.08,6.31,5.85,31.43,4.7,-,10.34,-,-
6,Receivables,-,680.96,723.37,684.63,534.53,639.95,458.01,384.39,350.11,326.11,355.84,-,406.47,-,-
7,Inventory,-,427.85,398.09,389.31,357.86,333.93,303.21,290.62,320.57,319.56,348.86,-,278.88,-,-
8,Other Current Assets,-,68.74,143.25,99.01,141.62,152.62,195.13,224.07,111.51,55.57,22.32,-,2.96,-,-
9,Total Current Assets,-,3188,3192,3225,2999,1976,2190,2014,1785,1205,1270,-,983.43,-,-
10,"Property, Plant & Equipment",-,8812,8593,7989,7600,8595,7605,6837,6148,3783,3597,-,3432,-,-
11,Long-Term Investments,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-
12,Other Intangible Assets,-,121.62,118.65,116.83,89.59,87.54,86.63,87.07,89.51,91.99,93.59,-,89.26,-,-
13,Long-Term Deferred Tax Assets,-,74.52,63.6,57.9,54.24,74.49,70.83,58.15,57.95,24.24,24.24,-,12.08,-,-
14,Long-Term Deferred Charges,-,1525,1532,1597,1544,91.43,80.93,1.97,2.04,2.88,1.36,-,1.45,-,-
15,Other Long-Term Assets,-,58.21,131.64,141.44,44.3,131.44,139.36,82.71,238.48,243.97,176.09,-,114.17,-,-
16,Total Assets,-,13795,13632,13127,12331,10956,10172,9082,8321,5352,5162,-,4632,-,-
17,Accounts Payable,-,1544,512.81,1488,467.5,1330,339.49,649.81,287.33,535.01,308.12,-,319.94,-,-
18,Accrued Expenses,-,100.23,98.62,73.78,102.97,78.23,66.19,47.89,97.2,36.64,55.15,-,85.62,-,-
19,Short-Term Debt,-,672.54,587.72,390.46,329.72,300.2,222.72,594.98,753.74,948.1,912.96,-,1084,-,-
20,Current Portion of Long-Term Debt,-,1113,1169,871.34,577.4,535.83,896.5,724.54,571.1,691.22,451.2,-,282.08,-,-
21,Current Portion of Leases,-,-,15.05,-,45.88,-,97.86,-,125.97,-,123.19,-,101.17,-,-
22,Current Income Taxes Payable,-,8.53,-,63.92,-,3.37,0.07,0.72,0.07,12.23,11.01,-,0.07,-,-
23,Current Unearned Revenue,-,21.24,27.98,31.86,20.11,25.08,25.62,30.18,39.72,21.99,21.24,-,18.53,-,-
24,Other Current Liabilities,-,78.57,1173,78.98,969.54,74.79,660.12,55.04,421.89,115.61,186.9,-,326.02,-,-
25,Total Current Liabilities,-,3538,3584,2998,2513,2348,2309,2103,2297,2361,2070,-,2218,-,-
26,Long-Term Debt,-,3789,3764,3880,3567,2938,2170,1660,1084,1123,1307,-,762.88,-,-
27,Long-Term Leases,-,1663,1662,1688,1673,1660,1652,1615,1630,76.6,102.35,-,133.86,-,-
28,Long-Term Unearned Revenue,-,738.6,603.22,593.11,534.26,349.89,349.68,336.55,283.02,150.47,145.28,-,102.18,-,-
29,Long-Term Deferred Tax Liabilities,-,50.57,44.76,46.8,45.4,76.35,79.08,79.58,81.67,35.94,35.94,-,35.94,-,-
30,Other Long-Term Liabilities,-,-,-,-,-,-,-,-,-,-,6.63,-,6.63,-,-
31,Total Liabilities,-,9779,9658,9206,8333,7371,6559,5795,5376,3747,3667,-,3259,-,-
32,Common Stock,-,408.41,408.41,407.66,407.66,407.66,407.66,407.66,407.66,347.66,347.66,-,347.66,-,-
33,Additional Paid-In Capital,-,1804,1799,1780,1768,1760,1744,1737,1737,779.82,761.45,-,754.32,-,-
34,Retained Earnings,-,315.75,285.46,237.9,273.35,246.53,287.54,359.38,409.54,477.09,386.09,-,271.12,-,-
35,Treasury Stock,-,-50,-50,-40.26,-,-,-,-,-,-,-,-,-,-,-
36,Total Common Equity,2478,2478,2442,2385,2449,2414,2439,2504,2554,1605,1495,1373,1373,295.68,277.24
37,Minority Interest,-,1538,1531,1536,1549,1171,1174,783.07,390.94,-,-,-,-,-,-
38,Shareholders' Equity,4016,4016,3974,3921,3998,3585,3613,3287,2945,1605,1495,1373,1373,295.68,277.24
39,Total Liabilities & Equity,-,13795,13632,13127,12331,10956,10172,9082,8321,5352,5162,-,4632,-,-
40,Total Debt,7237,7237,7198,6829,6193,5433,5039,4595,4165,2839,2896,2364,2364,689.05,316.11
41,Net Cash (Debt),-5226,-5226,-5271,-4777,-4228,-4584,-3806,-3479,-3162,-2335,-2354,-2069,-2069,-448.68,-203.26
42,Net Cash Per Share,-17.05,-11.24,-12.76,-12.13,-11.02,-11.17,-9.17,-8.37,-8.50,-6.66,-6.91,-5.81,-6.02,-,-
43,Filing Date Shares Outstanding,408.41,464.98,413.16,407.66,407.66,407.66,407.66,407.66,407.66,407.66,347.66,356,347.66,-,-
44,Total Common Shares Outstanding,408.41,464.98,413.16,407.66,407.66,407.66,407.66,407.66,407.66,407.66,347.66,356,347.66,-,-
45,Working Capital,-,-349.28,-392.11,226.62,486.26,-372.33,-118.96,-88.69,-511.87,-1156,-800.19,-,-1234,-,-
46,Book Value Per Share,5.33,5.33,5.91,5.85,6.01,5.92,5.98,6.14,6.27,3.94,4.30,3.95,3.95,1.27,1.26
47,Tangible Book Value,2356,2356,2324,2269,2359,2326,2352,2417,2465,1513,1402,1284,1284,235.37,232.89
48,Tangible Book Value Per Share,5.07,5.07,5.62,5.56,5.79,5.71,5.77,5.93,6.05,3.71,4.03,3.69,3.69,1.01,1.06
49,Buildings,-,-,476.53,-,476.23,-,460.45,-,459.81,-,395.09,-,356.9,-,-
50,Machinery,-,-,5488,-,4694,-,3570,-,3373,-,3296,-,3091,-,-
51,Construction In Progress,-,-,2668,-,2145,-,3025,-,1540,-,461.9,-,331.65,-,-
