,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q1 2021,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Mar '21 Mar 31, 2021","Mar '20 Mar 31, 2020"
0,Operating Revenue,1053,947.78,877.22,726.61,759.73,653.88,552.58,424.65,462.48,581.17,552.79,580.55,622.43,358.74,116.11
1,Other Revenue,-,-25.65,25.65,-,-,-5.48,5.48,-,-,-2.24,2.24,-,13.51,-,-
2,Revenue,1053,922.13,902.88,726.61,759.73,648.39,558.07,424.65,462.48,578.93,555.03,580.55,635.95,358.74,116.11
3,Revenue Growth (YoY),38.59%,42.22%,61.79%,71.11%,64.28%,12.00%,0.55%,-26.85%,-27.28%,61.38%,378.04%,-,-,-,-
4,Cost of Revenue,1478,759.75,722.65,623.23,670.57,532.12,480.53,389.02,419.41,437.24,428.15,426.3,434.58,328.69,121.38
5,Gross Profit,-425.24,162.37,180.23,103.38,89.16,116.27,77.54,35.62,43.06,141.69,126.89,154.25,201.36,30.05,-5.27
6,"Selling, General & Admin",-225.68,79.75,71.3,74.63,55.97,86.76,60.67,58.28,49.45,37.13,32.88,34.92,30.93,-,-
7,Research & Development,-154.7,60.72,49.53,44.45,42.62,40.9,33.47,28.13,33.04,28.47,31.37,28.84,30.73,-,-
8,Other Operating Expenses,118.3,-103.52,7.47,-22.25,27.48,-7.05,-6.91,-7.77,104.65,-80.4,-11.61,-7.74,14.63,-,-
9,Operating Expenses,-268,35.66,128.12,104.21,121.89,128.97,90.61,80.52,189.26,-16.07,48.44,56.02,76.79,-,-
10,Operating Income,-157.24,126.71,52.11,-0.83,-32.73,-12.7,-13.06,-44.9,-146.2,157.76,78.44,98.23,124.57,30.05,-5.27
11,Interest Expense,-40.72,-61.64,-57.76,-54.88,-59.61,-37.21,-34.39,-31.64,-31.91,-33.01,-26.75,-28.44,-21.51,-,-
12,Interest & Investment Income,174.28,13.53,14.97,12.22,7.37,5.14,9.52,4.34,2.9,1.38,1.28,0.56,0.7,-,-
13,Currency Exchange Gain (Loss),-,11.75,-11.75,-,-19.29,13.71,-13.71,-,-6.68,0.73,-0.73,-,8.72,-,-
14,Other Non Operating Income (Expenses),20.45,-18.18,4.65,-6.54,17.34,-18.83,-3.71,1.86,26.57,-27.49,-1.99,0.24,-5.14,0.01,-0.05
15,EBT Excluding Unusual Items,-3.23,72.17,2.21,-50.03,-86.92,-49.89,-55.35,-70.34,-155.32,99.38,50.26,70.59,107.33,30.07,-5.32
16,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,3.59,10.1,0.95,-7.35,-6.99,-0.15,-,-,-
17,Gain (Loss) on Sale of Assets,0.42,-0.2,-0.23,0,-0,0,0,-,-0,0.04,-0,-,-0.6,-,-
18,Asset Writedown,11.01,-11.01,0.85,-0.85,0.59,-0.59,0.15,-0.15,1.03,-1.03,-0.97,0.97,0.19,-,-
19,Legal Settlements,-,-,-,-,-,-,-,-,-18.37,-,-,-,-6.63,-,-
20,Other Unusual Items,0.3,-32.32,32.06,-0.04,80.95,-0.44,0.39,0.05,104.23,-0.04,0.04,-,25.05,-,-
21,Pretax Income,8.5,28.64,34.89,-50.92,-5.38,-50.92,-51.21,-60.34,-67.48,91,42.34,71.41,125.34,30.07,-5.32
