,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q1 2021,Q1 2020
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Mar '21 Mar 31, 2021","Mar '20 Mar 31, 2020"
0,Market Capitalization,12105,13755,9087,7948,8186,10677,11981,13571,12678,8883,-,-,-,-,-,-
1,Market Cap Growth,28.84%,28.84%,-24.15%,-41.44%,-35.43%,20.19%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,18870,20520,15889,14261,13941,16431,16961,17834,15013,11218,-,-,-,-,-,-
3,Last Close Price,29.64,33.68,22.25,19.46,20.08,26.19,29.39,33.18,31.00,21.72,-,-,-,-,-,-
4,PE Ratio,174.35,205.04,131.84,-3286.17,-,-114.28,-,-,-,-,-,-,-,-,-,-
5,Forward PE,55.23,67.02,23.92,24.12,31.71,45.64,52.95,67.25,40.39,-,-,-,-,-,-,-
6,PS Ratio,3.25,3.82,2.74,2.62,3.04,4.47,5.72,6.70,6.27,4.08,-,-,-,-,-,-
7,PB Ratio,5.56,3.43,2.26,2.00,2.09,2.67,3.34,3.76,3.86,3.02,-,-,-,-,-,-
8,P/TBV Ratio,5.84,5.84,3.86,3.42,3.61,4.53,5.15,5.77,5.25,3.60,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-9.94,-,-,-,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,4.89,5.83,6.43,9.96,20.85,18.15,-,9.87,-,-,-,-,-,-
11,EV/Sales Ratio,5.23,5.69,4.80,4.69,5.18,6.87,8.10,8.81,7.43,5.15,-,-,-,-,-,-
12,EV/EBITDA Ratio,37.83,-,24.04,27.93,34.64,47.31,76.13,50.92,34.71,-,-,-,-,-,-,-
13,EV/EBIT Ratio,989.13,-,109.38,2436.65,-,-,-,-,-,-,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,-17.38,-,-,-,-,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,1.80,1.80,1.80,1.81,1.74,1.55,1.52,1.39,1.40,1.41,1.77,1.94,1.72,1.72,2.33,1.14
16,Debt / EBITDA Ratio,14.51,-,7.35,7.76,14.38,13.53,14.18,11.84,18.07,-,3.18,3.83,3.61,2.95,3.26,25.35
17,Debt / FCF Ratio,-,-,-7.92,-,-,-,-,-,-,-,-,-,-,-,4.75,10.02
18,Asset Turnover,-,0.27,0.27,0.23,0.26,0.25,0.23,0.20,0.27,0.44,-,-,-,-,-,
19,Inventory Turnover,-,-,7.36,7.34,6.67,7.75,6.68,6.47,5.09,5.24,5.23,-,-,-,-,-
20,Quick Ratio,-,-,0.76,0.74,0.91,0.99,0.63,0.73,0.71,0.59,0.35,0.43,-,0.32,-,-
21,Current Ratio,-,-,0.90,0.89,1.08,1.19,0.84,0.95,0.96,0.78,0.51,0.61,-,0.44,-,-
22,Return on Equity (ROE),3.92%,3.38%,4.32%,-4.92%,0.53%,-4.94%,-4.41%,-7.41%,-12.06%,23.48%,12.21%,20.74%,-,-,-,
23,Return on Assets (ROA),-,2.31%,0.97%,-0.02%,-0.70%,-0.30%,-0.34%,-1.29%,-5.35%,7.50%,-,-,-,-,-,
24,Return on Capital (ROIC),-3.49%,2.82%,1.19%,-0.02%,-0.85%,-0.36%,-0.39%,-1.50%,-6.33%,8.93%,4.82%,6.57%,-,-,-,
25,Return on Capital Employed (ROCE),-,-,1.42%,0.06%,-,-,-,-,-,-,15.35%,10.71%,-,6.19%,-,-
26,Earnings Yield,0.55%,0.49%,0.76%,-0.03%,-0.97%,-0.88%,-1.57%,-0.41%,0.14%,1.56%,-,-,-,-,-,-
27,FCF Yield,-,-10.06%,-25.23%,-26.70%,-19.96%,-22.86%,-14.28%,-11.43%,-10.15%,-,-,-,-,-,-,
28,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,0.48%,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,159.70%,96.54%,-,143.39%,-,-,-,-,32.78%,66.92%,33.35%,18.92%,-,-
30,Buyback Yield / Dilution,2.81%,20.12%,-13.32%,0.43%,5.22%,-3.09%,-17.08%,-21.74%,-16.74%,-8.37%,-,-,-,-,-,-
31,Total Shareholder Return,2.81%,20.12%,-13.32%,0.43%,5.22%,-3.09%,-17.08%,-21.74%,-16.74%,-7.88%,-,-,-,-,-,-
