,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Revenue,9.3,9.3,9.44,9.44
1,Cost of Revenue,5.66,5.66,5.88,5.88
2,Gross Profit,3.64,3.64,3.56,3.56
3,"Selling, General & Admin",1.27,1.27,2.68,2.68
4,Other Operating Expenses,-0.58,-0.58,-0.62,-0.62
5,Operating Expenses,1.02,1.02,2.38,2.38
6,Operating Income,2.63,2.63,1.18,1.18
7,Interest Expense,-0.31,-0.31,-0.32,-0.32
8,Interest & Investment Income,0.07,0.07,-,-
9,Earnings From Equity Investments,-0.06,-0.06,-0.01,-0.01
10,Currency Exchange Gain (Loss),0.16,0.16,-0.1,-0.1
11,Other Non Operating Income (Expenses),-1.16,-1.16,-0.45,-0.45
12,EBT Excluding Unusual Items,1.33,1.33,0.3,0.3
13,Gain (Loss) on Sale of Investments,-,-,0.01,0.01
14,Gain (Loss) on Sale of Assets,0.03,0.03,-,-
15,Other Unusual Items,0.02,0.02,0.03,0.03
16,Pretax Income,1.38,1.38,0.35,0.35
17,Income Tax Expense,0.33,0.33,0.31,0.31
18,Earnings From Continuing Operations,1.05,1.05,0.04,0.04
19,Earnings From Discontinued Operations,-,-,1.07,1.07
20,Net Income to Company,1.05,1.05,1.11,1.11
21,Minority Interest in Earnings,-,-,0.09,0.09
22,Net Income,1.05,1.05,1.2,1.2
23,Net Income to Common,1.05,1.05,1.2,1.2
24,Shares Outstanding (Basic),123,123,123,123
25,Shares Outstanding (Diluted),123,123,123,123
26,EPS (Basic),0.01,0.01,0.01,0.01
27,EPS (Diluted),0.01,0.01,0.01,0.01
28,Free Cash Flow,3.19,3.19,1.24,1.24
29,Free Cash Flow Per Share,0.03,0.03,0.01,0.01
30,Gross Margin,39.17%,39.17%,37.71%,37.71%
31,Operating Margin,28.26%,28.26%,12.53%,12.53%
32,Profit Margin,11.28%,11.28%,12.70%,12.70%
33,Free Cash Flow Margin,34.29%,34.29%,13.09%,13.09%
34,EBITDA,2.96,2.96,1.59,1.59
35,EBITDA Margin,31.83%,31.83%,16.86%,16.86%
36,D&A For EBITDA,0.33,0.33,0.41,0.41
37,EBIT,2.63,2.63,1.18,1.18
38,EBIT Margin,28.26%,28.26%,12.53%,12.53%
39,Effective Tax Rate,23.86%,23.86%,89.16%,89.16%
