,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,369.2,497.02,944.6,1357,303.1,825.79,796.3,1133,649,542.35,Upgrade
1,Short-Term Investments,1194,1199,1111,669.61,1095,757.97,743.5,1072,1397,1496,Upgrade
2,Trading Asset Securities,5.6,5.2,6,7.58,-,-,-,-,-,-,Upgrade
3,Cash & Short-Term Investments,1569,1701,2062,2034,1398,1584,1540,2205,2046,2038,Upgrade
4,Cash Growth,-23.92%,-16.35%,47.45%,28.43%,-9.20%,-28.17%,-24.72%,8.18%,-2.55%,43.50%,Upgrade
5,Accounts Receivable,875.3,461.89,931.5,335.54,670.7,264.49,228.8,165.28,99.7,118.66,Upgrade
6,Other Receivables,59.9,565.09,42.5,624.18,24.8,346.51,470,500.32,545.5,548.48,Upgrade
7,Receivables,957.2,1041,989.4,973.36,700.1,621.04,703.4,665.73,649.9,667.14,Upgrade
8,Inventory,115.4,109.69,111.3,95.5,109.9,103.42,111.3,95.3,84.5,79,Upgrade
9,Other Current Assets,410.4,447.55,466.2,442.89,422,411.75,391,350.37,254.7,146.96,Upgrade
10,Total Current Assets,3052,3299,3629,3546,2630,2720,2746,3316,3035,2931,Upgrade
11,"Property, Plant & Equipment",7593,7761,7681,7745,7800,7926,7917,7736,7431,7341,Upgrade
12,Long-Term Investments,2625,2574,2699,3016,2827,2762,2848,2846,1912,1875,Upgrade
13,Goodwill,84.1,84.05,84.1,84.05,84.1,84.05,84.1,84.05,84.1,84.05,Upgrade
14,Other Intangible Assets,529.1,529.09,529.1,529.09,465.2,419.73,381.5,364.96,365,364.96,Upgrade
15,Long-Term Deferred Tax Assets,1.3,2.03,2.3,0.73,0.9,0.53,0.4,0.46,0.7,0.48,Upgrade
16,Other Long-Term Assets,9943,9887,9638,8933,6253,6009,5190,4919,4169,4121,Upgrade
17,Total Assets,23865,24187,24262,23904,20090,19946,19196,19302,17026,16717,Upgrade
18,Accounts Payable,158.3,144.81,85.3,121.7,148.6,200.13,181.5,98.48,134.2,135.6,Upgrade
19,Accrued Expenses,4.9,4.92,-,4.92,-,-,5.9,7.15,9.6,12.38,Upgrade
20,Current Portion of Long-Term Debt,1153,1262,1187,1675,799.2,994.03,1299,1398,494,-,Upgrade
21,Current Portion of Leases,2.8,3.59,3.4,4.08,4.2,3.51,2.9,3.62,4,3.91,Upgrade
22,Current Income Taxes Payable,9.3,7.37,16,13.48,6.9,2.66,8.1,9.26,16.3,87.28,Upgrade
23,Other Current Liabilities,1557,1746,1957,1493,1395,1559,1406,1570,1371,1323,Upgrade
24,Total Current Liabilities,2885,3169,3248,3312,2354,2759,2903,3087,2029,1562,Upgrade
25,Long-Term Debt,3412,3378,3821,3293,3322,2139,1819,1684,2831,2707,Upgrade
26,Long-Term Leases,1.7,1.95,2.4,3.23,4,3.31,1.4,1.87,2.4,3.11,Upgrade
27,Long-Term Deferred Tax Liabilities,1020,1010,996.2,999.09,1101,1188,1116,1123,1140,1227,Upgrade
28,Other Long-Term Liabilities,143.1,142.46,148.7,148.45,164.6,177.59,198.5,217.72,229.5,244.33,Upgrade
29,Total Liabilities,7542,7782,8218,7817,6950,6267,6039,6115,6234,5746,Upgrade
30,Common Stock,508.9,494.34,486.9,474.94,474.9,465.47,465.4,457.82,457.8,446.94,Upgrade
31,Additional Paid-In Capital,1609,1492,1425,1319,1319,1212,1212,1100,1101,947.74,Upgrade
32,Retained Earnings,12327,12453,12352,12405,9789,10116,9628,9836,7515,7878,Upgrade
33,Comprehensive Income & Other,1878,1966,1780,1888,1558,1885,1852,1792,1719,1699,Upgrade
34,Total Common Equity,16322,16406,16044,16087,13140,13679,13157,13186,10792,10972,Upgrade
35,Shareholders' Equity,16322,16406,16044,16087,13140,13679,13157,13186,10792,10972,Upgrade
36,Total Liabilities & Equity,23865,24187,24262,23904,20090,19946,19196,19302,17026,16717,Upgrade
37,Total Debt,4569,4645,5014,4975,4130,3139,3122,3088,3331,2714,Upgrade
38,Net Cash (Debt),-3000,-2944,-2952,-2941,-2731,-1556,-1583,-883.11,-1286,-675.35,Upgrade
39,Net Cash Per Share,-6.07,-6.01,-6.21,-6.19,-5.87,-3.34,-3.46,-1.93,-2.88,-1.52,Upgrade
40,Filing Date Shares Outstanding,508.9,494.34,486.9,474.94,474.94,465.47,465.47,457.82,457.8,446.94,Upgrade
41,Total Common Shares Outstanding,508.9,494.34,486.9,474.94,474.94,465.47,465.47,457.82,457.8,446.94,Upgrade
42,Working Capital,167,130.25,380.7,233.92,275.9,-39.5,-157.1,229.31,1006,1369,Upgrade
43,Book Value Per Share,32.07,33.19,32.95,33.87,27.67,29.39,28.27,28.80,23.57,24.55,Upgrade
44,Tangible Book Value,15709,15792,15431,15474,12591,13175,12692,12737,10343,10523,Upgrade
