,Fiscal Quarter,H1 2022,H1 2021,H2 2020,H1 2020,H2 2019,H1 2019,H2 2018,H1 2018,H2 2017,H1 2017
,Period Ending,"Jun '22 Jun 30, 2022","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019","Jun '19 Jun 30, 2019","Dec '18 Dec 31, 2018","Jun '18 Jun 30, 2018","Dec '17 Dec 31, 2017","Jun '17 Jun 30, 2017"
0,Interest Income on Loans,11870387,10140030,9319256,8549899,8435142,7824706,7231540,6624780,5977440,5532339
1,Interest Paid on Deposits,5949809,5909197,5500797,5648187,5338778,4860194,4537067,4303467,3291782,2991154
2,Net Interest Income,5920578,4230833,3818459,2901712,3096364,2964512,2694473,2321313,2685658,2541185
3,Net Interest Income Growth (YoY),55.05%,45.80%,23.32%,-2.12%,14.92%,27.71%,0.33%,-8.65%,11.75%,56.81%
4,Income From Trading Activities,-,-,33650,-,-,4070,-,-,14250,-205
5,Gain (Loss) on Sale of Assets,-,-,9606,-,12035,-,5882,-,8188,-
6,Gain (Loss) on Sale of Investments,346635,1823,200395,-62661,-39962,-13844,45402,-50085,66420,303697
7,Other Non-Interest Income,765067,542008,496926,372724,322932,160213,-24577,-112963,-155799,-360484
8,Total Non-Interest Income,1111702,543831,740577,310063,295005,150439,26707,-163048,-66941,-56992
9,Non-Interest Income Growth (YoY),50.11%,75.39%,151.04%,106.11%,1004.60%,-,-,-,-,-
10,Revenues Before Loan Losses,7032280,4774664,4559036,3211775,3391369,3114951,2721180,2158265,2618717,2484193
11,Provision for Loan Losses,949094,615945,483330,216056,246477,189114,422637,195799,156033,365695
12,Revenue,6083186,4158719,4075706,2995719,3144892,2925837,2298543,1962466,2462684,2118498
13,Revenue Growth (YoY),49.25%,38.82%,29.60%,2.39%,36.82%,49.09%,-6.67%,-7.37%,16.43%,67.58%
14,Salaries and Employee Benefits,1401511,1090724,1311759,927595,1097827,767054,938808,681535,866178,639968
15,Occupancy Expenses,421734,431388,427673,383020,381597,344732,360202,302553,324859,240357
16,Federal Deposit Insurance,89179,80436,74803,71127,66098,60311,62280,47450,37214,30544
17,Amortization of Goodwill & Intangibles,-,-,34911,34532,34911,34342,34911,34342,69139,-
18,"Selling, General & Administrative",523900,429884,741645,527331,931993,212733,254997,232799,262901,261598
19,Other Non-Interest Expense,59091,88917,62652,48099,-289486,390068,52802,45389,44637,35701
20,Total Non-Interest Expense,2494590,2121349,2653443,1991429,2222940,1808965,1704000,1344068,1604928,1208168
21,EBT Excluding Unusual Items,3588596,2037370,1422263,1004290,921952,1116872,594543,618398,857756,910330
22,Pretax Income,3588596,2037370,1422263,1004290,921952,1116872,594543,618398,857756,910330
23,Income Tax Expense,733128,419903,366644,198001,219382,219165,142587,110401,196210,203790
24,Net Income,2855468,1617467,1055619,806289,702570,897707,451956,507997,661546,706540
25,Preferred Dividends & Other Adjustments,-,-,1,209981,-,227841,-,148714,90401,58313
26,Net Income to Common,2855468,1617467,1055618,596308,702570,669866,451956,359283,571145,648227
27,Net Income Growth,170.50%,100.61%,50.25%,-10.18%,55.45%,76.72%,-31.68%,-28.10%,-4.63%,91.40%
28,Basic Shares Outstanding,2181,2128,1924,1924,1933,1830,1550,1510,1361,1361
29,Diluted Shares Outstanding,2181,2128,1924,1924,1933,1830,1550,1510,1361,1361
30,Shares Change (YoY),13.34%,10.59%,-0.48%,5.15%,24.68%,21.20%,13.89%,10.89%,7.01%,7.01%
31,EPS (Basic),1309.51,760.24,548.71,309.96,363.44,366.11,291.51,238.00,419.55,476.17
32,EPS (Diluted),1309.51,760.24,548.71,309.96,363.44,366.11,291.51,238.00,419.55,476.17
33,EPS Growth,138.65%,145.27%,50.97%,-15.34%,24.68%,53.83%,-30.52%,-50.02%,-23.06%,84.45%
