,Fiscal Quarter,H1 2022,H1 2021,H2 2020,H1 2020,H2 2019,H1 2019,H2 2018,H1 2018,H2 2017,H1 2017
,Period Ending,"Jun '22 Jun 30, 2022","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019","Jun '19 Jun 30, 2019","Dec '18 Dec 31, 2018","Jun '18 Jun 30, 2018","Dec '17 Dec 31, 2017","Jun '17 Jun 30, 2017"
0,Cash & Equivalents,20885090,-,17042455,12198496,10476172,12796399,5871877,1299802,11814967,944503
1,Investment Securities,30737516,-,24692603,37947886,25135997,34169393,21263289,43090492,32188641,36023882
2,Trading Asset Securities,237085,-,497101,465975,87900,95454,65547,-,-,-
3,Total Investments,30974601,-,25189704,38413861,25223897,34264847,21328836,43090492,32188641,36023882
4,Gross Loans,227273093,-,177037786,153223545,142923749,131919262,120098058,117469175,102055870,92836719
5,Allowance for Loan Losses,-3865352,-,-2265201,-1823656,-1720593,-1545140,-1487596,-1323094,-1234018,-1175078
6,Net Loans,223407741,-,174772585,151399889,141203156,130374122,118610462,116146081,100821852,91661641
7,"Property, Plant & Equipment",1138576,-,1174490,1046967,1066963,995562,1010778,1038985,1017310,858119
8,Goodwill,-,-,34342,69253,103785,138696,173038,207949,242291,277203
9,Other Intangible Assets,485299,-,473655,464927,468580,466610,476581,479254,456266,453386
10,Accrued Interest Receivable,3876918,-,6042961,5319913,4287030,4081363,3805901,3788916,2935137,3374782
11,Other Receivables,507222,-,245194,143577,219718,334490,237580,566895,479614,502954
12,Restricted Cash,4834479,-,6758980,1880621,6621943,4196907,6255784,6753020,10939956,5751266
13,Other Current Assets,595172,-,821917,615162,364600,282560,324640,477200,225416,589287
14,Other Long-Term Assets,14105697,-,9517644,1940948,11777514,1773728,16741786,1754443,2109632,1597146
15,Total Assets,300919233,-,242342951,213729207,202058040,189954560,175094532,175833221,163433639,142179600
16,Accrued Expenses,1036269,-,561561,682547,479978,407162,323150,184297,24218,48756
17,Interest Bearing Deposits,222279811,-,186182272,164882415,148742834,129981321,137652468,117194599,139315986,86733685
18,Non-Interest Bearing Deposits,667532,-,524163,1092399,1116689,15901799,1425114,31564197,1445608,32729748
19,Total Deposits,222947343,-,186706435,165974814,149859523,145883120,139077582,148758796,140761594,119463433
20,Short-Term Borrowings,74191,-,-,-,-,-,5047285,69439,49120,26687
21,Current Portion of Long-Term Debt,-,-,8616192,11239359,10501551,4928054,418800,2131128,1740738,-
22,Current Income Taxes Payable,358500,-,215900,80000,113382,119000,101346,49040,-,44966
23,Accrued Interest Payable,5245692,-,5086061,4829628,4575779,3769673,4066959,3287441,2297835,1887094
24,Other Current Liabilities,919558,-,328838,3584,247480,7941,291327,444696,-,370640
25,Long-Term Debt,47454203,-,26586068,17504612,23685785,22645972,15552838,11141544,7921803,10494762
26,Long-Term Unearned Revenue,51064,-,-,-,-,-,-,-,-,1121550
27,Other Long-Term Liabilities,3082041,-,-,238555,-,316408,-,3169,1255073,-
28,Total Liabilities,281168861,-,228111225,200553099,189478240,178077330,164893640,166084285,154050381,133457888
29,Common Stock,12385863,-,10746389,9769483,8881441,8881441,7499994,7499994,6460000,6460000
30,Additional Paid-In Capital,57,-,57,57,63331,63331,63331,63331,63331,63331
31,Retained Earnings,7364452,-,3485280,3406568,3635028,1722520,2223311,2185611,2493669,2198381
32,Comprehensive Income & Other,-,-,-,-,-,1209938,414256,-,366258,-
33,Shareholders' Equity,19750372,-,14231726,13176108,12579800,11877230,10200892,9748936,9383258,8721712
34,Total Liabilities & Equity,300919233,-,242342951,213729207,202058040,189954560,175094532,175833221,163433639,142179600
35,Total Debt,47528394,-,35202260,28743971,34187336,27574026,21018923,13342111,9711661,10521449
36,Net Cash (Debt),-26406219,-,-17662704,-16079500,-23623264,-14682173,-15081499,-3863564,2103306,-8403648
37,Net Cash Per Share,-12109.84,-,-9181.01,-8358.00,-12220.44,-8024.48,-9727.47,-2559.33,1545.05,-6173.15
38,Filing Date Shares Outstanding,1980,2128,1924,1924,1749,1749,1477,1477,1272,1272
39,Total Common Shares Outstanding,1980,2128,1924,1924,1749,1749,1477,1477,1272,1272
40,Book Value Per Share,9976.11,-,7397.57,6848.84,7192.70,6790.99,6906.83,6600.82,7376.03,6856.00
41,Tangible Book Value,19265073,-,13723729,12641928,12007435,11271924,9551273,9061733,8684701,7991123
42,Tangible Book Value Per Share,9730.98,-,7133.52,6571.18,6865.44,6444.90,6466.99,6135.53,6826.91,6281.70
