,Fiscal Quarter,Current,H1 2022,H1 2021,H2 2020,H1 2020,H2 2019,H1 2019,H2 2018,H1 2018,H2 2017,H1 2017
,Period Ending,"Mar '25 Mar 11, 2025","Jun '22 Jun 30, 2022","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019","Jun '19 Jun 30, 2019","Dec '18 Dec 31, 2018","Jun '18 Jun 30, 2018","Dec '17 Dec 31, 2017","Jun '17 Jun 30, 2017"
0,Market Capitalization,105451058,19621797,32185435,13325523,-,-,-,-,-,-,-
1,Market Cap Growth,248.13%,47.25%,-,-,-,-,-,-,-,-,-
2,Last Close Price,35300.00,7277.05,13483.50,5582.49,-,-,-,-,-,-,-
3,PE Ratio,9.04,4.39,12.04,8.07,-,-,-,-,-,-,-
4,PS Ratio,4.91,1.92,3.91,1.88,-,-,-,-,-,-,-
5,PB Ratio,2.08,0.99,-,0.94,-,-,-,-,-,-,-
6,Debt / Equity Ratio,0.87,2.41,-,2.47,2.18,2.72,2.32,2.06,1.37,1.03,1.21
7,Earnings Yield,9.22%,22.80%,8.31%,13.97%,-,-,-,-,-,-,-
8,FCF Yield,-56.57%,-116.04%,-59.03%,-211.13%,-,-,-,-,-,-,-
9,Buyback Yield / Dilution,-28.54%,-13.34%,-10.59%,0.48%,-5.15%,-24.68%,-21.20%,-13.89%,-10.89%,-7.01%,-7.01%
10,Total Shareholder Return,-28.54%,-13.34%,-10.59%,0.48%,-5.15%,-24.68%,-21.20%,-13.89%,-10.89%,-7.01%,-7.01%
