,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Cash & Equivalents,1121,1035,1035,1367,1141,998.41,805.54,391.9,413.98,269.16,-,224.74
1,Short-Term Investments,-,100,100,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,101.13,100,100,-,-,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,1223,1235,1235,1367,1141,998.41,805.54,391.9,413.98,269.16,224.74,224.74
4,Cash Growth,7.15%,23.74%,53.37%,248.71%,175.62%,270.93%,258.43%,74.38%,-,-,-,-
5,Accounts Receivable,1208,1330,1330,1408,1416,1301,1453,1279,1151,969.92,-,837.3
6,Other Receivables,18.21,16.67,16.67,39.81,13.79,31.73,13.58,14.23,10.47,14.3,-,12.8
7,Receivables,1226,1346,1346,1448,1430,1337,1467,1294,1162,984.22,-,850.11
8,Inventory,1078,952.81,952.81,645.44,677.69,583.32,597.2,544.46,526.02,515.97,-,490.15
9,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,-,0.6
10,Other Current Assets,840.34,578.74,578.74,451.17,426.92,328.34,323.63,292.55,323.09,208.24,-,153.78
11,Total Current Assets,4367,4113,4113,3911,3675,3247,3193,2522,2425,1978,-,1719
12,"Property, Plant & Equipment",438.93,381.58,381.58,295.19,239.63,224.83,225.55,225.4,206.41,185.82,-,143.4
13,Long-Term Investments,5.8,5.16,5.16,4.13,4.48,4.28,4.13,3.91,3.88,4.17,-,4.7
14,Other Intangible Assets,94.64,95.3,95.3,96.38,96.7,66.85,67.59,68.12,65.9,66.42,-,67.47
15,Long-Term Accounts Receivable,-,10.04,10.04,10.04,10.04,17.54,-,25.09,-,-,-,40.15
16,Long-Term Deferred Tax Assets,51.18,44.26,44.26,44.58,36.96,34.75,26.95,27.17,25.79,22.02,-,21.48
17,Long-Term Deferred Charges,-,-,-,-,0.14,-,-,5.1,-,-,-,4.36
18,Other Long-Term Assets,16.57,45.3,45.3,35.73,33.59,34.49,55.81,31.03,61.63,75.25,-,27.71
19,Total Assets,4974,4695,4695,4397,4097,3629,3573,2908,2789,2331,-,2029
20,Accounts Payable,1473,1215,1215,1233,1325,1103,1038,1178,1058,885.02,-,668.07
21,Accrued Expenses,39.73,60.38,60.38,78.12,35.98,64.54,15.12,69.1,23.04,25.6,-,74.82
22,Short-Term Debt,20.02,52.71,52.71,43.04,66.18,73.06,87.1,156.18,156.17,160.16,-,92.12
23,Current Portion of Long-Term Debt,20.02,20.03,20.03,20.02,-,0.02,0.44,0.02,-,-,-,-
24,Current Portion of Leases,-,0.25,0.25,0.46,0.42,0.42,-,0.39,0.37,0.37,-,-
25,Current Income Taxes Payable,31.83,7.67,7.67,23.79,20.3,12.72,4.14,1.44,13.52,0.56,-,7.99
