,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Market Capitalization,4038,3310,3474,3128,3603,4360,4712,3986,-,-,-,-,-
1,Market Cap Growth,-24.07%,-24.07%,-26.28%,-21.52%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2856,2208,2385,2054,2529,3455,4014,3729,-,-,-,-,-
3,Last Close Price,25.24,20.69,21.71,19.27,22.19,26.85,29.02,24.43,-,-,-,-,-
4,PE Ratio,15.77,12.96,17.32,15.03,18.85,25.16,26.00,26.03,-,-,-,-,-
5,Forward PE,-,9.90,9.90,8.15,-,-,-,-,-,-,-,-,-
6,PS Ratio,1.75,1.43,1.64,1.38,1.67,2.06,2.30,2.07,-,-,-,-,-
7,PB Ratio,2.52,2.07,2.32,2.09,2.48,3.10,3.48,3.02,-,-,-,-,-
8,P/TBV Ratio,2.20,2.20,2.47,2.23,2.65,3.33,3.66,3.19,-,-,-,-,-
9,P/FCF Ratio,12.48,10.23,-,-,8.94,170.06,63.48,-,-,-,-,-,-
10,P/OCF Ratio,7.10,7.10,-,-,7.01,41.48,37.48,-,-,-,-,-,-
11,EV/Sales Ratio,1.24,0.96,1.13,0.90,1.17,1.63,1.96,1.94,-,-,-,-,-
12,EV/EBITDA Ratio,11.61,9.07,12.59,9.98,-,15.43,20.06,22.94,-,-,-,-,-
13,EV/EBIT Ratio,13.29,10.27,14.66,11.42,-,17.22,22.69,26.63,-,-,-,-,-
14,EV/FCF Ratio,8.82,6.82,-,-,6.27,134.77,54.08,-,-,-,-,-,-
15,Debt / Equity Ratio,0.02,0.02,0.09,0.09,0.04,0.05,0.07,0.08,0.28,0.26,0.30,0.18,0.18
16,Debt / EBITDA Ratio,0.16,0.07,0.59,0.59,-,0.18,0.32,0.62,2.92,0.57,1.16,0.62,0.27
17,Debt / FCF Ratio,0.12,0.12,-,-,0.16,2.60,1.26,-,-,-15.90,-,-,-
18,Asset Turnover,0.62,0.39,0.40,0.62,0.57,0.68,0.42,0.86,0.76,-,-,-,
19,Inventory Turnover,2.05,2.12,1.50,1.79,3.33,2.65,3.23,1.87,3.68,2.80,-,-,-
20,Quick Ratio,0.73,0.73,0.83,0.83,0.97,0.96,1.05,1.03,0.75,0.72,0.70,-,0.71
21,Current Ratio,1.31,1.31,1.32,1.32,1.34,1.38,1.46,1.44,1.12,1.11,1.11,-,1.13
22,Return on Equity (ROE),26.60%,13.94%,14.15%,13.39%,13.98%,17.90%,14.53%,19.73%,39.78%,24.51%,19.28%,-,
23,Return on Assets (ROA),7.21%,2.58%,2.67%,-1.27%,5.65%,4.56%,2.95%,0.83%,6.21%,-,-,-,
24,Return on Capital (ROIC),21.31%,7.43%,7.70%,-3.61%,14.94%,11.42%,8.60%,3.05%,21.95%,11.16%,13.38%,-,
25,Return on Capital Employed (ROCE),13.15%,13.15%,10.24%,11.32%,-,14.04%,12.59%,10.29%,20.08%,33.59%,25.34%,-,15.31%
26,Earnings Yield,6.32%,7.72%,5.77%,6.65%,5.30%,3.97%,3.85%,3.84%,-,-,-,-,-
27,FCF Yield,8.01%,9.78%,5.10%,16.07%,11.19%,0.59%,1.58%,-4.83%,-,-,-,-,-
28,Dividend Yield,1.47%,-,-,-,1.67%,-,-,-,-,-,-,-,-
29,Payout Ratio,23.92%,0.37%,57.57%,57.57%,1.18%,1.46%,39.14%,4.50%,3.34%,1.69%,4.38%,82.60%,1.43%
30,Buyback Yield / Dilution,-8.70%,1.90%,-0.57%,-9.44%,-32.80%,-35.47%,-30.73%,-22.09%,-0.22%,-,-,-,-
31,Total Shareholder Return,-7.23%,1.90%,-0.57%,-9.44%,-31.14%,-35.47%,-30.73%,-22.09%,-0.22%,-,-,-,-
