,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Operating Revenue,754.14,450.06,450.06,644.4,560.37,601.68,339.54,601.21,488.87,483.68,298.99,548.02
1,Other Revenue,-9.98,4.99,4.99,9.79,-6.64,6.64,-,13.26,-3.92,3.92,-,5.27
2,Revenue,744.16,455.05,455.05,654.19,553.73,608.33,339.54,614.46,484.95,487.6,298.99,553.3
3,Revenue Growth (YoY),34.39%,-25.20%,34.02%,6.46%,14.18%,24.76%,13.56%,11.06%,-,-,-,-
4,Cost of Revenue,538.01,356.9,356.9,551.57,417.97,476.67,266.76,492.83,364.96,406.96,245.18,422.06
5,Gross Profit,206.14,98.15,98.15,102.62,135.77,131.65,72.78,121.63,119.99,80.64,53.81,131.24
6,"Selling, General & Admin",23.53,21.59,21.59,24.74,19.77,21.55,22.25,32.2,14.17,11.38,17.19,15.62
7,Research & Development,23.72,20.67,20.67,29.51,27.41,26.7,14.44,30.74,23.04,23.26,13.13,15.63
8,Other Operating Expenses,-11.6,2.69,2.69,7.38,-4.15,1.93,1.41,7.31,2.03,-2.7,0.67,1.91
9,Operating Expenses,66.62,49.65,49.65,124.2,48.49,66,34.48,112.19,56.46,51.89,22.16,52.95
10,Operating Income,139.52,48.49,48.49,-21.58,87.27,65.66,38.3,9.45,63.54,28.75,31.65,78.29
11,Interest Expense,-0.36,-0.48,-0.48,-0.46,-0.79,-0.94,-1.55,-1.05,-1.01,-0.96,-1.15,-1.06
