,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Cash & Equivalents,51.8,82,129.89,69.55,93.59,109.59,168.87,239.33,254.15,77.94,Upgrade
1,Short-Term Investments,-,-,-,-,-,-,-,-,200,200,Upgrade
2,Trading Asset Securities,0.15,1.18,8.83,8.8,9.21,10.38,6.6,1.89,-,6.11,Upgrade
3,Cash & Short-Term Investments,51.95,83.18,138.72,78.35,102.8,119.97,175.46,241.22,454.15,284.05,Upgrade
4,Cash Growth,-62.55%,6.16%,34.95%,-34.69%,-41.41%,-50.27%,-61.36%,-15.08%,45.22%,293.83%,Upgrade
5,Accounts Receivable,6.55,5.97,4.95,7.13,30.34,74.33,7.03,3.83,-,0.33,Upgrade
6,Other Receivables,34.88,35.19,33.03,28.21,29.12,34.16,-,2.29,5.16,-,Upgrade
7,Receivables,41.43,41.16,37.98,35.34,71.63,111.44,10.13,6.12,5.16,0.33,Upgrade
8,Inventory,-,-,7.48,4.46,7.96,22.17,36.85,86.68,36.23,31.26,Upgrade
9,Prepaid Expenses,29.47,29.93,29.8,28.47,37.16,38.89,6.68,1.25,-,7.7,Upgrade
10,Restricted Cash,3.62,3.53,3.21,3.18,2.85,39.15,-,-,-,-,Upgrade
11,Other Current Assets,0.97,13.51,0.84,0.83,1.54,7.17,18.12,7.79,2.36,28.24,Upgrade
12,Total Current Assets,127.44,171.31,218.03,150.62,223.95,338.79,247.23,343.06,497.91,351.57,Upgrade
13,"Property, Plant & Equipment",510.17,507.72,653.53,717.58,971.49,1105,125.53,48.27,49.46,43.2,Upgrade
14,Long-Term Investments,205.04,232.24,500.77,160.95,90.24,131.44,343.65,397.7,168.6,152.44,Upgrade
15,Goodwill,-,-,-,-,5.1,5.69,-,-,-,-,Upgrade
16,Total Assets,842.65,911.26,1372,1029,1291,1600,738.26,789.04,715.97,547.21,Upgrade
17,Accounts Payable,-,-,5.33,0.77,31.02,67.22,-,-,-,-,Upgrade
18,Accrued Expenses,16.49,34.07,27.19,23.39,11.67,14.12,-,1.02,-,-,Upgrade
19,Current Portion of Long-Term Debt,115.85,139.97,140.64,146.28,141.38,42.38,52.38,-,-,-,Upgrade
20,Current Portion of Leases,277.64,271.09,379.01,403.48,391.39,6.26,5.1,5.34,5.61,4.42,Upgrade
21,Current Unearned Revenue,1.43,2.85,1.28,1.52,1.5,5.57,-,57.69,-,2.52,Upgrade
22,Other Current Liabilities,77.4,76.34,110.13,111.27,119.16,175.87,17.25,8.33,8.02,10.07,Upgrade
