,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,780,320,757,-,-,-
1,Enterprise Value,718,161,572,-,-,-
2,Last Close Price,1.00,0.41,0.97,-,-,-
3,PE Ratio,12.29,5.50,25.11,-,-,-
4,PS Ratio,0.24,0.11,0.34,-,-,-
5,PB Ratio,1.05,0.43,1.05,-,-,-
6,P/TBV Ratio,0.55,0.55,1.35,-,-,-
7,EV/Sales Ratio,0.24,0.05,0.25,-,-,-
8,EV/EBITDA Ratio,6.58,1.65,11.30,-,-,-
9,EV/EBIT Ratio,7.78,1.74,12.53,-,-,-
10,Debt / Equity Ratio,0.77,0.77,0.41,0.12,0.04,-
11,Debt / FCF Ratio,-,-,-,-,2.31,-
12,Return on Capital Employed (ROCE),12.39%,12.39%,6.29%,5.24%,6.21%,-
13,Earnings Yield,7.45%,18.18%,3.98%,-,-,-
14,FCF Yield,-44.34%,-108.14%,-26.21%,-,-,-
15,Buyback Yield / Dilution,33.45%,-26.18%,19.68%,-948.72%,-,-
16,Total Shareholder Return,33.45%,-26.18%,19.68%,-948.72%,-,-
