,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Revenue,1428,1372,673.91,642.24,609.74
1,Revenue Growth (YoY),111.89%,113.62%,10.52%,-,-
2,Cost of Revenue,1323,1269,619.46,586.59,560.73
3,Gross Profit,104.8,102.51,54.46,55.66,49.01
4,"Selling, General & Admin",40.36,66.3,40.72,40.33,32.91
5,Operating Expenses,47.86,73.54,42.01,39.71,32.91
6,Operating Income,56.94,28.97,12.45,15.94,16.1
7,Interest Expense,-7.74,-3.19,-1.29,-0.45,-0.46
8,Interest & Investment Income,2.8,1.7,2.22,0.55,1.15
9,Currency Exchange Gain (Loss),-17.65,-5.9,-0.43,-0.14,-1.3
10,Other Non Operating Income (Expenses),5.18,2.27,1.16,1.02,1.14
11,EBT Excluding Unusual Items,39.53,23.85,14.11,16.94,16.62
12,Gain (Loss) on Sale of Investments,0.52,-,-0.01,1.28,1.36
13,Gain (Loss) on Sale of Assets,-0.01,-0.03,-0.06,0.04,-0.33
14,Other Unusual Items,0,-0.08,-,-,-
15,Pretax Income,40.04,23.74,14.05,18.25,17.65
16,Income Tax Expense,1.98,7.71,3.13,6.2,3.9
17,Earnings From Continuing Operations,38.06,16.03,10.92,12.05,13.75
18,Minority Interest in Earnings,0.03,-0.03,0.43,0.01,-0.05
19,Net Income,38.09,16.01,11.34,12.06,13.71
20,Net Income to Common,38.09,16.01,11.34,12.06,13.71
21,Net Income Growth,235.86%,32.72%,-17.24%,-,-
22,Shares Outstanding (Basic),780,1228,618,1529,59
23,Shares Outstanding (Diluted),780,1228,618,1529,59
24,Shares Change (YoY),26.18%,-19.68%,948.72%,-,-
25,EPS (Basic),0.05,0.01,0.02,0.01,0.23
26,EPS (Diluted),0.05,0.01,0.02,0.01,0.23
27,EPS Growth,166.19%,65.23%,-92.11%,-,-
28,Free Cash Flow,-201.87,-119.98,-60.06,18.35,-9.68
29,Free Cash Flow Per Share,-0.26,-0.10,-0.10,0.01,-0.16
30,Operating Margin,3.99%,2.11%,1.85%,2.48%,2.64%
31,Profit Margin,2.67%,1.17%,1.68%,1.88%,2.25%
32,Free Cash Flow Margin,-14.14%,-8.74%,-8.91%,2.86%,-1.59%
33,EBITDA,59.47,31.34,14.58,18.11,18.54
34,D&A For EBITDA,2.53,2.37,2.13,2.17,2.44
35,EBIT,56.94,28.97,12.45,15.94,16.1
