,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Cash & Equivalents,398.69,409.05,231.45,239.5,-
1,Short-Term Investments,130.19,4.62,4.7,-,-
2,Trading Asset Securities,58.29,-,-,0.04,-
3,Cash & Short-Term Investments,587.17,413.67,236.15,239.53,-
4,Cash Growth,148.64%,72.70%,-,-,-
5,Accounts Receivable,620.46,488.12,200.82,103.96,-
6,Other Receivables,-,4.81,3.29,3.13,-
7,Receivables,620.46,492.93,204.11,107.08,-
8,Other Current Assets,-,110.74,88.67,80.29,-
9,Total Current Assets,1208,1017,528.93,426.9,-
10,"Property, Plant & Equipment",34.45,40.84,33.79,38.41,-
11,Goodwill,144.68,144.68,144.68,144.68,-
12,Long-Term Deferred Tax Assets,5.37,4.26,4.01,4.29,-
13,Total Assets,1392,1207,711.41,614.28,-
14,Accounts Payable,121.12,232.52,64.05,30.46,-
15,Accrued Expenses,44.34,31.6,19.55,22.22,-
16,Short-Term Debt,519.68,252.2,54.4,4.47,-
17,Current Portion of Leases,6.94,10.39,7.41,8.08,-
18,Current Income Taxes Payable,1.38,3.93,2.56,7.89,-
19,Current Unearned Revenue,5.43,7.28,11.95,13.27,-
20,Other Current Liabilities,-,10.59,9.69,11.54,-
21,Total Current Liabilities,698.89,548.49,169.61,97.92,-
22,Long-Term Leases,3.02,6.95,3.49,7.52,-
23,Long-Term Deferred Tax Liabilities,0.02,0.03,0.04,0.04,-
24,Total Liabilities,701.93,555.47,173.13,105.48,-
25,Common Stock,7.08,7.08,0.4,45.28,-
26,Additional Paid-In Capital,95.22,95.22,-,-,-
27,Retained Earnings,278.98,240.89,-,213.54,-
28,Comprehensive Income & Other,309.31,308.81,538.26,249.94,-
29,Total Common Equity,690.58,652,538.66,508.76,-
30,Minority Interest,-0.39,-0.35,-0.38,0.05,-
31,Shareholders' Equity,690.2,651.64,538.28,508.81,-
32,Total Liabilities & Equity,1392,1207,711.41,614.28,-
33,Total Debt,529.64,269.53,65.3,20.07,-
34,Net Cash (Debt),57.53,144.13,170.85,219.46,-
35,Net Cash Growth,-66.33%,-34.32%,-,-,-
36,Net Cash Per Share,0.07,0.12,0.28,0.14,-
37,Filing Date Shares Outstanding,780,780,40.95,-,58.95
38,Total Common Shares Outstanding,780,780,40.95,-,58.95
39,Working Capital,508.75,468.84,359.33,328.98,-
40,Book Value Per Share,0.89,0.84,13.15,-,-
41,Tangible Book Value,545.9,507.32,393.98,364.08,-
42,Tangible Book Value Per Share,0.70,0.65,9.62,-,-
43,Buildings,-,15.82,15.82,15.82,-
44,Machinery,-,26.24,23.7,23.57,-
45,Leasehold Improvements,-,7.08,6.44,6.37,-
