,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,1323483,1362794,1158375,1145271,1032579,984095,914645,906782,902851,838643,929059,951335,1071890,969681,936921,877954,1006371,864850,754778,702363,606706,Upgrade
1,Market Cap Growth,38.48%,38.48%,26.65%,26.30%,14.37%,17.34%,-1.55%,-4.68%,-15.77%,-13.51%,-0.84%,8.36%,6.51%,12.12%,24.13%,25.00%,65.87%,-2.65%,-11.38%,-22.32%,-35.34%,Upgrade
2,Enterprise Value,1936490,1762570,1499427,1592473,1315271,1336207,1253180,1197724,1152813,968590,1113656,1049042,1121673,972981,914895,817250,973336,835819,729895,906043,722615,Upgrade
3,Last Close Price,50500.00,50552.88,42969.94,42483.86,36388.35,33369.44,31014.47,30747.87,28918.47,25742.62,28518.00,29201.78,30771.31,27837.12,26215.75,24565.81,26636.91,22891.09,19372.30,16757.49,14475.22,Upgrade
4,PE Ratio,9.79,9.88,7.71,8.09,7.44,7.83,7.30,6.99,7.01,6.67,7.23,7.63,8.24,7.57,8.14,7.37,8.89,7.49,6.07,5.74,4.98,Upgrade
5,Forward PE,-,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,Upgrade
6,PS Ratio,0.36,0.37,0.32,0.33,0.32,0.33,0.34,0.36,0.37,0.36,0.41,0.43,0.49,0.45,0.46,0.43,0.51,0.46,0.39,0.37,0.32,Upgrade
7,PB Ratio,1.45,1.50,1.31,1.37,1.17,1.12,1.10,1.14,1.09,1.00,1.17,1.27,1.34,1.24,1.23,1.21,1.33,1.18,1.04,1.03,0.84,Upgrade
8,P/TBV Ratio,1.50,1.50,1.32,1.37,1.18,1.13,1.11,1.15,1.09,1.00,1.18,1.28,1.35,1.25,1.24,1.22,1.34,1.19,1.05,1.04,0.85,Upgrade
9,P/FCF Ratio,-,-,-,10.61,-,16.79,-,-14.54,-,-,-26.44,-,-,-,-,7.50,3.01,3.81,2.97,1.68,-,Upgrade
10,P/OCF Ratio,-,-,-,6.09,-,9.80,-,-40.77,-,-,127.37,-12.19,-,-,-,7.33,2.99,3.80,2.96,1.67,-,Upgrade
11,EV/Sales Ratio,0.52,0.48,0.42,0.45,0.41,0.45,0.46,0.47,0.48,0.42,0.49,0.48,0.51,0.45,0.45,0.40,0.50,0.44,0.38,0.48,0.38,Upgrade
12,EV/EBITDA Ratio,6.83,6.21,5.28,5.84,5.03,5.60,5.23,4.87,4.70,4.04,4.64,4.62,4.92,4.37,4.37,3.77,4.59,3.75,3.06,3.76,2.93,Upgrade
13,EV/EBIT Ratio,7.78,7.08,5.88,6.32,5.44,6.09,5.72,5.45,5.39,4.72,5.46,5.43,5.72,5.11,5.19,4.46,5.46,4.49,3.75,4.64,3.66,Upgrade
14,EV/FCF Ratio,-8.80,-,-,14.75,-,22.80,-,-19.20,-,-,-31.69,-,-,-,-,6.98,2.91,3.68,2.88,2.16,-,Upgrade
15,Debt / Equity Ratio,0.71,0.71,0.48,0.45,0.53,0.35,0.45,0.45,0.37,0.33,0.22,0.27,0.16,0.14,0.12,0.03,0.02,0.03,0.02,0.08,0.34,Upgrade
16,Debt / EBITDA Ratio,2.27,2.30,1.40,1.44,1.62,1.10,1.47,1.62,1.54,0.96,0.63,0.93,0.75,0.39,0.40,0.10,0.08,0.10,0.07,0.27,1.25,Upgrade
17,Debt / FCF Ratio,-,-,-,3.53,-,5.30,-,-5.70,-,-,-5.03,-,-,-,-,0.19,0.04,0.10,0.07,0.13,-,Upgrade
18,Asset Turnover,1.95,1.84,2.05,2.17,2.26,1.97,1.72,1.79,1.91,1.77,1.77,1.91,2.25,1.94,2.20,2.07,2.06,2.20,1.79,1.59,Upgrade,
19,Inventory Turnover,2.64,2.41,2.44,2.81,2.82,2.84,2.47,2.09,2.16,2.19,2.12,2.20,2.45,2.80,2.56,2.94,2.82,2.70,2.98,2.55,2.31,Upgrade
20,Quick Ratio,0.36,0.36,0.34,0.47,0.49,0.49,0.50,0.44,0.53,0.52,0.53,0.55,0.76,0.93,0.93,1.04,1.18,1.27,1.06,0.90,0.85,Upgrade
21,Current Ratio,1.80,1.80,1.65,1.73,1.82,2.10,2.06,2.00,2.18,2.47,2.34,2.37,2.95,3.66,3.13,3.57,3.91,4.65,3.72,3.09,2.51,Upgrade
22,Return on Equity (ROE),12.16%,21.14%,16.21%,19.50%,20.61%,18.07%,15.37%,13.58%,21.42%,21.32%,15.85%,12.65%,23.87%,20.06%,19.34%,12.53%,17.79%,23.40%,17.22%,14.31%,Upgrade,
23,Return on Assets (ROA),7.41%,8.07%,8.40%,9.97%,10.35%,9.40%,8.21%,7.74%,11.93%,11.50%,9.06%,8.01%,14.84%,11.78%,11.95%,8.00%,13.35%,14.54%,10.05%,8.90%,Upgrade,
24,Return on Capital (ROIC),10.35%,12.28%,11.79%,13.27%,13.65%,12.54%,10.97%,9.93%,15.62%,15.55%,11.76%,9.88%,18.33%,15.32%,15.58%,10.00%,16.70%,18.89%,12.33%,10.54%,Upgrade,
25,Return on Capital Employed (ROCE),26.74%,26.74%,28.84%,30.10%,27.49%,25.03%,26.32%,27.62%,25.72%,24.36%,25.77%,25.74%,24.52%,24.37%,23.17%,25.32%,23.62%,25.44%,26.87%,28.60%,27.50%,Upgrade
26,Earnings Yield,10.22%,11.02%,14.41%,13.82%,14.99%,14.26%,15.32%,15.93%,15.93%,16.75%,15.36%,14.60%,13.43%,14.66%,13.72%,15.09%,12.61%,14.91%,18.31%,19.40%,22.23%,Upgrade
27,FCF Yield,-16.63%,-16.15%,5.41%,9.43%,-5.71%,5.95%,-14.30%,-6.88%,-9.81%,-16.08%,-3.78%,-12.48%,-8.06%,-1.93%,3.39%,13.34%,33.28%,26.28%,33.63%,59.62%,36.62%,Upgrade
