,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,32039,21242,39825,20662,27685,23090,17286,12957,24019,46949,18543,33181,61972,87266,44797,72726,55820,46457,79131,41195,Upgrade
1,Cash & Short-Term Investments,32039,21242,39825,20662,27685,23090,17286,12957,24019,46949,18543,33181,61972,87266,44797,72726,55820,46457,79131,41195,Upgrade
2,Cash Growth,15.73%,-8.00%,130.39%,59.47%,15.26%,-50.82%,-6.78%,-60.95%,-61.24%,-46.20%,-58.61%,-54.37%,11.02%,87.84%,-43.39%,76.54%,37.44%,88.74%,107.66%,48.00%,Upgrade
3,Accounts Receivable,338550,377302,412978,435511,311890,354039,313563,344820,257308,247141,257703,262158,192709,224731,223952,203623,172510,201473,174553,303361,Upgrade
4,Other Receivables,-,-,-,2.52,2.52,2.52,2.52,2.52,2.52,-,-,-,2006,-,33,-,-,756.26,305.06,305.06,Upgrade
5,Receivables,338550,377302,412978,435514,311893,354041,313566,344823,257310,247141,257703,262158,194715,224731,223985,203623,172510,202229,174858,303666,Upgrade
6,Inventory,1391722,1441278,1166976,1195587,1094837,1124490,1136640,1084276,1026571,967893,901741,810944,742317,714446,643994,633183,599567,609798,602439,663532,Upgrade
7,Prepaid Expenses,12579,8063,8850,3987,7346,4658,7907,9347,11986,12780,4607,4730,7511,10144,6418,6450,10252,9412,8143,3583,Upgrade
8,Other Current Assets,66392,65288,28513,30839,11028,53275,43479,9559,21102,17500,10876,42751,8102,9601,2287,2108,866.76,1435,1355,2122,Upgrade
9,Total Current Assets,1841282,1913174,1657143,1686591,1452789,1559554,1518878,1460961,1340989,1292263,1193470,1153763,1014617,1046188,921480,918090,839016,869331,865925,1014098,Upgrade
10,"Property, Plant & Equipment",106981,115779,127788,105575,107892,23571,27403,30279,33513,38575,46920,20739,27651,32670,40474,47784,54292,61975,70455,79434,Upgrade
11,Long-Term Investments,3229,6000,6000,6000,-,-,-,-,-,-,-,-,-,-,2131,3664,8844,13400,13400,13400,Upgrade
12,Other Intangible Assets,3623,3843,4062,4282,4518,4221,3852,3989,4163,4336,4510,4688,4458,4594,4772,4682,4844,5013,5195,5268,Upgrade
13,Other Long-Term Assets,160.38,1603,1635,1560,1593,2717,3841,4974,6448,8037,9563,11039,11917,11955,13493,15018,4624,8468,8999,9429,Upgrade
14,Total Assets,1955276,2040399,1796628,1804008,1566793,1590063,1553973,1500204,1385113,1343212,1254463,1190229,1058642,1095407,982350,989238,911620,958187,963973,1121630,Upgrade
15,Accounts Payable,323457,580313,390057,332219,324172,289523,273406,279239,207098,285714,190803,189565,111294,149242,129248,154926,117208,140669,109394,115091,Upgrade
16,Accrued Expenses,42006,53538,65626,44722,44525,51153,62260,45217,52243,48893,62442,40922,43155,42468,44323,28568,31059,48194,43845,28264,Upgrade
17,Short-Term Debt,645046,421018,380877,467864,310377,375202,355821,303899,273980,176897,203141,130888,111754,90566,22771,12022,22785,17426,54247,244874,Upgrade
18,Current Income Taxes Payable,9317,11361,9595,10693,11616,16996,14906,7097,9305,10268,7674,6243,9921,9306,8932,5811,8383,10296,7541,6312,Upgrade
19,Other Current Liabilities,4869,89853,112854,68949,-,25078,52216,33529,340.3,29781,39819,23144,1243,42346,52820,33523,1040,17107,65636,8877,Upgrade
20,Total Current Liabilities,1024695,1156083,959009,924446,690690,757953,758610,668980,542966,551554,503879,390761,277367,333927,258095,234850,180476,233691,280662,403418,Upgrade
21,Other Long-Term Liabilities,20777,1757,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,-,-,-,Upgrade
22,Total Liabilities,1045472,1157840,959515,924952,691196,758459,759116,669486,543472,552060,504385,391267,277873,334433,258601,235356,180982,233691,280662,403418,Upgrade
23,Common Stock,262076,262076,262076,262076,262076,262076,262076,262076,262076,262076,262076,262076,262076,262076,262076,262076,262076,262076,262076,262076,Upgrade
24,Additional Paid-In Capital,64847,64847,64847,64847,64847,64847,64847,64847,64847,64847,64847,64847,64847,64847,64847,64847,64847,64847,64847,64847,Upgrade
25,Retained Earnings,582880,555635,510190,552133,548674,504681,467934,503794,514717,464228,423155,472039,453846,434051,396827,426958,403715,397573,356388,391288,Upgrade
26,Shareholders' Equity,909804,882558,837114,879056,875597,831605,794857,830718,841641,791151,750078,798962,780770,760974,723750,753882,730638,724496,683311,718211,Upgrade
27,Total Liabilities & Equity,1955276,2040399,1796628,1804008,1566793,1590063,1553973,1500204,1385113,1343212,1254463,1190229,1058642,1095407,982350,989238,911620,958187,963973,1121630,Upgrade
28,Total Debt,645046,421018,380877,467864,310377,375202,355821,303899,273980,176897,203141,130888,111754,90566,22771,12022,22785,17426,54247,244874,Upgrade
29,Net Cash (Debt),-613007,-399776,-341052,-447202,-282692,-352112,-338535,-290942,-249961,-129948,-184598,-97707,-49783,-3300,22026,60704,33035,29031,24884,-203680,Upgrade
30,Net Cash Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-11.49%,-,-,-,-,-,Upgrade
31,Net Cash Per Share,-21059.53,-13732.07,-13009.90,-19197.00,-9709.54,-12025.29,-12893.15,-12603.19,-8583.55,-4442.00,-7034.13,-4225.11,-1709.57,-112.87,840.52,2619.14,1146.79,993.20,948.48,-8795.35,Upgrade
32,Filing Date Shares Outstanding,26.21,26.21,26.21,26.21,26.21,26.21,26.21,26.21,26.21,26.21,26.21,26.21,26.21,26.21,26.21,26.21,26.21,26.21,26.21,26.21,Upgrade
33,Total Common Shares Outstanding,26.21,26.21,26.21,26.21,26.21,26.21,26.21,26.21,26.21,26.21,26.21,26.21,26.21,26.21,26.21,26.21,26.21,26.21,26.21,26.21,Upgrade
34,Working Capital,816587,757091,698134,762145,762099,801602,760268,791981,798022,740709,689592,763002,737250,712260,663386,683240,658540,635640,585263,610680,Upgrade
35,Book Value Per Share,34715.28,33675.69,31941.66,33542.05,33410.08,31731.45,30329.28,31697.61,32114.39,30187.88,28620.65,30485.90,29791.75,29036.40,27616.05,28765.78,27878.89,27644.52,26073.04,27404.71,Upgrade
36,Tangible Book Value,906181,878716,833051,874774,871079,827384,791005,826728,837478,786815,745568,794274,776312,756380,718978,749200,725795,719483,678117,712943,Upgrade
37,Tangible Book Value Per Share,34577.04,33529.06,31786.65,33378.66,33237.67,31570.39,30182.31,31545.39,31955.55,30022.41,28448.57,30307.02,29621.66,28861.10,27433.97,28587.13,27694.07,27453.25,25874.82,27203.71,Upgrade
38,Buildings,33308,32589,32589,32589,32589,32589,32589,32589,32589,31768,31768,31768,31860,31040,31040,31040,31040,31040,31040,31040,Upgrade
39,Machinery,828047,831665,830849,712882,714266,712043,712464,711285,709998,709901,707863,671052,670792,669157,669157,669039,667746,667746,667746,667746,Upgrade
40,Construction In Progress,105.19,-,-,90059,87548,613.74,613.74,10.79,10.79,-,-,699.07,254.75,254.75,0.6,174,186.95,12.95,-,-,Upgrade
