,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021"
0,Revenue,265.31,302.33,282.84,278.94,262.71,203.01,253.42
1,Revenue Growth (YoY),-6.20%,8.39%,7.66%,37.40%,3.67%,-,-
2,Cost of Revenue,262.43,289.78,253.55,245.39,230.74,175.94,222.8
3,Gross Profit,2.88,12.56,29.29,33.55,31.97,27.07,30.62
4,"Selling, General & Admin",10.66,10.83,9.91,13.98,6.63,6.11,5.49
5,Other Operating Expenses,-,-0.01,-0.09,-0.17,-0.28,-0.21,-0.38
6,Operating Expenses,10.85,11.02,10.24,14.03,6.56,5.67,5.47
7,Operating Income,-7.96,1.54,19.05,19.52,25.41,21.41,25.15
8,Interest Expense,-0.08,-0.05,-0.07,-0.33,-0.21,-0.04,-0.1
9,Interest & Investment Income,0.87,1.48,0.81,1.01,-,-,0
10,Other Non Operating Income (Expenses),-,-,-,-3.79,-3.17,-3.19,-4.45
11,EBT Excluding Unusual Items,-7.17,2.97,19.79,16.41,22.03,18.18,20.6
12,Other Unusual Items,-,-,-,-0.01,18.31,-,-
13,Pretax Income,-7.17,2.97,19.79,16.4,40.34,18.18,20.6
14,Income Tax Expense,-0,0.52,3.18,3.38,4.03,3.65,3.83
15,Net Income,-7.16,2.46,16.61,13.02,36.31,14.52,16.77
16,Net Income to Common,-7.16,2.46,16.61,13.02,36.31,14.52,16.77
17,Net Income Growth,-,-81.14%,-54.24%,-10.36%,116.49%,-,-
18,Shares Outstanding (Basic),1000,1000,1000,987,750,750,750
19,Shares Outstanding (Diluted),1000,1000,1000,987,750,750,750
20,Shares Change (YoY),-,1.32%,33.33%,31.60%,-,-,-
21,EPS (Basic),-0.01,0.00,0.02,0.01,0.05,0.02,0.02
22,EPS (Diluted),-0.01,0.00,0.02,0.01,0.05,0.02,0.02
23,EPS Growth,-,-81.39%,-65.68%,-31.88%,116.50%,-,-
24,Free Cash Flow,-29.8,-24.29,11.4,-37.97,-4.88,-,-
25,Free Cash Flow Per Share,-0.03,-0.02,0.01,-0.04,-0.01,-,-
26,Operating Margin,-3.00%,0.51%,6.74%,7.00%,9.67%,10.54%,9.92%
27,Profit Margin,-2.70%,0.81%,5.87%,4.67%,13.82%,7.15%,6.62%
28,Free Cash Flow Margin,-11.23%,-8.03%,4.03%,-13.61%,-1.86%,-,-
29,EBITDA,-7.28,2.55,19.79,20.19,25.86,21.96,25.42
30,D&A For EBITDA,0.68,1.01,0.74,0.68,0.45,0.55,0.27
31,EBIT,-7.96,1.54,19.05,19.52,25.41,21.41,25.15
