,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021"
0,Cash & Equivalents,66.83,31.87,54.24,47.94,25.36,27.55,-
1,Short-Term Investments,1.4,51.41,51.51,51.51,1.69,1.46,-
2,Cash & Short-Term Investments,68.23,83.28,105.74,99.45,27.04,29,-
3,Cash Growth,-35.48%,-16.26%,291.00%,242.90%,-,-,-
4,Accounts Receivable,290.73,290.55,251.09,250.55,207.1,157.46,-
5,Other Receivables,5.55,5.68,3.29,4.2,4.51,3.18,-
6,Receivables,296.28,296.22,254.38,254.75,211.61,160.63,-
7,Prepaid Expenses,0.14,0.27,0.59,0.69,0.19,0.4,-
8,Other Current Assets,-,-,-,-,7.75,6.45,-
9,Total Current Assets,364.65,379.77,360.71,354.89,246.59,196.48,-
10,"Property, Plant & Equipment",3.81,4.64,4.04,3.44,2.41,2.52,-
11,Other Long-Term Assets,0.18,0.18,-,-,0.17,0.17,-
12,Total Assets,368.64,384.59,364.75,358.33,249.17,199.17,-
13,Accounts Payable,14.07,33.23,21.7,21.87,23.53,28.71,-
14,Accrued Expenses,17.54,21.82,13.42,18.95,23.77,9.8,-
15,Short-Term Debt,14.05,-,-,5.63,15.14,10.74,-
16,Current Portion of Leases,0.55,0.54,0.09,0.35,0.52,0.51,-
17,Current Income Taxes Payable,-,-,2.91,1.37,4.7,0.69,-
18,Current Unearned Revenue,3.41,2.5,2.88,3.08,2.12,0.89,-
19,Other Current Liabilities,-,-,-,-,0.34,4.85,-
20,Total Current Liabilities,49.62,58.08,41,51.26,70.12,56.19,-
21,Long-Term Leases,0.05,0.37,-,-,0.09,0.35,-
22,Long-Term Deferred Tax Liabilities,0.31,0.32,0.39,0.32,0.2,0.17,-
23,Total Liabilities,49.98,58.77,41.39,51.58,70.41,56.72,-
24,Common Stock,10,10,10,10,0.39,0.39,-
25,Additional Paid-In Capital,-,105.36,-,105.36,-,-,-
26,Retained Earnings,308.66,210.46,313.36,191.39,178.38,142.07,-
27,Shareholders' Equity,318.66,325.82,323.36,306.75,178.77,142.46,-
28,Total Liabilities & Equity,368.64,384.59,364.75,358.33,249.17,199.17,-
29,Total Debt,14.65,0.91,0.09,5.99,15.76,11.6,-
30,Net Cash (Debt),53.58,82.37,105.65,93.46,11.29,17.4,-
31,Net Cash Growth,-49.28%,-11.87%,835.89%,437.18%,-,-,-
32,Net Cash Per Share,0.05,0.08,0.11,0.09,0.02,0.02,-
33,Filing Date Shares Outstanding,1000,1000,1000,1000,750,750,750
34,Total Common Shares Outstanding,1000,1000,1000,1000,750,750,750
35,Working Capital,315.03,321.69,319.71,303.63,176.47,140.29,-
36,Book Value Per Share,0.32,0.33,0.32,0.31,0.24,0.19,-
37,Tangible Book Value,318.66,325.82,323.36,306.75,178.77,142.46,-
38,Tangible Book Value Per Share,0.32,0.33,0.32,0.31,0.24,0.19,-
39,Machinery,-,11.07,-,8.62,-,6.56,-
40,Order Backlog,506.1,-,-,-,-,-,-
