,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021"
0,Market Capitalization,500,465,495,470,475,-,-,-
1,Market Cap Growth,-1.06%,-1.06%,4.21%,-,-,-,-,-
2,Enterprise Value,446,383,389,377,464,-,-,-
3,Last Close Price,0.50,0.47,0.49,0.47,0.47,-,-,-
4,PE Ratio,-,-,25.96,15.86,9.63,-,-,-
5,PS Ratio,0.88,0.82,0.85,0.84,0.88,-,-,-
6,PB Ratio,1.57,1.46,1.52,1.45,1.55,-,-,-
7,P/TBV Ratio,1.46,1.46,1.52,1.45,1.55,-,-,-
8,P/FCF Ratio,-,-,-,-17.69,-,-,-,-
9,P/OCF Ratio,-,-,-,-20.24,-,-,-,-
10,EV/Sales Ratio,0.79,0.67,0.67,0.67,0.86,-,-,-
11,EV/EBITDA Ratio,-,-,17.43,9.42,10.07,-,-,-
12,EV/EBIT Ratio,-,-,18.91,9.76,10.32,-,-,-
13,EV/FCF Ratio,-8.25,-,-,-14.17,-,-,-,-
14,Debt / Equity Ratio,0.05,0.05,0.00,0.00,0.02,0.09,0.08,-
15,Debt / FCF Ratio,-,-,-,0.00,-,-,-,-
16,Return on Capital Employed (ROCE),-,-,6.31%,11.91%,14.63%,26.15%,32.56%,-
17,Earnings Yield,-0.94%,-1.01%,3.85%,6.30%,10.38%,-,-,-
18,FCF Yield,-10.82%,-11.63%,-2.60%,-5.65%,-9.02%,-,-,-
19,Buyback Yield / Dilution,-0.65%,-,-1.32%,-33.33%,-31.60%,-,-,-
20,Total Shareholder Return,-0.65%,-,-1.32%,-33.33%,-31.60%,-,-,-
