,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,315,372,3137,4872,5075,7457,8032,-
1,Market Cap Growth,-92.37%,-92.37%,-38.17%,-34.66%,-36.82%,-,-,-
2,Enterprise Value,166,214,2893,4281,3905,5914,9210,-
3,Last Close Price,3.02,4.28,35.80,55.35,57.80,83.75,91.20,-
4,PS Ratio,27.24,44.14,1011.66,2623.32,923.13,1237.32,14507.09,-
5,PB Ratio,137.64,-2.67,16.42,9.03,5.83,5.54,4.90,-
6,P/TBV Ratio,-,-,10.20,7.62,5.37,5.40,4.89,-
7,EV/Sales Ratio,19.71,25.42,932.70,2305.17,710.29,981.34,16634.97,-
8,Debt / Equity Ratio,-0.48,-0.48,1.61,0.58,0.36,0.15,0.07,-
9,Earnings Yield,-202.68%,-171.89%,-19.59%,-13.57%,-13.57%,-23.42%,-20.69%,-
10,FCF Yield,-118.04%,-100.11%,-17.94%,-14.95%,-16.52%,-10.05%,-6.02%,-
11,Buyback Yield / Dilution,0.19%,0.33%,0.05%,-0.17%,-391.31%,-430.58%,-,-
12,Total Shareholder Return,0.19%,0.33%,0.05%,-0.17%,-391.31%,-430.58%,-,-
