,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,7.74,23.88,57.3,105.23,169.7,211.99,-
1,Trading Asset Securities,1.94,20.04,-,-,-,-,-
2,Cash & Short-Term Investments,9.67,43.93,57.3,105.23,169.7,211.99,-
3,Cash Growth,-83.12%,-58.26%,-66.23%,-50.36%,-,-,-
4,Other Receivables,0.79,0.82,0.7,0.64,-,0.65,-
5,Receivables,0.79,0.82,0.7,0.64,-,0.65,-
6,Prepaid Expenses,3.54,2.11,16.14,0.28,13.52,4.7,-
7,Restricted Cash,-,-,-,-,0.06,0.06,-
8,Other Current Assets,7.65,11.87,0.05,11.1,-,6.4,-
9,Total Current Assets,21.66,58.72,74.18,117.25,183.28,223.81,-
10,"Property, Plant & Equipment",11.61,15.48,27.64,29.52,24.74,14.72,-
11,Long-Term Investments,-,-,20.16,15,-,-,-
12,Other Intangible Assets,0.78,0.82,0.85,0.92,0.99,1.07,-
13,Other Long-Term Assets,0.53,0.76,1,1.24,1.76,1.06,-
14,Total Assets,34.57,75.79,123.84,163.93,210.77,240.65,-
15,Accounts Payable,3.52,3.87,6.38,4.89,2.72,1.48,-
16,Accrued Expenses,7.02,6.93,8.04,6.15,6.94,5.04,-
17,Short-Term Debt,0.04,-,-,-,-,-,-
18,Current Portion of Leases,0.83,1.18,2.17,1.75,1.77,1.35,-
19,Current Unearned Revenue,1.09,0.97,0.91,0.72,0.75,0.78,-
20,Other Current Liabilities,32.13,0.06,-,0.72,2.82,7.57,-
21,Total Current Liabilities,44.63,13.01,17.5,14.23,14.99,16.23,-
22,Long-Term Debt,0.38,30.65,29.58,29.14,17.41,8.44,-
23,Long-Term Leases,7.38,7.67,7.91,9.01,6.97,5.69,-
24,Total Liabilities,52.4,51.33,55,52.37,39.37,30.36,-
25,Common Stock,0.09,0.09,0.09,0.09,0.09,0.09,-
26,Additional Paid-In Capital,513.97,513.96,518.12,518.81,525.08,516.84,-
27,Retained Earnings,-513.7,-472.64,-431.91,-394.33,-347.91,-306.03,-
28,Treasury Stock,-,-,-3.17,-1.21,-,-,-
29,Comprehensive Income & Other,-0.11,-1.22,-0.67,-1.36,-0.31,0.71,-
30,Total Common Equity,0.24,40.2,82.45,122.01,176.95,211.62,-
31,Minority Interest,-18.07,-15.74,-13.61,-10.45,-5.56,-1.33,-
32,Shareholders' Equity,-17.83,24.46,68.84,111.56,171.39,210.29,-
33,Total Liabilities & Equity,34.57,75.79,123.84,163.93,210.77,240.65,-
34,Total Debt,8.64,39.5,39.66,39.9,26.16,15.48,-
35,Net Cash (Debt),1.04,4.43,17.64,65.33,143.54,196.52,-
36,Net Cash Growth,-94.13%,-93.22%,-87.71%,-66.75%,-,-,-
37,Net Cash Per Share,0.01,0.06,0.23,0.86,1.89,12.72,-
38,Filing Date Shares Outstanding,86.82,86.82,87.2,87.8,89.04,88.07,14.35
39,Total Common Shares Outstanding,86.82,86.82,87.2,87.8,89.04,88.07,14.35
40,Working Capital,-22.97,45.71,56.68,103.02,168.29,207.58,-
41,Book Value Per Share,0.00,0.46,0.95,1.39,1.99,2.40,-
42,Tangible Book Value,-0.53,39.37,81.6,121.09,175.96,210.55,-
43,Tangible Book Value Per Share,-0.01,0.45,0.94,1.38,1.98,2.39,-
44,Machinery,13.73,13.87,13.3,12.65,10.47,8.66,-
45,Construction In Progress,0.07,0.07,0.24,0.8,8.61,0.51,-
46,Leasehold Improvements,14.42,14.8,14.95,14.54,1.11,0.83,-
