,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Other Revenue,0.91,0.17,0.23,0.01,0.7,0.07,-
1,Revenue,0.91,0.17,0.23,0.01,0.7,0.07,-
2,Revenue Growth (YoY),297.38%,2000.00%,-67.14%,-88.73%,-,-,-
3,Gross Profit,0.91,0.17,0.23,0.01,0.7,0.07,-
4,"Selling, General & Admin",10.16,12.35,10.82,13.08,11.11,10.97,5.15
5,Research & Development,14.25,23.67,30.71,35.53,32.11,28.34,12.34
6,Other Operating Expenses,-,-,-,-,-,0.06,-0.06
7,Operating Expenses,24.41,36.02,41.52,48.62,43.22,39.36,17.44
8,Operating Income,-23.5,-35.85,-41.3,-48.61,-42.52,-39.29,-17.44
9,Interest Expense,-0.54,-0.53,-0.46,-0.42,-0.38,-0.21,-0.13
10,Interest & Investment Income,0.04,0.15,0.81,1.23,0.12,0.16,0.06
11,Currency Exchange Gain (Loss),-0,-0.05,0.05,0.21,-0.51,-0.1,-0.46
12,Other Non Operating Income (Expenses),-1.36,-1.11,-0.51,-3.7,-2.82,-143.28,-15.56
13,EBT Excluding Unusual Items,-25.36,-37.39,-41.41,-51.29,-46.1,-182.72,-33.53
14,Gain (Loss) on Sale of Investments,-18.11,0.1,0.16,0.05,-,0.31,-
15,Gain (Loss) on Sale of Assets,-0.06,1.91,-0.01,-0.04,-,-,0
16,Asset Writedown,-,-8.35,-,-,-,-,-
17,Other Unusual Items,0.04,-0.16,0.16,-,-,-,-
18,Pretax Income,-43.49,-43.88,-41.11,-51.28,-46.1,-182.41,-33.53
19,Earnings From Continuing Operations,-43.49,-43.88,-41.11,-51.28,-46.1,-182.41,-33.53
20,Minority Interest in Earnings,2.43,3.15,3.15,4.86,4.22,1.77,1.1
21,Net Income,-41.07,-40.73,-37.96,-46.42,-41.88,-180.64,-32.43
22,Net Income to Common,-41.07,-40.73,-37.96,-46.42,-41.88,-180.64,-32.43
23,Shares Outstanding (Basic),76,76,76,76,76,15,14
24,Shares Outstanding (Diluted),76,76,76,76,76,15,14
25,Shares Change (YoY),-0.33%,-0.05%,0.17%,391.31%,430.58%,-,-
26,EPS (Basic),-0.54,-0.54,-0.50,-0.61,-0.55,-11.70,-2.26
27,EPS (Diluted),-0.54,-0.54,-0.50,-0.61,-0.55,-11.70,-2.26
28,Free Cash Flow,-15.41,-32.22,-39.81,-53.12,-54.42,-41.08,-20.98
29,Free Cash Flow Per Share,-0.20,-0.42,-0.52,-0.70,-0.71,-2.66,-1.46
30,Operating Margin,-2582.53%,-21339.88%,-18032.75%,-607600.00%,-6100.29%,-55332.39%,-
31,Profit Margin,-4512.64%,-24245.24%,-16575.98%,-580237.50%,-6008.61%,-254422.54%,-
32,Free Cash Flow Margin,-1693.85%,-19180.36%,-17384.72%,-664000.00%,-7807.46%,-57853.52%,-
33,EBITDA,-20.33,-32.89,-39.52,-47.34,-41.68,-38.78,-17.08
34,D&A For EBITDA,3.17,2.96,1.78,1.27,0.84,0.5,0.35
35,EBIT,-23.5,-35.85,-41.3,-48.61,-42.52,-39.29,-17.44
