,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,1251,1018,1014,1103,1538,1999,2216,2243,2505,1965,2219,2257,3044,4042,3541,4635,-,-,-,-,-
1,Market Cap Growth,-49.08%,-49.08%,-54.26%,-50.83%,-38.60%,1.72%,-0.10%,-0.64%,-17.69%,-51.39%,-37.34%,-51.31%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1077,835,841,923,1330,1790,2015,1988,2258,1692,1951,1978,2919,3916,3229,4532,-,-,-,-,-
3,Last Close Price,22.66,18.44,18.37,19.74,27.54,35.78,39.50,39.97,44.88,35.19,39.74,40.43,54.52,72.39,63.42,83.02,-,-,-,-,-
4,PE Ratio,-,-,-,1202.46,214.45,-,97.72,63.30,56.82,48.54,53.83,51.66,-,85.39,66.70,92.85,-,-,-,-,-
5,Forward PE,90.64,30.68,30.68,30.68,30.68,41.60,48.39,32.84,-,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,5.21,4.21,4.07,4.15,5.79,7.74,6.32,5.91,5.79,4.63,6.26,6.89,11.09,13.89,12.27,16.27,-,-,-,-,-
7,PB Ratio,1.07,1.07,1.07,1.16,1.62,2.07,2.23,2.27,2.59,2.02,2.34,2.43,3.42,4.51,3.95,5.27,-,-,-,-,-
8,P/TBV Ratio,1.18,1.18,1.17,1.27,1.79,2.30,2.51,2.55,2.89,2.27,2.63,2.73,3.83,5.08,4.45,5.97,-,-,-,-,-
9,P/FCF Ratio,-,-,1081.27,-,-27.31,-,-52.12,-,491.72,-58.65,-55.34,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,20.99,32.84,76.90,44.32,22.01,-,23.47,26.89,64.73,-,50.21,51.84,53.70,56.13,-,-,-,-,-
11,EV/Sales Ratio,4.45,3.45,3.38,3.48,5.01,6.93,5.75,5.24,5.22,3.99,5.51,6.04,10.63,13.46,11.19,15.90,-,-,-,-,-
12,EV/EBITDA Ratio,122.57,-,36.10,44.54,53.94,-,28.68,23.38,20.60,16.09,30.92,32.33,86.61,-,45.41,61.82,-,-,-,-,-
13,EV/EBIT Ratio,-,-,-54.12,-57.21,-,-,52.52,38.02,-,23.24,64.50,67.12,-,-,75.76,96.26,-,-,-,-,-
14,EV/FCF Ratio,-,-,896.51,-,-23.61,-,-47.38,-,443.14,-50.52,-48.67,-,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-,0.00,-,-,0.00
16,Debt / EBITDA Ratio,2.77,-,0.55,0.46,1.29,-,1.03,0.44,0.64,0.08,0.07,0.04,5.23,0.86,0.10,0.18,-,0.01,-,-,0.04
17,Debt / FCF Ratio,-,-,25.93,-,-0.49,-,-0.82,-,2.45,-0.42,-0.15,-,-,-,-,-,-,-,-,-,-
18,Asset Turnover,-,0.22,0.28,0.25,0.22,0.26,0.26,0.21,0.58,0.40,0.51,0.20,0.35,0.31,0.34,0.36,-,-,-,-,
19,Inventory Turnover,-,-,0.94,1.34,0.95,1.37,0.89,1.06,1.35,4.00,2.75,4.95,1.23,3.19,1.68,1.81,1.65,-,-,-,-
20,Quick Ratio,-,-,10.60,10.17,9.90,10.17,10.84,9.15,6.47,6.17,9.28,9.29,12.12,14.85,8.57,10.62,7.72,8.27,-,-,-
21,Current Ratio,-,-,12.42,11.60,11.86,11.97,12.56,10.67,7.56,6.93,10.75,10.69,13.84,16.64,15.74,12.13,10.39,10.37,-,-,-
22,Return on Equity (ROE),-6.75%,-1.79%,3.04%,-0.60%,-6.48%,1.14%,5.54%,-2.19%,9.23%,7.02%,14.45%,-2.51%,0.41%,7.54%,3.57%,9.25%,-,-,-,-,
